Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,std1,std2,std3,std4,std5,std6,std7,std8
1,0.01,6,6,3,56.98224852,56.10030641,71.24260355,50.63683553,54.11433981,47.77508336,36.82533921,98.26110211,6.446114244,4.959525226,3.660358409,5.268702057,6.947833177,4.952901255,6.97949399,12.29572825
1,0.1,6,6,3,56.50887574,55.53298411,71.18343195,50.50402652,53.61904755,47.92058199,36.54314594,99.79936222,6.776805737,4.826523949,3.539870734,5.39994211,6.890932025,5.229156438,7.182838184,12.14188114
1,0.001,6,6,3,56.09467456,55.10958279,70.88757396,49.99500877,53.18953657,47.36283722,35.89725917,100.7983058,6.52260819,5.232686813,3.580845986,5.182104185,7.12784497,4.566286003,7.019781205,13.0874341
1,1.00E-05,6,6,3,55.97633136,55.03034512,70.82840237,49.88418091,53.0252966,47.29311913,35.73701485,101.0149862,6.542855539,5.246346877,3.572688531,5.178815593,7.161475659,4.522806528,7.029320437,13.13867372
1,0.0001,6,6,3,55.97633136,55.03034512,70.82840237,49.88418091,53.0252966,47.29311913,35.73701485,101.0149862,6.542855539,5.246346877,3.572688531,5.178815593,7.161475659,4.522806528,7.029320437,13.13867372
10,0.1,6,6,3,55.79881657,55.29331909,71.18343195,50.18920578,52.80297163,47.98423765,35.94787214,100.8115463,6.827136321,5.60669542,3.450831117,4.900182746,6.793553628,4.088217886,6.741850773,14.02994979
1,1,6,6,3,54.43786982,55.24893034,72.24852071,50.39236234,54.04434861,47.43255532,36.50077627,99.87469814,7.209336048,5.639937726,4.745629352,6.881829393,8.989415851,6.057823844,9.306734001,14.83351019
10,0.01,6,6,3,53.96449704,54.7787417,70.88757396,48.93273275,51.14556026,47.09608972,34.18166096,102.2443918,7.452385468,5.451030117,3.274399364,4.303533152,6.740347824,3.223184696,6.139332691,13.91569926
10,0.001,6,6,3,53.84615385,54.43904556,70.65088757,48.67008162,50.86477822,46.84449833,33.84048592,103.0446768,7.209336048,5.277690426,3.279148314,4.159157558,6.637990979,2.986131924,5.980321338,13.53410807
10,1.00E-05,6,6,3,53.72781065,54.34669585,70.59171598,48.5591288,50.66680789,46.7838739,33.68812245,103.3017822,7.132298265,5.167587063,3.131687822,3.991100038,6.175486347,2.98572163,5.712973844,13.12619559
10,0.0001,6,6,3,53.72781065,54.34669585,70.59171598,48.5591288,50.66680789,46.7838739,33.68812245,103.3017822,7.132298265,5.167587063,3.131687822,3.991100038,6.175486347,2.98572163,5.712973844,13.12619559
100,1.00E-05,18,18,3,53.07692308,47.53494752,64.9112426,43.02232165,41.54003491,45.02879661,24.86001101,121.7057912,4.193815246,3.617054603,2.617409767,3.093548084,3.739682668,5.030858919,4.215326348,9.776319333
100,0.0001,18,18,3,53.07692308,47.53494752,64.9112426,43.02232165,41.54003491,45.02879661,24.86001101,121.7057912,4.193815246,3.617054603,2.617409767,3.093548084,3.739682668,5.030858919,4.215326348,9.776319333
100,0.001,18,18,3,53.01775148,47.73683572,65.14792899,43.92293202,42.11052703,46.40193998,25.84985056,121.6444002,4.865042554,4.001104281,2.904837327,3.893315263,4.723398025,5.702203257,5.303433173,10.48975508
10,1,6,6,3,52.95857988,52.81830766,70.0591716,47.80750707,49.83501444,46.07759927,32.68903303,106.7283895,7.107436981,5.488895016,3.337940166,5.452225622,7.312352776,4.314721482,7.551768315,13.82821333
0.1,0.01,6,6,3,52.4852071,52.0281262,68.87573964,47.02466911,49.61692557,44.94695362,31.91827023,108.1892481,5.824721753,3.734424473,3.754794173,4.678160547,6.545364959,4.328313648,6.450397733,9.796139828
100000,0.001,6,6,3,52.4852071,51.82581797,69.40828402,48.52255443,51.1870376,46.46862686,33.78785526,109.0137986,6.624694269,4.339673643,4.348653967,5.946107168,8.208457672,5.403194393,8.090798127,11.66852647
100000,0.01,6,6,3,52.36686391,50.11004563,68.04733728,47.13926352,48.68762864,45.8714762,31.80699522,113.7586494,5.580494813,2.947012231,2.675475339,3.867491188,3.516409471,5.139627658,4.530879202,6.424174026
100000,1.00E-05,6,6,3,52.30769231,51.58655677,69.05325444,48.27163855,50.69619139,46.41406487,33.41761605,109.7686189,6.471111533,4.058125503,3.964938596,5.632579898,7.546517642,5.519798182,7.557168986,10.59183783
100000,0.0001,6,6,3,52.30769231,51.57407353,69.05325444,48.272532,50.70020747,46.41103365,33.41945595,109.7922252,6.471111533,4.11194721,3.964938596,5.646045884,7.564587079,5.520845862,7.577202597,10.75024522
100,0.1,6,6,3,52.13017751,52.47009965,69.52662722,47.68065095,49.85896478,45.75628978,32.7087026,107.4873382,7.152179464,4.998492154,2.514309425,3.993635461,4.446515985,4.018836663,5.170997318,12.10276477
0.1,0.001,6,6,3,51.95266272,51.35317708,69.40828402,47.246786,50.38140066,44.72567445,32.42537051,109.3719345,5.896083437,4.293257047,3.885651638,5.014170303,6.61326942,4.788226839,6.739107518,10.71492189
0.1,1.00E-05,6,6,3,51.89349112,51.23393662,69.28994083,47.13778988,50.19868696,44.66201879,32.27132843,109.6981666,5.891132766,4.338308765,3.82917407,5.048271518,6.524792395,4.85471374,6.741569892,10.71681561
0.1,0.0001,6,6,3,51.89349112,51.23393662,69.28994083,47.13778988,50.19868696,44.66201879,32.27132843,109.6981666,5.891132766,4.338308765,3.82917407,5.048271518,6.524792395,4.85471374,6.741569892,10.71681561
