Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy
0.001,1e-05,20,20,3,47.5481978206203,57.1880258200131,75.6789606035205,41.1068760598871,69.4602294816155,29.2385505004903,34.8618957534577,126.297632492446
0.001,0.0001,20,20,3,47.5984911986588,57.2948601333787,75.6580050293378,41.3297755230035,69.722058450574,29.4159578006938,35.0955296611699,125.939738365903
0.001,0.001,20,20,3,47.0326906957251,57.223623379683,75.6328583403185,41.2317617790288,69.8218965284107,29.2915804435074,35.0063458299132,126.099853092691
0.001,0.01,20,20,3,47.1248952221291,57.2976746004883,75.6621961441743,41.3095765247653,69.8123655024989,29.371762581381,35.0772534203346,125.897871554209
0.001,0.1,20,20,3,45.8298407376362,57.7564011473267,76.1316010058675,40.6035807787275,69.7207704282186,28.662370989273,34.3947042051473,123.926055889551
0.001,1,20,20,3,47.0159262363789,57.212667634813,75.5322715842414,40.4928298254586,68.0251196566822,28.8477921831056,34.1160574413326,126.624266975455
0.001,10,20,20,3,45.8717518860017,55.992843162436,74.9119865884325,39.6853830472401,66.7114630163272,28.2591922168028,33.2378559158573,131.150518337738
0.001,100,20,20,3,45.6328583403185,55.6578920924021,74.371332774518,39.753299759414,66.3571134995657,28.4006558000285,33.2679928522624,132.636576041899
0.001,1000,20,20,3,45.6915339480302,55.8999341905185,74.8700754400671,39.8023560972189,66.258744013372,28.4607060002679,33.2919075712424,131.884098525191
0.001,10000,20,20,3,46.4082145850796,56.0295410169692,74.593461860855,40.5686660453786,67.447772294118,29.0249834753945,34.1314805573647,131.430054081032
0.001,100000,20,20,3,45.5909471919531,55.8624763234899,74.8491198658843,39.5663655307616,66.5973534873052,28.1606710069857,33.1139404094034,131.703522273639
0.01,1e-05,20,20,3,45.7711651299246,58.9150488555978,76.349538977368,40.9725372838172,70.9295781071169,28.8078307189175,34.8501201338496,119.509813194811
0.01,0.0001,20,20,3,46.1064543168483,58.8806360694898,76.3411567476949,40.9560494145608,71.0289092495612,28.7748463103688,34.8436232781212,119.578074381
0.01,0.001,20,20,3,46.3160100586756,58.9360918066828,76.3537300922045,41.1837371578339,71.022682959515,29.0027562609894,35.0570701389612,119.449607872414
0.01,0.01,20,20,3,46.5968147527242,58.8462404699788,76.349538977368,40.9016462491211,70.7538473377994,28.7697485235859,34.766570693971,119.551723007544
0.01,0.1,20,20,3,46.9153394803018,58.9014856606361,76.6722548197821,41.1115032903002,70.642737542835,29.0029074665296,34.9564082022643,119.605748128103
0.01,1,20,20,3,47.2506286672255,58.9827323808214,76.6219614417435,40.9524971339204,70.0724023325481,28.9400491634013,34.7557734599854,119.359271562047
0.01,10,20,20,3,46.7602682313495,58.1602410738629,75.6328583403185,40.3741834478222,68.4920827462361,28.6432758896286,34.0580331344892,122.840054343609
0.01,100,20,20,3,46.3537300922045,57.8772576950138,75.850796311819,40.0016348731473,68.4971967909768,28.2548720585122,33.7036196553299,123.598565797546
0.01,1000,20,20,3,45.4610226320201,57.6335493415894,75.7166806370495,39.7844152850002,67.7937325079931,28.1622910663447,33.4276135740453,124.741638075151
0.01,10000,20,20,3,46.2950544844929,57.7029039781197,75.7376362112322,40.197335899533,68.7287244543521,28.4124498321618,33.906267303743,124.401438202619
0.01,100000,20,20,3,46.2489522212909,57.8121478230628,75.8298407376362,40.2799186478629,68.6713669945441,28.5046852116662,33.9776432738401,124.09049127336
0.1,1e-05,20,20,3,46.0980720871752,59.392652367671,76.580050293378,40.0484832182853,70.8742661777999,27.9240343366181,33.9826150687819,116.944192428331
0.1,0.0001,20,20,3,46.0184409052808,59.5858216986041,76.8189438390612,40.1475174830385,71.1853858165991,27.9720312952267,34.1040915511328,116.13047525807
0.1,0.001,20,20,3,46.4836546521375,59.7495749536158,76.8524727577536,40.3286189499013,71.1518203072642,28.1524627062336,34.2724246343164,115.690559226767
0.1,0.01,20,20,3,46.580050293378,59.6269583008035,76.6974015088013,40.2473699580793,71.2860182856175,28.0473964566062,34.2074419573744,116.05696754743
0.1,0.1,20,20,3,46.1106454316848,59.6883935421852,76.7267393126572,39.9986624497052,70.9195101193172,27.8602688002488,33.938925901625,115.767587591332
0.1,1,20,20,3,46.4710813076278,59.9129516606127,76.9823973176865,40.5482305930721,70.4106309208225,28.4889166339055,34.4067275337625,115.639189087152
0.1,10,20,20,3,48.1852472757754,59.6031160943724,76.2070410729254,41.5257795713202,70.5241199705239,29.4396106673348,35.3347651005834,117.613612711403
0.1,100,20,20,3,46.0268231349539,58.6972077220431,75.5574182732607,39.5107482722849,68.8316986857628,27.7112665408061,33.2827732852304,120.140007545888
0.1,1000,20,20,3,47.4098910310143,58.9006436029641,76.0142497904443,40.752712084837,69.6050859403273,28.8189983280987,34.5196929186878,119.949029776632
0.1,10000,20,20,3,47.3470243084661,58.7580507903931,76.1022632020117,40.5483491065987,69.2390315668961,28.6828917411534,34.2948290850424,120.410699431332
0.1,100000,20,20,3,47.024308466052,58.6718691343375,76.2279966471081,40.3033587677315,69.3829367396595,28.4093825197755,34.0759385893501,120.460339259612
1,1e-05,20,20,3,47.3428331936295,59.6934262780523,76.6932103939648,40.3774062066771,71.4073658523746,28.1541907695498,34.3419321578659,115.692074570114
1,0.0001,20,20,3,47.3218776194468,59.6700448902334,76.6890192791282,40.3569385156428,71.3980074926249,28.1355492865259,34.3218791502108,115.765688588413
1,0.001,20,20,3,47.2715842414082,59.5011108591472,76.5171835708298,39.9637778979433,71.0927511153874,27.7979721176984,33.923326601754,116.214558293916
1,0.01,20,20,3,47.6906957250629,59.8689951220082,76.5716680637049,40.4957393908102,71.6714847979773,28.2256893892592,34.4753715176865,115.06566656442
1,0.1,20,20,3,47.6571668063705,59.6466721766457,76.5507124895222,40.5650476078155,71.7559297279847,28.2779201029926,34.5476454744859,115.846844481506
1,1,20,20,3,47.569153394803,59.6406125952307,76.6554903604359,40.187963788205,70.7578507484763,28.0682628211498,34.0989976305697,116.052210494243
1,10,20,20,3,47.883487007544,59.3800383189138,76.2950544844929,40.4785545206258,70.5480451743573,28.3858592578832,34.3510933182857,117.357869726687
1,100,20,20,3,47.8625314333613,59.1357411290819,76.0854987426655,40.4800912547049,70.8995571805419,28.3286387613242,34.3852763861246,118.077685852735
1,1000,20,20,3,47.9128248113998,59.0927869207553,76.173512154233,40.64579633438,70.8536134743201,28.4996954288405,34.5367809209634,118.412022606462
1,10000,20,20,3,47.3176865046102,58.9468811859175,76.2154233025985,40.1873067604351,70.1461864424665,28.1654447818968,34.0416294051584,118.998114576665
1,100000,20,20,3,47.4098910310143,58.9458965048508,76.0603520536463,40.4071872530099,70.2061804021627,28.3750156605738,34.2546851563823,119.198444117099
10,1e-05,20,20,3,47.9589270746018,59.192569045042,76.1316010058676,40.5238088607941,69.4274760323948,28.6192558095329,34.2831738927938,118.415920856593
10,0.0001,20,20,3,47.9798826487846,59.1382026719259,76.0771165129924,40.4932145390816,69.4187460673884,28.5895763220764,34.2535774416804,118.592360936128
10,0.001,20,20,3,48.3277451802179,59.4904549034182,76.257334450964,40.6266132383911,70.3106570712093,28.5724900960371,34.4683212381949,117.018703095292
10,0.01,20,20,3,47.9589270746018,59.121457393203,76.0896898575021,40.5384014669481,70.2207883075918,28.5004946581243,34.3743245695339,118.376852126045
10,0.1,20,20,3,46.6890192791282,58.782069878445,76.0310142497904,39.1206159548099,68.3609855528516,27.4119227728504,32.8773511889024,119.490861987129
10,1,20,20,3,46.9279128248114,58.943384758891,76.2070410729254,39.8838761436153,68.6094195158204,28.1282698198062,33.6055599968429,119.394926441348
10,10,20,20,3,47.7661357921207,58.845532190964,75.8843252305113,40.1530073676548,68.9234617637323,28.3344061726422,33.8839309460004,119.744292893792
10,100,20,20,3,47.7242246437552,58.6009883012018,75.6454316848282,40.6125165560627,68.7699278899058,28.8270770241022,34.3001054716742,121.150529861504
10,1000,20,20,3,47.4853310980721,58.6702628762597,75.7795473595977,40.7039464423654,69.145406136204,28.8532355825517,34.4267159722646,120.719768141755
10,10000,20,20,3,47.3679798826488,58.7156799319612,75.5658005029338,40.7521434763854,68.8576161611026,28.9577186108099,34.4420125898954,120.79137044767
10,100000,20,20,3,47.3637887678122,58.7481387718064,75.6160938809723,40.7382508230466,68.830071860487,28.9481926617791,34.4267095969034,120.672489728077
100,1e-05,20,20,3,48.6546521374686,59.6374049449752,76.303436714166,41.6545949053594,70.2254727505022,29.626155102323,35.4314421966961,117.277625036698
100,0.0001,20,20,3,48.5834031852473,59.561900290138,76.2405699916178,41.6156361990941,70.1894404346616,29.59325709694,35.3913354115347,117.535000646067
100,0.001,20,20,3,48.5414920368818,59.5446238359418,76.2363788767812,41.6725465827598,70.2028507458893,29.6537609137999,35.4475341692572,117.635560918831
100,0.01,20,20,3,47.745180217938,59.1594116757673,76.173512154233,40.4163820802959,69.5912671825012,28.4888518315311,34.208400427156,118.492185667576
