Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,std1,std2,std3,std4,std5,std6,std7,std8
0.001,1e-05,7,7,3,54.5997286295794,47.8193808954216,84.3012211668928,54.5715183280363,81.8244444170255,40.9589280081064,38.8723671731775,76.3929915619101,3.74997745562214,2.2358895510013,1.15805911673112,2.25994713725236,1.96105869164966,2.19459829639302,2.58262251043992,4.42620630506616
0.001,0.0001,7,7,3,54.6200814111262,47.8621408283289,84.314789687924,54.593445028471,81.8678304233267,40.9738645814414,38.9044438932268,76.3004569864896,3.75388255798105,2.31942282379798,1.18494964405701,2.27811729724947,2.00146103150251,2.21751374936502,2.60343062106022,4.60496074420124
0.001,0.001,7,7,3,54.7218453188602,47.878534180664,84.314789687924,54.5865828108702,81.8103452992447,40.9787159804606,38.8818497649012,76.2881392008574,3.4824695863226,2.32552487617256,1.21478473634759,2.23074317924349,1.9996130819542,2.15724468164291,2.5630698394938,4.66277850134091
0.001,0.01,7,7,3,54.6472184531886,48.181456686901,84.3012211668928,54.6650598243557,81.9389827930784,41.0377214197631,38.9913247451887,75.6325619335455,4.02942305881592,2.34015868137439,1.27211668747183,2.2894181022629,2.02579144092256,2.23668954791321,2.61589187515207,4.81437290991854
0.001,0.1,7,7,3,55.8751696065129,47.8172197990359,83.8941655359566,54.7920563330033,81.3011469187368,41.3295223164355,38.9435048074537,76.7853061897812,1.39043323179437,2.63071475352527,1.81737157668963,2.25128079933698,2.34204988850132,2.03488438544795,2.77139455526256,5.25501168193253
0.001,1,7,7,3,54.0502035278155,47.3626386797017,83.4599728629579,54.0753833537591,80.1861666899626,40.8810188415911,38.037879619267,77.6685276251147,6.23381708001899,3.5843511096037,2.01604054620184,4.70630174935568,4.11350266007318,4.65531375011118,5.43542866322645,6.78752837437538
0.001,10,7,7,3,54.7150610583446,48.3642752995136,83.5413839891452,54.1743562014314,78.8607600763135,41.4454540240323,37.8932279259399,76.0907857410383,7.46927946375767,4.7137186724764,3.61603843300644,6.44604679704203,4.08499941498807,6.6304540495527,7.14695544844982,7.84292114895046
0.001,100,7,7,3,50.5495251017639,42.7358154629536,81.8046132971506,50.5442803020841,71.8827092496331,39.0681012150006,32.3238770046618,89.1604863254412,6.72044842493603,4.67228104947975,2.43200994073251,6.16601354411497,5.76421352055719,5.88259353521117,7.38803621567019,8.43327160398297
0.001,1000,7,7,3,49.0773405698779,41.0161027315272,80.2645861601085,48.1778935017538,68.2697721684067,37.2372358018909,28.8343087750286,92.848726260802,3.71357968971494,3.72133479138321,2.07347690543152,4.24299933209044,5.61496872237958,3.46022096636196,5.60497229804806,7.26894538444574
0.001,10000,7,7,3,48.9009497964722,40.8763033944526,80.2306648575305,47.9012291201527,67.778390259635,37.0548901146173,28.4184884005488,93.1737906021486,3.62741946438823,3.51157788549275,1.98392421013084,4.30943499496058,5.6536579281893,3.52971112183079,5.66036568106839,6.79941938710419
