Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,,,,,,,,
1,0.1,14,14,3,85.38095238,75.10262351,85.38095238,73.80886072,71.7384046,76.02955665,69.44307855,71.53630911,1.420612751,1.769517608,1.420612751,1.697860414,2.313862266,1.450657318,2.022451858,5.478152302
1,0.001,14,14,3,83.19047619,73.59378896,83.38095238,71.20312313,69.02539337,73.54022989,66.38505141,75.79714354,,,,,,,,
10,0.1,21,21,3,83.14285714,72.88739039,83.42857143,70.94374067,68.93147379,73.12972085,66.08554117,77.69444027,,,,,,,,
10,0.1,14,14,3,82.71428571,72.45394843,83.04761905,70.22652511,68.18526247,72.4499179,65.2428911,78.92778328,,,,,,,,
1,0.0001,14,14,3,82.66666667,73.04803637,83.23809524,70.74327365,68.46707407,73.22824302,65.81822451,77.49294062,,,,,,,,
1,1.00E-05,14,14,3,82.57142857,72.95856225,83.14285714,70.63128111,68.3269327,73.14942529,65.6841948,77.77264126,,,,,,,,
1,0.01,14,14,3,82.33333333,73.30262573,83,70.91983573,68.81604035,73.1954023,66.04710675,76.65255207,,,,,,,,
1,0.1,21,21,3,81.95238095,74.13928007,83.0952381,71.39305324,68.92192733,74.08538588,66.57814616,74.61682269,,,,,,,,
1,1,21,21,3,81.9047619,73.41234409,82.71428571,70.79480042,68.25392628,73.57307061,65.86949077,76.72892717,,,,,,,,
1,10,14,14,3,81.85714286,71.92543123,82.14285714,68.509506,65.85442771,71.46141215,63.16054096,80.94169146,,,,,,,,
10,0.01,14,14,3,81.85714286,71.0753887,82.14285714,69.04942301,66.91584227,71.36945813,63.86643472,82.86172841,,,,,,,,
1,0.1,7,7,3,81.57142857,70.94775651,82,68.98699627,66.56562693,71.61247947,63.77141833,83.46503767,,,,,,,,
10,1.00E-05,14,14,3,81.47619048,70.50249604,81.76190476,68.33692828,66.14744984,70.72249589,63.02594074,84.53353209,,,,,,,,
10,0.001,14,14,3,81.33333333,70.36078804,81.61904762,68.15658077,65.95312959,70.55829228,62.81532463,84.94044663,,,,,,,,
100,0.1,14,14,3,81.28571429,70.19647726,81.66666667,68.40607337,66.64941341,70.28899836,63.15112619,84.99988944,,,,,,,,
10,0.0001,14,14,3,81.23809524,70.22493427,81.52380952,67.97597904,65.7507271,70.40065681,62.6023104,85.33918794,,,,,,,,
1,1.00E-05,21,21,3,81.14285714,72.04739867,81.76190476,69.6204424,66.74413226,72.8045977,64.46575872,80.96874547,,,,,,,,
1,0.0001,21,21,3,81.14285714,72.04739867,81.76190476,69.6204424,66.74413226,72.8045977,64.46575872,80.96874547,,,,,,,,
1,1,14,14,3,81.04761905,71.8130328,82.04761905,69.40759169,67.05709145,72.00656814,64.239767,81.07079263,,,,,,,,
10,1,7,7,3,80.85714286,69.56654888,81.47619048,68.0076909,66.3046464,69.81937603,62.69528415,86.7158427,,,,,,,,
100,0.001,14,14,3,80.85714286,69.28233726,81.19047619,67.43151004,65.48580395,69.54022989,61.99147786,87.75079789,,,,,,,,
10,0.1,7,7,3,80.85714286,69.38698285,81.04761905,67.63105209,65.68345859,69.75697865,62.21563344,87.49016698,,,,,,,,
100,0.1,21,21,3,80.80952381,70.22355945,81.14285714,68.02392822,65.97687387,70.24630542,62.67656911,85.1814352,,,,,,,,
100,1.00E-05,21,21,3,80.61904762,69.32593862,80.85714286,67.26442691,65.0685931,69.66174056,61.77410298,87.83199378,,,,,,,,
100,0.0001,21,21,3,80.61904762,69.32593862,80.85714286,67.26442691,65.0685931,69.66174056,61.77410298,87.83199378,,,,,,,,
10,1,14,14,3,80.52380952,69.75823887,81.14285714,67.57224646,65.39522287,69.98686371,62.12439025,86.73290913,,,,,,,,
100,0.001,21,21,3,80.52380952,69.19678021,80.76190476,67.12883005,64.87215003,69.59605911,61.60781375,88.24371398,,,,,,,,
1,0.01,7,7,3,80.42857143,69.71713683,80.85714286,67.35864484,64.91137273,70.01970443,61.86157585,86.94213049,,,,,,,,
1,0.01,21,21,3,80.42857143,72.56662714,81.76190476,69.70012424,67.08675889,72.58128079,64.57807847,79.23380109,,,,,,,,
1000,0.001,21,21,3,80.38095238,69.34059672,80.71428571,67.25489754,65.11428311,69.57963875,61.76393348,87.73007785,,,,,,,,
10,1,21,21,3,80.33333333,70.78798297,81.28571429,68.18656824,65.76791482,70.85057471,62.81049412,83.96624999,,,,,,,,
100,0.01,14,14,3,80.28571429,69.14821583,80.47619048,66.97954798,64.87498192,69.23481117,61.45348622,88.22376547,,,,,,,,
10,10,14,14,3,80.04761905,68.18023789,80.04761905,65.04942068,62.81826949,67.47454844,59.16792927,91.02455312,,,,,,,,
10,0.01,21,21,3,80,70.28157335,80.85714286,67.83127964,65.38285848,70.52873563,62.40091054,85.4346557,,,,,,,,
100,1.00E-05,14,14,3,79.95238095,68.9281932,80.28571429,66.64185241,64.51793703,68.94581281,61.05053881,88.89071002,,,,,,,,
100,0.0001,14,14,3,79.95238095,68.9281932,80.28571429,66.64185241,64.51793703,68.94581281,61.05053881,88.89071002,,,,,,,,
1,1.00E-05,7,7,3,79.9047619,69.22541297,80.38095238,66.90911479,64.44103741,69.59605911,61.32880122,88.37196727,,,,,,,,
1,0.0001,7,7,3,79.9047619,69.22541297,80.38095238,66.90911479,64.44103741,69.59605911,61.32880122,88.37196727,,,,,,,,
1000,0.01,14,14,3,79.80952381,68.70817331,80.04761905,66.3477078,64.08339641,68.81773399,60.69449684,89.64551382,,,,,,,,
1,0.001,21,21,3,79.80952381,70.499866,80.42857143,67.97880569,64.9259842,71.36945813,62.53235403,85.48088498,,,,,,,,
1,1,7,7,3,79.76190476,68.40668682,80.14285714,66.84848537,64.50478231,69.40558292,61.27458465,90.61486319,,,,,,,,
10,1.00E-05,7,7,3,79.76190476,67.76815607,80.04761905,66.1425946,64.22608615,68.22660099,60.48380648,91.97906436,,,,,,,,
10,0.0001,7,7,3,79.76190476,67.76815607,80.04761905,66.1425946,64.22608615,68.22660099,60.48380648,91.97906436,,,,,,,,
100,1,14,14,3,79.76190476,68.27932786,80.33333333,66.31420259,64.55730111,68.20689655,60.70391208,90.41189179,,,,,,,,
1000,1.00E-05,14,14,3,79.76190476,68.54530781,80,66.3210523,64.048027,68.79802956,60.66289787,90.1033805,,,,,,,,
1000,1,14,14,3,79.76190476,67.77989844,80.33333333,66.02379389,64.32632343,67.84236453,60.37573855,91.74524256,,,,,,,,
1000,0.001,14,14,3,79.71428571,68.40042182,79.95238095,66.18594672,64.00614254,68.56157635,60.51498869,90.43768016,,,,,,,,
1,0.001,7,7,3,79.66666667,68.76071163,80.14285714,66.55118602,64.16853204,69.13957307,60.91914963,89.60504539,,,,,,,,
10,0.001,7,7,3,79.61904762,67.54848696,79.9047619,65.93998196,64.03964565,68.00656814,60.24896042,92.58496308,,,,,,,,
100,0.1,7,7,3,79.61904762,68.35776116,80.23809524,66.48060619,64.64722959,68.44006568,60.89689982,90.22944113,,,,,,,,
100,0.01,21,21,3,79.57142857,68.61485189,79.80952381,66.28921093,63.98891967,68.79474548,60.62174232,89.90208673,,,,,,,,
10,0.01,7,7,3,79.52380952,67.65540902,79.71428571,65.92393285,63.9174486,68.11165846,60.22318746,92.39605236,,,,,,,,
1000,0.0001,14,14,3,79.47619048,68.12598678,79.71428571,65.86994139,63.62604882,68.31527094,60.13898122,91.25970115,,,,,,,,
1,10,7,7,3,79.42857143,68.32818077,79.80952381,65.16504397,62.52258533,68.10180624,59.25382724,90.95924175,,,,,,,,
1000,1.00E-05,21,21,3,79.33333333,68.48094827,79.85714286,66.30834552,64.0473499,68.78489327,60.63796626,90.30841012,,,,,,,,
1000,0.1,14,14,3,79.28571429,67.83863235,79.71428571,66.12568049,64.07548502,68.36124795,60.45067932,91.97436324,,,,,,,,
100,1.00E-05,7,7,3,79.23809524,67.69754995,79.71428571,66.0903884,64.14345981,68.22331691,60.41907178,92.27048188,,,,,,,,
100,0.0001,7,7,3,79.23809524,67.69754995,79.71428571,66.0903884,64.14345981,68.22331691,60.41907178,92.27048188,,,,,,,,
1000,0.0001,21,21,3,79.23809524,68.61097912,79.71428571,66.31109441,63.94031269,68.93596059,60.62428862,90.05356704,,,,,,,,
10,1.00E-05,21,21,3,79.19047619,69.68741059,80.57142857,67.31474315,64.98111926,69.89162562,61.79643355,87.00234785,,,,,,,,
10,0.0001,21,21,3,79.19047619,69.68741059,80.57142857,67.31474315,64.98111926,69.89162562,61.79643355,87.00234785,,,,,,,,
10,0.001,21,21,3,79.19047619,69.46984536,80.42857143,67.14251361,64.79764498,69.73727422,61.59318509,87.64072327,,,,,,,,
1000,0.1,7,7,3,79.14285714,67.28164517,79.38095238,65.38646293,63.43722239,67.50410509,59.5976957,93.40036445,,,,,,,,
100,1,21,21,3,79.14285714,67.8588968,79.61904762,65.32622425,62.80376488,68.21018062,59.44122183,92.42861007,,,,,,,,
100,0.001,7,7,3,79,67.63187684,79.66666667,65.96616204,64.04016156,68.07553366,60.27588224,92.43162163,,,,,,,,
1000,0.1,21,21,3,79,67.83620406,79.23809524,65.59753294,63.33992179,68.0591133,59.81435719,92.07763683,,,,,,,,
100,0.01,7,7,3,78.9047619,67.47191382,79.57142857,65.88607751,63.94619831,68.00328407,60.1811947,92.88414754,,,,,,,,
10,10,7,7,3,78.52380952,66.78724605,78.85714286,63.66240678,61.45652048,66.08866995,57.55174306,95.01978428,,,,,,,,
1000,0.01,21,21,3,78.19047619,67.72043753,78.76190476,65.21891133,62.62243284,68.09852217,59.32506431,92.77910376,,,,,,,,
1000,0.01,7,7,3,78.14285714,66.11944954,78.52380952,64.41343984,62.44934926,66.54515599,58.45942985,96.69535699,,,,,,,,
1000,0.0001,7,7,3,78.04761905,66.88511866,78.57142857,64.71234858,62.42490823,67.22167488,58.76796163,94.809044,,,,,,,,
100,10,14,14,3,78.04761905,65.89802443,78.33333333,62.92009226,60.53123717,65.58292282,56.6602782,97.68531831,,,,,,,,
1000,10,14,14,3,78.04761905,65.59581698,78.04761905,62.51272928,60.43090544,64.76190476,56.22480965,98.14326233,,,,,,,,
1000,1.00E-05,7,7,3,78,66.65996008,78.52380952,64.64516485,62.439009,67.05747126,58.69928924,95.37040226,,,,,,,,
10000,1.00E-05,14,14,3,77.95238095,67.2099526,78.0952381,65.29148611,61.69294677,69.54022989,59.28047041,96.02642259,,,,,,,,
