Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy
0.1,1e-05,7,7,3,70.9047619047619,57.7565492627466,71.6666666666667,56.2905702033023,54.484119919995,58.2430213464696,48.9766450881036,120.084509850259
0.1,0.0001,7,7,3,71.1428571428572,57.9298119274519,71.8095238095238,56.4875409134803,54.6683977056952,58.4532019704434,49.2041637332638,119.614507419859
0.1,0.001,7,7,3,70.1428571428571,57.3151248618894,71.1904761904762,55.7278476756315,53.9103671603785,57.6945812807882,48.3140994392525,121.345644728736
0.1,0.01,7,7,3,70.4285714285714,57.6232018703306,71.4285714285714,55.9114226261312,54.1841201730331,57.7733990147783,48.5397956533375,120.363350453857
0.1,0.1,7,7,3,68.4285714285714,57.3249228966247,70.3809523809524,54.8888873861213,52.8712308125996,57.1001642036125,47.2922715234264,121.429863397484
0.1,1,7,7,3,66.1904761904762,53.5795736856278,67.5714285714286,51.2242180838274,49.1028248802971,53.5566502463054,42.9634906544609,132.073167290705
0.1,10,7,7,3,68.2380952380952,57.1040476250044,69.3809523809524,52.9924204911871,48.9135461220461,58.0459770114943,44.6167013690791,124.367539928293
1,1e-05,7,7,3,74.6190476190476,61.6904576839004,75,59.9537817211182,57.8867595483707,62.183908045977,53.2369002967209,109.186274057572
1,0.0001,7,7,3,74.9047619047619,62.0928180321381,75.2857142857143,60.4255964519326,58.4281460811837,62.5747126436782,53.8006414482341,108.001022768251
1,0.001,7,7,3,74.9047619047619,62.5062068886317,75.2857142857143,60.7007051927064,58.6669588660325,62.8899835796388,54.1187715276839,106.876253480186
1,0.01,7,7,3,75.5238095238095,63.106131223727,75.9523809523809,61.4403134238696,59.5706749060324,63.4351395730706,55.0005414409524,105.022364234438
1,0.1,7,7,3,75.8571428571429,63.1869203447785,76.2380952380952,61.3767576926706,59.0310464432121,63.9408866995074,54.8594788493278,105.20996446942
1,1,7,7,3,71.5714285714286,58.2405500441817,72.1904761904762,55.5898949127353,53.0399146473702,58.4105090311987,48.0277141806565,119.332060469036
1,10,7,7,3,71.1428571428571,59.2100281345802,72.4285714285714,56.0987424109433,52.6234295566297,60.1149425287356,48.4499757705311,117.733530916078
10,1e-05,7,7,3,75.3333333333333,63.0956238143126,76.2857142857143,61.4286149433278,59.4327109062034,63.5862068965517,54.9561146907569,105.186067259673
10,0.0001,7,7,3,75.3809523809524,63.1899288600586,76.3333333333333,61.4890299412885,59.4938554032247,63.6453201970443,55.0274681534008,104.922707865737
10,0.001,7,7,3,76,63.6356494857152,76.6666666666667,61.8537414890835,59.9622404954604,63.8916256157636,55.4702000445129,103.559490158171
10,0.01,7,7,3,75.6666666666667,63.3804755462127,76.3809523809524,61.5669991848294,59.3875325364224,63.944170771757,55.0936425579055,104.533328418965
10,0.1,7,7,3,75.1904761904762,62.0063005199967,75.4761904761905,60.0659650174544,58.0690794400321,62.2298850574713,53.3636917524183,108.26387115609
10,1,7,7,3,71.2857142857143,59.2128819592353,72.2857142857143,56.3551148904425,53.7342156262396,59.303776683087,48.9038341054969,116.729538157107
10,10,7,7,3,70.8095238095238,59.399839094449,71.7142857142857,55.5512607110988,52.8046893873036,58.7093596059113,47.9164569459563,116.363712145166
100,1e-05,7,7,3,75.0476190476191,61.8281365148891,75.2857142857143,59.9521605004132,57.8975021634051,62.1970443349754,53.2200550334754,108.836617077562
100,0.0001,7,7,3,74.8095238095238,61.4738253582726,75.0476190476191,59.5412626236722,57.445937401555,61.8292282430213,52.7382171099715,109.862385447104
100,0.001,7,7,3,75.2380952380952,62.1327056133708,75.5714285714286,60.181688749283,58.202654593616,62.3481116584565,53.5022350621502,107.93188534367
100,0.01,7,7,3,75.0952380952381,61.6551263508001,75.3333333333333,60.0460253976257,58.178956660161,62.0919540229885,53.3532394287345,109.220544931522
100,0.1,7,7,3,74.7619047619048,61.6448775835647,75.2380952380953,60.0226039540391,57.9940447262316,62.256157635468,53.2946549099475,109.330047271884
100,1,7,7,3,69.9523809523809,56.6733121067835,70.5238095238095,54.1890333625714,51.639393607417,57.0903119868637,46.3563344848143,123.765079625126
100,10,7,7,3,66.6190476190476,55.536629851817,67.7142857142857,52.2675911521208,48.7036709396579,56.5977011494253,43.8282473204646,128.055872442112
1000,1e-05,7,7,3,71.3333333333333,59.0931956713194,72.2857142857143,57.0631301563078,55.2169642953364,59.0738916256158,49.8731932803236,116.3046918409
1000,0.0001,7,7,3,72.2380952380952,59.9372479178084,73.0952380952381,57.9368940572275,56.2046303116437,59.8259441707718,50.9014691107817,113.849592065738
1000,0.001,7,7,3,72.1904761904762,59.9840005929651,73.0476190476191,58.0237529895424,56.2837461761311,59.9146141215107,51.0066084538619,113.723284653891
1000,0.01,7,7,3,73.7142857142857,60.4845886613688,74.0952380952381,58.7495905795366,56.9915527173938,60.6535303776683,51.8596239130862,112.360653071454
1000,0.1,7,7,3,73.4761904761905,60.6096833488036,74.2857142857143,59.077556092876,56.7823085264665,61.6256157635468,52.1510168871108,112.502040747361
1000,1,7,7,3,69,54.8087114645295,69.1428571428571,52.196440800666,50.0016221677701,54.6174055829228,44.0973460219657,128.66186823331
1000,10,7,7,3,64.0476190476191,52.2367426778704,64.8571428571429,49.30868887143,45.8660112807467,53.5270935960591,40.3076558212768,137.326824346041
10000,1e-05,7,7,3,66.952380952381,53.9901591655452,67.7619047619048,52.9066418603899,49.9548526627955,56.2660098522168,44.7914332500067,131.917078503316
10000,0.0001,7,7,3,67.1904761904762,54.6287234182009,68.0476190476191,52.8753894575134,49.5575858060104,56.7257799671593,44.6818665630298,130.423826550253
10000,0.001,7,7,3,66.1428571428572,53.4229314847754,66.7142857142857,52.063140381343,48.9176309813193,55.7044334975369,43.7582047207306,133.774286594182
10000,0.01,7,7,3,67,54.6067999280763,68,53.5868679890145,50.3908108959414,57.2873563218391,45.5419563566386,130.330886257225
10000,0.1,7,7,3,62.5238095238095,51.7370349021514,63.8095238095238,50.4541872328982,46.2610185528908,55.7175697865353,41.5829129641677,139.626138099873
10000,1,7,7,3,60.4285714285714,47.6882095450967,61.1428571428571,47.317639608287,42.6753997680673,53.3530377668309,37.7060975888941,151.538847238747
10000,10,7,7,3,52.9523809523809,43.496089482602,53.7619047619048,43.1393145412035,37.0191946065669,51.9014778325123,32.1553440827631,165.015057531608
0.1,1e-05,14,14,3,69.6190476190476,57.2934210802537,70.6666666666667,55.0432610953188,53.1181484093174,57.1494252873563,47.4858481742611,121.447438978332
0.1,0.0001,14,14,3,70.9047619047619,57.4769821301204,71.5714285714286,55.6467738835327,53.793627852054,57.6617405582923,48.2058137843383,120.845664949166
0.1,0.001,14,14,3,69.4285714285714,57.307201578001,70.2380952380952,54.8033493250742,52.8370930137724,56.9490968801314,47.1942683942352,121.427603906453
0.1,0.01,14,14,3,67.7142857142857,56.8225294713305,68.8095238095238,53.9117526413619,51.7491329089261,56.2889983579639,46.123386565837,123.036597913558
0.1,0.1,14,14,3,70.7142857142857,59.7121646484793,71.8571428571429,56.757718697424,54.4610496355542,59.2775041050903,49.4381383257527,114.968133784131
0.1,1,14,14,3,63.7619047619048,53.5110902256346,65.952380952381,50.0996700610601,47.0799283883758,53.6288998357964,41.4040138263465,133.112166901754
0.1,10,14,14,3,62.8095238095238,55.0219907087074,64.5714285714286,47.606789211394,40.574515175752,57.9376026272578,37.3156429657412,134.246328681486
1,1e-05,14,14,3,78.9523809523809,67.7084980801857,79.5238095238095,65.58017758498,63.6785969620331,67.6223316912972,59.8216363158812,92.121488087058
