Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,std1,std2,std3,std4,std5,std6,std7,std8
0.1,1e-05,40,40,3,63.55,77.066956920112,66.2,49.1197042929107,46.8816979786358,51.5888888888889,47.8876252000755,124.616403879931,3.31829943059862,2.19631651647775,2.88867520577244,3.6519565938765,3.62951683180896,3.70705404021367,3.74360897947744,11.7293473021452
0.1,0.0001,40,40,3,63.475,76.9900286597005,66.075,49.1534905140999,46.9547411095062,51.5722222222222,47.9234607212846,125.051562515074,3.01258932555442,2.29026568074938,2.74633594287209,3.73179940812544,3.67397982053691,3.81086184981938,3.8243464762209,12.2159696879093
0.1,0.001,40,40,3,63.775,77.3195035973235,66.125,49.4623512542067,47.0913248456046,52.0888888888889,48.2359492031417,123.423292295934,4.25971112739924,2.48116309920352,3.79006376375561,4.32818569156872,4.12706452033656,4.57525101067685,4.43280709807362,13.128523491288
0.1,0.01,40,40,3,64.2,78.0030670331713,66.95,50.5679750528095,48.2615428490207,53.1166666666667,49.3717953891328,119.681881171203,2.35937844922485,1.41445687838791,1.85517294791258,2.37725758735785,2.08292084245223,2.81523510507471,2.42877476958299,7.2223434511618
0.1,0.1,40,40,3,66.45,79.8549242697209,68.9,53.0863719191158,49.803339481156,56.8555555555556,51.9293840462572,110.858945084029,2.65832027165025,1.38294542253627,2.67498701969852,3.17417839679284,3.35063033109189,3.0257468553932,3.26270921212826,7.39681343191822
0.1,1,40,40,3,61.625,75.9138584341834,64.425,45.8917164409233,43.0462249517741,49.1944444444444,44.5536223124254,131.656503405607,3.51237890261793,2.30121465329641,3.08457182333842,4.57941810651043,5.06965521240695,3.99641900748682,4.71944445493925,12.8506344436128
0.1,10,40,40,3,62.6,76.5662495810034,65.375,46.8552457160459,43.3164320058592,51.05,45.5263271164513,128.929439131436,3.17367645203827,2.35178373397442,2.87046744160831,4.34033068023439,3.96041230355386,4.96927804412627,4.4462311735987,12.1755934940177
0.1,100,40,40,3,62.4,76.2356167203424,64.675,46.3778012110762,43.6092640793541,49.5444444444444,45.0575493968556,129.833987524946,4.611579628139,2.85760176118553,4.83196819801897,5.65552322105747,5.63705702779225,5.70765856154203,5.80555309239773,15.4636358390221
1,1e-05,40,40,3,65.225,79.1782629675683,68.05,52.208090707203,49.6343423767032,55.0777777777778,51.0458244327244,113.61318975132,1.89095067213411,1.49873243435231,1.88856206322871,2.7245081788722,2.89823672514768,2.61146569696401,2.79778889684428,8.1559431903329
1,0.0001,40,40,3,65.2,79.0631247135157,67.85,51.8722495821368,49.2281524656275,54.8333333333333,50.6995215881646,114.315219396509,1.81735460980453,1.46329962483758,1.69230283604587,2.71752584040817,2.95175755598743,2.53399384934775,2.79241028411308,8.03320007178846
1,0.001,40,40,3,65.725,78.9598834431613,68.225,52.4122364390604,49.9388131188681,55.1666666666667,51.2564929722308,114.739137406769,2.26828985998018,1.42795452824311,2.02912816527471,3.18945463340651,3.60080251555638,2.72807383171272,3.28248092708851,8.14617669759601
1,0.01,40,40,3,66.075,79.0895849411696,68.725,52.5501150929012,50.1238746890565,55.2333333333333,51.4003232636555,113.947263866226,3.72873600865256,2.06117253050343,3.54818028478449,4.11665415733772,4.06588322567053,4.23202241456979,4.21933613044309,11.031880646117
1,0.1,40,40,3,68.675,81.2192421079474,71.175,55.911225816753,53.1203009710283,59.0333333333333,54.8385853170703,102.786215250717,3.24047750253638,1.74753766956961,2.530508293253,3.22910675052553,3.23660063559006,3.39290391584662,3.31043689904006,9.30643435869574
1,1,40,40,3,62.9,77.3848745536833,65.575,48.339361567893,44.8850160403764,52.3944444444444,47.0531826379992,124.459982096823,2.65151948051595,1.88274717140638,2.67459758136102,3.44907961200674,3.17478559958515,3.9603184322789,3.533268350018,9.89948545212312
1,10,40,40,3,64.7,78.3001731448965,67.75,49.9180783685096,46.3288921336902,54.1277777777778,48.6697913718838,119.778290070168,2.33868434048814,1.72526132686113,2.29431664965603,3.41126347105507,3.36756664951665,3.5547886904491,3.50186140803231,9.21921213976579
1,100,40,40,3,64.425,77.4358300375182,66.425,48.9674237438024,46.2725295411285,52.0111111111111,47.7190706131659,123.176996795308,2.73620276214237,2.01513309160716,2.87964600447887,3.88782420254097,3.77511520669462,4.10708845570562,3.98477974821569,10.6679309422953
10,1e-05,40,40,3,62.3,76.9518166483736,65.475,48.5457829954083,46.090450688259,51.2888888888889,47.2926480563278,125.537318678348,2.79831298384501,2.38029755108588,2.99872658158611,4.15869177465984,4.13109974302067,4.2319413803082,4.26625484316674,12.7738947323555
10,0.0001,40,40,3,62.825,76.936800960422,65.475,48.3831150741885,45.7980793236436,51.2833333333333,47.1222522636652,125.794679879359,3.12483332888865,2.31516273358652,3.01719608614061,4.09081328252195,4.04775212521156,4.14653159638696,4.19638701854973,12.3710224875322
10,0.001,40,40,3,63.225,77.1664816544424,66.025,48.8055489627666,45.9746170096678,52.0166666666667,47.5484577404255,124.869641881706,3.60834295610726,2.49817750136646,3.48897071737019,4.42869012402459,4.38964371829075,4.47543592837292,4.54481943607665,13.4623540198263
10,0.01,40,40,3,64.05,78.1625379758036,66.65,50.259684183218,47.6863605430527,53.1388888888889,49.0489230838662,119.032715121892,3.42944763935989,2.1538507986372,3.33166624979154,4.37263821909021,4.03524297188306,4.83452163624315,4.47433575509333,11.1388406420728
10,0.1,40,40,3,65.6,79.9721182977533,68.825,52.4695048595653,49.158240655277,56.3055555555556,51.2944723278333,110.297506533957,3.0736333909922,1.73970550527437,2.4581214597963,3.81544724377459,4.2823808586475,3.37771381518387,3.92359802029928,9.83022590074667
10,1,40,40,3,61.175,76.1062985655629,63.775,45.7418224615227,42.4782066625244,49.5888888888889,44.3898930350016,131.202497743639,2.71837880607787,0.936686290033968,2.02912816527471,2.09439698282143,2.33329188522372,2.13424620386462,2.15779067967431,5.07173658704409
10,10,40,40,3,62.025,76.4890776464084,64.5,46.4559991087607,43.1647142553395,50.3277777777778,45.1214931809434,129.250135447531,4.7877882854891,2.60357847968311,4.38114647603164,5.15238377901597,5.16795710291636,5.23255151298836,5.29075266689269,14.03006197528
10,100,40,40,3,62.55,76.7628732048171,65.2,47.0934153158773,43.9701986649016,50.7055555555555,45.783275076117,127.336743155079,3.68894745602771,2.29888772796682,3.40098025084926,4.21997991997881,4.02726187454034,4.50803656706401,4.3256670170119,12.095889156417
100,1e-05,40,40,3,63.3,77.0605859149478,65.875,48.4563948685382,45.9601319405392,51.2555555555556,47.2013784607823,124.952392046383,3.17717554510991,2.08610132391046,2.47276835415963,3.50016544175008,3.12499399735291,4.03951673758768,3.57922349581704,10.6247363117877
100,0.0001,40,40,3,62.35,76.4839912471469,65.175,47.4030975549951,44.9783350893132,50.1111111111111,46.1216023774384,127.968649641114,3.28337563424527,1.8478744214439,3.0024295717524,3.84509331845756,3.80269238407279,3.91464136411015,3.94349838682318,9.88850603958528
100,0.001,40,40,3,61.8,76.7369322556433,64.425,47.7218421475749,45.3171222561567,50.4055555555556,46.4497681670054,126.642917723181,3.75980200424319,2.07578358359948,3.32091436538527,4.15760876089184,3.96885281392158,4.42898933189702,4.25853803802287,10.9352158999736
100,0.01,40,40,3,63.2,77.4698393763581,65.65,48.9469526464256,46.3302950310672,51.8944444444444,47.7010861870295,122.923166016622,3.23135678418009,1.85624655961937,2.97955999734487,3.68126021783135,3.37709275949955,4.15900117928907,3.76594530919475,9.47560301073388
100,0.1,40,40,3,66.775,80.1236811789517,69.2,53.6646248727203,50.8335964777072,56.85,52.5329266959034,108.878694889033,2.56972220720883,1.89076476374524,2.53256567316405,3.58461526385628,3.83856212609333,3.34955415414501,3.68190669719708,10.4188112823543
100,1,40,40,3,59.225,74.8104398657817,61.95,43.9159460704965,40.733266568626,47.6555555555556,42.5170884817467,138.143145895096,2.66262714876366,1.88323836853113,3.04092456700626,3.09993654468972,3.10399040179032,3.16897251980444,3.18381545431316,10.2473374558357
100,10,40,40,3,61.275,76.0246734320164,63.8,45.6164864444224,42.2797573745286,49.5888888888889,44.2559597258467,131.597168477835,4.08664831426004,2.44411716325076,4.08724302624098,4.68094740432434,4.92133220958835,4.45447941192635,4.81876653148349,13.4682170068025
100,100,40,40,3,61.2,75.7247756455966,63.75,45.3302668604098,42.2119627433792,48.9888888888889,43.9666536521126,133.008600342958,4.91709037722287,3.15099254907146,4.72728486789428,6.0748420851351,6.3218997419999,5.66041776003388,6.25722459361771,17.486284777151
1000,1e-05,40,40,3,60.15,74.5401049606286,62.575,44.1145072736912,41.747603344462,46.7777777777778,42.7498544426366,138.397422853586,3.70285175386635,1.75982331903345,3.13592534633364,3.49238689396728,3.32405993925356,3.77187265421513,3.57715724226542,9.19362302995847
1000,0.0001,40,40,3,59.975,74.742363791187,62.75,44.3549995802403,41.8949756077136,47.1333333333333,42.9936596746329,137.485158484248,3.65614019303296,1.68970307424501,3.03452357600552,3.35230876134769,3.16609324976609,3.65197205121093,3.43281659897015,8.83718003203763
1000,0.001,40,40,3,60.15,74.9786188304157,62.6,44.916971888646,42.6591783933504,47.45,43.5752123613021,135.920462736353,2.84848887814028,1.9124564354533,3.03269223994494,3.53774264204798,3.68137249726488,3.43471844687856,3.63622258497326,10.3700305125051
1000,0.01,40,40,3,60.8,75.8868971509584,63.375,46.1767763328937,43.6965896588212,48.9888888888889,44.8609930127643,131.302366399823,3.24208437754342,2.09479088083394,3.10073915918984,3.92422309366559,3.98689413725498,3.98503717197252,4.02875044355214,11.2996987725297
1000,0.1,40,40,3,61.975,76.3434095267031,64.25,46.9849647623937,44.5104554152486,49.7555555555556,45.6919847466751,128.81313908572,4.20556839863003,2.50744853991116,4.19986772278472,4.46516658908819,4.18767331340709,4.80384790896946,4.57341790774273,13.1317734651538
1000,1,40,40,3,57.95,73.4614510697744,60.225,42.0370428495692,39.1637121480428,45.3777777777778,40.5981321503704,144.84434805971,3.84201914507348,2.41144317823,3.84500036121946,4.18769981828662,4.01460429394312,4.43485075674119,4.29549414612977,12.7792251341663
1000,10,40,40,3,57.35,73.2013001026313,59.575,41.1885220985037,38.3658565736431,44.4722222222222,39.7276170216866,146.328523234362,3.6040101122068,2.4794695834156,3.92826297490379,4.2762703810456,4.17558364981048,4.40057437951962,4.39053676366512,13.4309724259157
1000,100,40,40,3,58.375,73.8792909718772,61.575,42.0470413298377,38.5908443347104,46.2222222222222,40.5844648933727,143.547589718038,3.27288948110925,2.66340827250123,3.30204061486564,4.48268097414483,4.43170198965414,4.65179877299277,4.60824542154232,14.3636230543521
