Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,,,,,,,,
0.001,1.00E-05,10,10,3,79.43,76.91061092,80.705,73.36612121,71.27552593,75.60698492,70.32525855,78.26333058,,,,,,,,
0.001,0.0001,10,10,3,79.43,76.91061092,80.705,73.36612121,71.27552593,75.60698492,70.32525855,78.26333058,,,,,,,,
0.001,0.001,10,10,3,79.43,76.92517527,80.77,73.39095525,71.25324672,75.68557789,70.35105773,78.25065414,,,,,,,,
0.001,0.01,10,10,3,79.485,76.91643075,80.775,73.38904195,71.27811356,75.65351759,70.35014824,78.25821445,,,,,,,,
0.001,0.1,10,10,3,79.67,77.32394294,81.015,73.71677475,71.50383969,76.10296482,70.71120544,76.98701749,,,,,,,,
0.001,1,10,10,3,80.095,77.80784593,81.09,73.93937555,71.82400152,76.21859296,70.96381197,75.31327343,,,,,,,,
0.001,10,10,10,3,80.125,77.93107987,81.075,73.75397212,71.27448546,76.48839196,70.7386765,75.22177557,,,,,,,,
0.001,100,10,10,3,79.055,76.82758036,80.585,72.80529356,70.49546276,75.3079397,69.68819889,78.66176377,,,,,,,,
0.001,1000,10,10,3,79.135,76.91970033,80.38,72.93748621,70.57735674,75.50060302,69.83308255,78.4183208,,,,,,,,
0.001,10000,10,10,3,78.91,76.89457426,80.315,72.9663756,70.69191571,75.41552764,69.8701813,78.39738141,,,,,,,,
0.001,100000,10,10,3,78.91,76.86547585,80.315,72.94979491,70.69533938,75.37733668,69.8527019,78.47972789,,,,,,,,
0.01,1.00E-05,10,10,3,80.68,79.25657069,82.76,76.35302146,73.88801436,78.99703518,73.6423715,70.71434322,,,,,,,,
0.01,0.0001,10,10,3,80.68,79.23410803,82.755,76.3387675,73.87538878,78.98095477,73.62653214,70.78728687,,,,,,,,
0.01,0.001,10,10,3,80.695,79.2466907,82.775,76.34492261,73.87086843,78.99964824,73.63293594,70.75344747,,,,,,,,
0.01,0.01,10,10,3,80.72,79.30121777,82.805,76.38629235,73.91028405,79.04291457,73.67898049,70.57502522,,,,,,,,
0.01,0.1,10,10,3,80.85,79.59032141,82.925,76.5520667,74.01922116,79.27376884,73.86153447,69.66011043,,,,,,,,
0.01,1,10,10,3,80.815,79.90720809,82.99,76.67600498,73.90328293,79.68713568,73.99016778,68.78821012,,,,,,,,
0.01,10,10,10,3,80.395,79.14624635,82.335,75.52827181,72.70292054,78.62437186,72.7057346,71.36144246,,,,,,,,
0.01,100,10,10,3,79.86,78.28481956,81.57,74.62393787,72.13053731,77.31190955,71.71053081,73.92159025,,,,,,,,
0.01,1000,10,10,3,79.895,78.10156261,81.7,74.65277108,72.04620571,77.46467337,71.73675739,74.62596686,,,,,,,,
0.01,10000,10,10,3,79.98,78.12649206,81.755,74.71354772,72.11254028,77.51693467,71.8050968,74.54303695,,,,,,,,
0.01,100000,10,10,3,79.98,78.13951225,81.715,74.69531458,72.15779156,77.42507538,71.78778512,74.45304362,,,,,,,,
0.1,1.00E-05,10,10,3,79.98,76.89997841,81.18,74.27727319,72.06194581,76.64507538,71.33629426,78.28912809,,,,,,,,
0.1,0.0001,10,10,3,79.98,76.89997841,81.18,74.27727319,72.06194581,76.64507538,71.33629426,78.28912809,,,,,,,,
0.1,0.001,10,10,3,80,76.90739855,81.185,74.27858099,72.06270664,76.64577889,71.33768202,78.26413697,,,,,,,,
0.1,0.01,10,10,3,79.96,76.85848887,81.155,74.2060127,71.96651124,76.60075377,71.25552959,78.44424895,,,,,,,,
0.1,0.1,10,10,3,79.98,77.06662384,81.165,74.29924399,71.89622445,76.87226131,71.35214345,77.86539895,,,,,,,,
0.1,1,10,10,3,80.385,77.55861105,81.565,74.63070871,72.24194805,77.20773869,71.72320301,76.2446337,,,,,,,,
0.1,10,10,10,3,80.025,78.11689236,81.755,74.84269147,72.13062417,77.78984925,71.94436977,74.63381408,,,,,,,,
0.1,100,10,10,3,79.61,76.94567299,80.895,73.68453503,71.17068203,76.39371859,70.66002776,78.33390464,,,,,,,,
0.1,1000,10,10,3,79.53,76.53035751,80.725,73.39571584,70.90999178,76.07356784,70.33873121,79.69465059,,,,,,,,
0.1,10000,10,10,3,79.605,76.66323659,80.87,73.60833993,71.15312179,76.24582915,70.57771267,79.23192482,,,,,,,,
0.1,100000,10,10,3,79.645,76.71908254,80.92,73.6668501,71.1874583,76.33155779,70.64192535,79.06692028,,,,,,,,
1,1.00E-05,10,10,3,81.29,75.63218656,81.945,73.7433482,72.25731877,75.31090452,70.77010839,81.98300427,,,,,,,,
1,0.0001,10,10,3,81.285,75.62509642,81.94,73.73672978,72.2509473,75.3040201,70.76273544,82.00636819,,,,,,,,
1,0.001,10,10,3,81.245,75.59186418,81.915,73.69542978,72.20698771,75.26577889,70.7165587,82.11724981,,,,,,,,
1,0.01,10,10,3,80.99,75.57407779,81.655,73.48600257,71.93373628,75.12281407,70.48162548,82.22282571,,,,,,,,
1,0.1,10,10,3,80.655,75.62808032,81.41,73.43452755,71.71629629,75.25241206,70.41653841,82.17191051,,,,,,,,
1,1,10,10,3,82.255,76.5863778,82.96,74.67870188,73.09490934,76.36331658,71.80372918,78.89637686,,,,,,,,
1,10,10,10,3,81.125,76.17448507,81.905,73.57459166,71.91236806,75.33979899,70.57525664,80.32867971,,,,,,,,
1,100,10,10,3,80.515,75.03068376,81.21,72.31257692,70.53241127,74.20256281,69.1625744,84.20290998,,,,,,,,
1,1000,10,10,3,80.615,74.75962079,81.145,72.35150032,70.71201723,74.08829146,69.21374245,84.99354354,,,,,,,,
1,10000,10,10,3,80.59,75.04390698,81.215,72.65144103,70.9001032,74.50738693,69.54144578,84.12111184,,,,,,,,
1,100000,10,10,3,80.6,75.02176014,81.195,72.63072605,70.87932122,74.48628141,69.51851606,84.19464028,,,,,,,,
10,1.00E-05,10,10,3,77.355,72.16420342,78.13,67.55569687,66.30965195,68.85839196,63.89349129,93.42244231,,,,,,,,
10,0.0001,10,10,3,77.355,72.16420342,78.13,67.55569687,66.30965195,68.85839196,63.89349129,93.42244231,,,,,,,,
10,0.001,10,10,3,77.35,72.16167547,78.125,67.55259023,66.29872349,68.86422111,63.88960219,93.43666306,,,,,,,,
10,0.01,10,10,3,77.41,72.27520137,78.185,67.65801182,66.40460257,68.96849246,64.00699979,93.05982585,,,,,,,,
10,0.1,10,10,3,78.525,72.68659139,78.905,68.28516864,67.16733775,69.44974874,64.71254597,91.59498958,,,,,,,,
10,1,10,10,3,93.915,87.467025,93.915,88.31013993,88.15320754,88.46778894,87.01515787,41.74373626,0.269825046,0.397299552,0.269825046,0.496705426,0.563862376,0.435813221,0.552802742,1.347246665
10,10,10,10,3,79.885,74.14075819,80.685,70.41718589,69.26221539,71.63341709,67.0814592,86.76853298,,,,,,,,
10,100,10,10,3,79.28,73.62081506,80.14,69.97236446,68.78577028,71.21748744,66.58393646,88.51666773,,,,,,,,
10,1000,10,10,3,79.435,73.04936764,79.83,69.24340131,68.1212664,70.41768844,65.77761666,90.38344128,,,,,,,,
10,10000,10,10,3,78.505,72.21035758,78.88,68.14911162,66.99399097,69.35567839,64.55867697,93.19905244,,,,,,,,
