Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy
0.001,1e-05,10,10,3,77.355,72.8541755827128,78.875,70.1922776270929,68.5908915782304,71.891256281407,66.812234744223,91.3215031926347
0.001,0.0001,10,10,3,77.35,72.8554411563701,78.86,70.1671369032224,68.5701466551779,71.8611055276382,66.784508788684,91.3141908938493
0.001,0.001,10,10,3,77.385,72.9394149501806,78.915,70.2406984168851,68.6168218594501,71.9658291457286,66.8652388740861,91.0578348751787
0.001,0.01,10,10,3,77.7,73.5115394908374,79.22,70.7548260105143,69.0999579053087,72.5149748743719,67.4367454405953,89.1797820029099
0.001,0.1,10,10,3,78.175,74.9071548948556,79.945,71.722642178043,69.820138697071,73.7543216080402,68.5029092235494,84.7333217893682
0.001,1,10,10,3,76.725,71.7531096903778,78.66,68.056503632745,65.2157294274971,71.2262814070352,64.3550599307058,96.0078731218645
0.001,10,10,10,3,76.2,74.8407768952754,79.45,69.7706124550669,65.0358310070961,75.3794472361809,66.1470776467915,87.4960270305877
0.001,100,10,10,3,70.43,67.6341151036686,71.65,55.5828638056781,49.7632313120518,63.4168341708543,49.9586224547958,112.95653767737
0.001,1000,10,10,3,61.375,57.7691601399252,61.65,38.8388547717725,31.4284476463942,50.8569849246231,30.2556344246501,149.189311340902
0.001,10000,10,10,3,60.69,57.0085420499891,60.79,38.3144529280678,31.1143090294648,49.9010552763819,29.6923600057017,151.395790420108
0.001,100000,10,10,3,60.625,56.9805869667444,60.77,38.3176751632492,31.1186350165453,49.8994472361809,29.6969036086376,151.48638015398
0.01,1e-05,10,10,3,78.035,73.5362254426275,79.78,71.3853793100728,69.6584291745232,73.2186432160804,68.1358324907826,89.1415486245938
0.01,0.0001,10,10,3,78.055,73.5450963331683,79.78,71.3994278077108,69.6767113016816,73.2281909547739,68.1517423619608,89.1083001342109
0.01,0.001,10,10,3,78.12,73.5523124873337,79.82,71.4164551081643,69.6782084193539,73.2635175879397,68.1699285000798,89.0964600792954
0.01,0.01,10,10,3,78.505,74.0552357637489,80.185,71.8082707135983,70.2193591293536,73.4978894472362,68.6145208675983,87.3313424828232
0.01,0.1,10,10,3,79.375,75.8206588781959,81.115,72.8740927192312,70.9610462523014,74.9436683417085,69.7880038579124,81.7446488570151
0.01,1,10,10,3,77.56,71.9430560233526,79.225,69.0923028107112,67.1356987506817,71.2126130653266,65.5675895909231,94.6553895830055
0.01,10,10,10,3,75.685,72.7001407757438,78.77,67.2010920870598,63.2390543953818,71.7482914572864,63.317503388188,93.9731606032631
0.01,100,10,10,3,72.35,68.8293104467981,73.865,58.5255872464132,52.698093381859,65.8873869346734,53.3567125717083,108.587727343375
0.01,1000,10,10,3,62.62,58.6358620343245,62.775,40.1071946820829,32.9806234040037,51.2076884422111,31.8502413243456,145.507101144544
0.01,10000,10,10,3,62.545,58.2238767607593,62.675,39.6222377286567,32.4745408864852,50.8431155778894,31.266732835287,146.948667702992
0.01,100000,10,10,3,62.445,58.298114020855,62.645,39.645698672818,32.4620449269261,50.9566834170854,31.2834848239499,146.786102325705
0.1,1e-05,10,10,3,77.2,71.2635879198652,78.88,69.1325255541014,67.9101201769149,70.4164824120603,65.6533181254578,96.3539388192196
0.1,0.0001,10,10,3,77.21,71.2846917006365,78.9,69.1582094565493,67.936120979078,70.441959798995,65.6819135229451,96.2837591203972
0.1,0.001,10,10,3,77.215,71.499764762569,78.915,69.329572324964,67.9971282570644,70.7286432160804,65.8662511810487,95.6439869533234
0.1,0.01,10,10,3,77.275,71.8078381019147,79.155,69.4959004372625,68.1135252462756,70.9493467336683,66.0486453403531,94.6624534637249
0.1,0.1,10,10,3,78.65,73.1724606522336,80.28,70.6661267067376,69.2744092451586,72.128743718593,67.3500797542038,90.1508531605095
0.1,1,10,10,3,77.885,70.4647464078941,79.48,68.293816444694,67.1621739419186,69.4915577889447,64.7203079993451,99.0033214923711
0.1,10,10,10,3,78.59,73.082389042021,80.53,69.44553222267,66.9209589152488,72.2942211055276,65.9121813912116,91.3741760197129
0.1,100,10,10,3,71.78,65.4143712956611,72.18,53.2267453002235,47.4580610927093,60.7988442211055,47.3160789446631,119.952056622526
0.1,1000,10,10,3,64.825,58.357588515342,65.185,41.3515382731414,34.1777965262505,52.4992462311558,33.3036829090516,146.153263023945
0.1,10000,10,10,3,64.625,58.1858856748834,65.01,41.1325695642439,33.9196063252631,52.4019095477387,33.0360889828001,146.826175176732
0.1,100000,10,10,3,64.585,58.0607688274373,64.965,40.8630911471519,33.5339621751543,52.4537185929648,32.6832973679169,147.443669772107
1,1e-05,10,10,3,76.335,68.4051416224982,77.875,66.0708156091933,65.2520974057352,66.9178894472362,62.2621670177884,105.555031326735
1,0.0001,10,10,3,76.55,68.5820924620427,78.08,66.2974126596484,65.4710977537993,67.1522110552764,62.5142540247431,104.975085692543
1,0.001,10,10,3,77.97,69.3558854838566,79.035,67.331135801154,66.5426369872618,68.1466834170854,63.6658690989904,102.377027485616
1,0.01,10,10,3,76.9,69.2078152593768,78.235,66.7212630375992,65.8535135278174,67.6185929648241,62.9840313218286,102.922042076244
