Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,std1,std2,std3,std4,std5,std6,std7,std8
0.1,1,30,30,9,92.95,85.87012615,92.95,86.53714664,86.2629763,86.81306533,85.04349799,47.1297681,0,0,0,0,0,0,0,0
0.01,1,30,30,9,91.9,84.12491129,91.9,84.52984783,84.14513912,84.91809045,82.8108482,53.00104351,0,0,0,0,0,0,0,0
1,0.1,30,30,9,90.26,81.88318195,90.26,81.77795935,81.22374258,82.3459799,79.74605214,60.57281143,1.709580845,1.945902101,1.709580845,2.938657915,3.322926678,2.577791765,3.278865244,6.652500319
0.1,0.1,30,30,9,90.8,82.11753128,90.8,82.8200319,82.54243972,83.09949749,80.91359464,59.59898866,0,0,0,0,0,0,0,0
0.1,1.00E-05,30,30,9,90.7,81.40525828,90.7,82.57924287,82.49083625,82.6678392,80.65098884,61.83322703,0,0,0,0,0,0,0,0
0.001,0.01,30,30,9,90.6,81.62320271,90.6,82.65260272,82.57570058,82.72964824,80.73276784,61.10054816,0,0,0,0,0,0,0,0
0.1,0.0001,30,30,9,90.6,81.19611905,90.6,82.43253081,82.35665883,82.50854271,80.48836222,62.51925317,0,0,0,0,0,0,0,0
0.01,1000,30,30,9,89.7,79.84090187,89.7,80.601363,80.28809478,80.91708543,78.44743887,67.1842199,0,0,0,0,0,0,0,0
0.1,0.01,30,30,9,89.7,81.16886519,89.7,81.18612523,80.72331653,81.65427136,79.09289499,62.88230113,0,0,0,0,0,0,0,0
0.01,100,30,30,9,89.6,79.65075402,89.6,80.54490399,80.29091744,80.80050251,78.38647628,67.77731954,0,0,0,0,0,0,0,0
0.01,0.1,30,30,9,89.5,81.17842502,89.5,80.31339355,78.95148214,81.72311558,78.09515552,63.4929303,0,0,0,0,0,0,0,0
0.01,10,30,30,9,89.4,79.39604977,89.4,80.15678147,79.84960381,80.46633166,77.95362706,68.66121153,0,0,0,0,0,0,0,0
1,1.00E-05,30,30,9,89.35,79.44197025,89.35,80.30484655,80.15248451,80.45778894,78.12284032,68.40118147,0,0,0,0,0,0,0,0
1,0.0001,30,30,9,89.35,79.44197025,89.35,80.30484655,80.15248451,80.45778894,78.12284032,68.40118147,0,0,0,0,0,0,0,0
0.01,0.01,30,30,9,89.05,80.60562132,89.05,80.0513767,79.46474549,80.64673367,77.82784971,64.85356655,0,0,0,0,0,0,0,0
1,0.01,30,30,9,89,79.57683142,89,79.71786246,79.3595777,80.07939698,77.46431134,68.10275476,0,0,0,0,0,0,0,0
0.001,0.1,30,30,9,88.8,80.42386844,88.8,79.3398282,78.11892713,80.59949749,77.01601868,65.91811323,0,0,0,0,0,0,0,0
0.001,0.001,30,30,9,88.55,79.3847692,88.55,78.98071343,78.5638639,79.40201005,76.64321359,68.77910906,0,0,0,0,0,0,0,0
