Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,std1,std2,std3,std4,std5,std6,std7,std8
0.001,1e-05,6,6,3,45.8579881656805,38.4060195529693,61.4201183431953,38.4298116429023,41.5250889681242,35.947256744468,21.415698983616,139.250105067855,4.38606626389292,3.93298081418513,2.36357430831483,2.70481019761635,4.63586006472772,2.39790085648782,4.14955169167671,10.0105158062867
0.001,0.0001,6,6,3,45.8579881656805,38.4060195529693,61.4201183431953,38.4298116429023,41.5250889681242,35.947256744468,21.415698983616,139.250105067855,4.38606626389292,3.93298081418513,2.36357430831483,2.70481019761635,4.63586006472772,2.39790085648782,4.14955169167671,10.0105158062867
0.001,0.001,6,6,3,46.2721893491124,38.5320702781646,61.3609467455621,38.6024691815387,41.1545958752338,36.6474689299788,21.2334223620024,139.401699521298,3.59169377202052,4.04370424969929,2.46429951860126,2.27229964920062,5.1630771415529,1.31911358353987,4.40409985210606,10.8578380465185
0.001,0.01,6,6,3,43.8461538461538,37.3800199523029,59.9408284023669,36.6809349221727,38.65597246422,35.2561382237041,18.4855400869317,142.469855776918,4.04651825109778,3.17831509684372,2.84530011074766,2.78037152916793,5.48984946198896,2.44135998847155,4.77158702046486,8.34207131377628
0.001,0.1,6,6,3,42.0710059171598,34.3518378003406,57.0414201183432,34.5390953294439,33.9463520502841,35.3440436495908,14.1712017221102,151.297228043743,2.60847660167442,2.40138786610314,2.09110189833508,1.32023424423972,2.32448168151471,2.29119717888647,2.3514254941239,5.73404249629855
0.001,1,6,6,3,40.8284023668639,34.3010192489066,56.6863905325444,34.013756427924,32.9029527431725,35.7502273416187,12.8716460041272,151.973644671082,3.28862564113078,2.08161132183418,2.33042295664567,1.86863698391165,3.56318238364984,3.59393189160576,3.76314187583697,5.36457914191913
0.001,10,6,6,3,40.2958579881657,34.1952644914499,56.6272189349112,33.5859943394733,33.0034848593825,34.5892694755987,12.8131668864202,151.510460883451,4.34328304644126,2.65834875490432,2.24973149863651,2.32354756743129,3.30698078740913,3.53591849601371,3.89171462322775,6.51446668885225
0.001,100,6,6,3,40.8284023668639,33.5578230491874,56.3905325443787,33.9758748143232,33.4981033903695,35.0439527129433,13.3608986296966,153.103859334859,4.22109162900053,2.53558159034159,2.26695787190447,2.68910225953833,3.77581652028895,4.51857554081972,4.31166731563052,5.26599716405833
0.001,1000,6,6,3,40.6508875739645,33.6623527268084,56.3905325443787,33.867067325264,33.3696823184822,34.9499848438921,13.2104581778028,152.841650260587,4.37540967896958,2.26584247466331,2.24973149863651,2.78500652120351,3.77518567112059,4.60353315913848,4.35751341860605,4.79914121322454
0.001,10000,6,6,3,40.6508875739645,33.6623527268084,56.3905325443787,33.867067325264,33.3696823184822,34.9499848438921,13.2104581778028,152.841650260587,4.37540967896958,2.26584247466331,2.24973149863651,2.78500652120351,3.77518567112059,4.60353315913848,4.35751341860605,4.79914121322453
0.001,100000,6,6,3,40.6508875739645,33.6623527268084,56.3905325443787,33.867067325264,33.3696823184822,34.9499848438921,13.2104581778028,152.841650260587,4.37540967896958,2.26584247466331,2.24973149863651,2.78500652120351,3.77518567112059,4.60353315913848,4.35751341860605,4.79914121322454
0.01,1e-05,6,6,3,46.3905325443787,42.8395385410394,63.5502958579882,40.1288133493675,41.5488369065001,38.9663534404365,22.6541721063316,130.162223335684,4.03448289563569,3.08904887996867,2.9414361944469,2.72418645717924,4.54458940985971,1.89823486851836,4.38398146645444,8.24097559477277
0.01,0.0001,6,6,3,46.3905325443787,42.8010176851287,63.6686390532544,40.2644612252145,41.7097394468756,39.0785086389815,22.8333068970185,130.215429452154,4.01515128994066,2.97326637787958,3.13355062851842,2.77691674662612,4.66886144880169,1.80904089601096,4.49886189963369,8.07436668340649
0.01,0.001,6,6,3,46.4497041420118,43.2519411378751,63.5502958579882,40.3183956815236,41.4931668787854,39.3876932403759,22.7813150520112,129.399756693453,4.29645382855857,2.6593951680624,2.73586443935301,2.5578382007603,4.14498677189993,2.26228343083217,4.0510830010688,6.88584098284233
0.01,0.01,6,6,3,45.9171597633136,42.1501956366933,62.8402366863905,39.321909136926,40.2261183980998,38.7390118217642,21.2263368772217,132.195899126165,4.13919318014191,3.76512802495592,3.26249674605686,3.15367873705671,5.49376183174644,2.00971997486774,5.41254880336161,10.0574216643594
0.01,0.1,6,6,3,43.5502958579882,38.0159768980616,59.6449704142012,36.5709440224346,35.8441588001477,37.7447711427705,16.6436608521532,143.053700151502,4.68581936896225,2.78020519649752,2.36357430831483,2.62696649625907,4.00908948493524,3.57515134730035,4.31539957660389,6.58362897518859
0.01,1,6,6,3,42.603550295858,36.260768678176,57.810650887574,35.2834337707026,33.2151440628401,37.9418005456199,13.9017213375385,148.197515701562,4.15607643110562,2.44106021834155,2.84530011074766,3.15143181897336,3.88137833144616,3.86004774786729,4.83789739523144,5.62387484392874
0.01,10,6,6,3,40.7100591715976,35.2151909893309,56.6272189349112,33.7620417106323,30.8742730731812,37.4386177629585,11.14349868553,151.166716600144,4.05947635729797,3.19513429266658,3.31278753777227,3.4013558473765,3.16817751843598,4.49935242495994,4.58234467874493,6.83196562077937
0.01,100,6,6,3,40.5325443786982,35.3437353507469,56.1538461538461,33.4819049270377,30.2000222907784,37.820551682328,10.2732822671901,151.259724041871,4.1770845334413,2.54509126135752,3.17364295673655,2.99603551677738,3.21639502114104,3.86771019238681,4.51801191933244,6.07207947781447
0.01,1000,6,6,3,40.3550295857988,35.0506068272216,55.7988165680473,33.3061734013196,30.1847938305967,37.4568050924523,10.1954612049373,151.801733632558,4.28330439546837,2.76385771137467,3.42820988866539,3.18575660902937,3.22149668640864,4.44457555450806,4.55657845620515,6.23846061543551
0.01,10000,6,6,3,40.3550295857988,35.0506068272216,55.7988165680473,33.3061734013196,30.1847938305967,37.4568050924523,10.1954612049373,151.801733632558,4.28330439546837,2.76385771137467,3.42820988866539,3.18575660902937,3.22149668640864,4.44457555450806,4.55657845620515,6.23846061543551
0.01,100000,6,6,3,40.3550295857988,35.0506068272216,55.7988165680473,33.3061734013196,30.1847938305967,37.4568050924523,10.1954612049373,151.801733632558,4.28330439546837,2.76385771137467,3.42820988866539,3.18575660902937,3.22149668640864,4.44457555450806,4.55657845620515,6.23846061543551
0.1,1e-05,6,6,3,51.8934911242604,51.2339366196844,69.2899408284024,47.1377898763656,50.198686958876,44.6620187935738,32.2713284304656,109.698166609536,5.89113276588634,4.3383087651656,3.82917407044323,5.04827151815728,6.52479239535904,4.85471374049795,6.74156989171939,10.7168156089925
0.1,0.0001,6,6,3,51.8934911242604,51.2339366196844,69.2899408284024,47.1377898763656,50.198686958876,44.6620187935738,32.2713284304656,109.698166609536,5.89113276588634,4.3383087651656,3.82917407044323,5.04827151815728,6.52479239535904,4.85471374049795,6.74156989171939,10.7168156089925
0.1,0.001,6,6,3,51.9526627218935,51.3531770760156,69.4082840236686,47.2467860031598,50.3814006572131,44.7256744468021,32.425370514473,109.371934484052,5.8960834371703,4.29325704699092,3.88565163816008,5.01417030325153,6.61326942040682,4.78822683852104,6.73910751760592,10.7149218851502
0.1,0.01,6,6,3,52.4852071005917,52.0281262042242,68.8757396449704,47.0246691054779,49.6169255697216,44.9469536223098,31.9182702332531,108.189248092327,5.82472175257975,3.73442447297779,3.75479417255725,4.67816054684295,6.54536495893696,4.32831364833998,6.45039773305109,9.79613982813916
0.1,0.1,6,6,3,50.5917159763314,50.2276638994441,68.1656804733728,45.3843507536351,47.622812456398,43.7556835404668,29.4620060662562,112.598192543122,6.57872981465795,4.54655591655831,4.41744147666096,5.86650697462294,8.8664943385573,4.12944532406104,8.9305141417851,12.6941801039888
0.1,1,6,6,3,48.5798816568047,44.0433992596122,64.6153846153846,42.0518396831971,43.6347697839474,40.7668990603213,25.1666207307373,127.367699795717,5.51175306252906,4.07265956505682,4.42623941701722,4.61383389510291,6.28114608037557,3.92837818950392,6.54091674627457,10.487411090554
0.1,10,6,6,3,46.0355029585799,40.7982989682683,60.7692307692308,38.8782075361002,37.6768201487856,40.7881176113974,19.2083482896574,136.934321353569,4.64077038890816,4.06920257345964,3.97473826137366,3.8259617734611,5.92952069300303,4.05570449813489,6.45397123382874,11.3240320666954
0.1,100,6,6,3,43.3136094674556,39.1208356883543,59.2899408284024,37.0295844582162,34.3597408219787,40.6244316459533,15.6213449415995,142.035212013184,4.97260525890554,3.87687673961684,3.55905122481734,3.56943423351678,5.41498281040413,2.8125206507444,6.31152177313455,9.54112804983968
0.1,1000,6,6,3,43.2544378698225,39.1191147948989,59.2899408284024,36.9887734803399,34.3465839549163,40.5577447711428,15.5828058319102,142.019543120395,4.859041512529,3.87488685093564,3.55905122481734,3.49637407395721,5.39046637456558,2.77481437269733,6.2424716109139,9.56395293018272
0.1,10000,6,6,3,43.3136094674556,39.1405682826101,59.3491124260355,37.0050986003474,34.388198817789,40.5516823279782,15.6185591999443,141.953734105194,4.91753595021615,3.87141049050524,3.56178286327675,3.50170641234331,5.43205135731955,2.78369657552642,6.27045962352238,9.58157311247395
0.1,100000,6,6,3,43.3136094674556,39.1405682826101,59.3491124260355,37.0050986003474,34.388198817789,40.5516823279782,15.6185591999443,141.953734105194,4.91753595021615,3.87141049050524,3.56178286327675,3.50170641234331,5.43205135731955,2.78369657552642,6.27045962352238,9.58157311247395
1,1e-05,6,6,3,55.9763313609467,55.0303451228009,70.8284023668639,49.88418090902,53.0252965998596,47.2931191270082,35.7370148452542,101.014986162714,6.54285553892362,5.24634687703678,3.57268853136743,5.17881559336233,7.16147565884207,4.52280652820613,7.02932043674809,13.1386737241887
1,0.0001,6,6,3,55.9763313609467,55.0303451228009,70.8284023668639,49.88418090902,53.0252965998596,47.2931191270082,35.7370148452542,101.014986162714,6.54285553892362,5.24634687703678,3.57268853136743,5.17881559336233,7.16147565884207,4.52280652820613,7.02932043674809,13.1386737241887
1,0.001,6,6,3,56.094674556213,55.1095827948609,70.887573964497,49.9950087745433,53.1895365734036,47.362837223401,35.8972591743106,100.798305761218,6.52260819008112,5.23268681346881,3.58084598592827,5.18210418484062,7.12784497012832,4.56628600272796,7.01978120537316,13.0874340979949
1,0.01,6,6,3,56.9822485207101,56.1003064134593,71.2426035502959,50.6368355308531,54.1143398134618,47.7750833585935,36.8253392057949,98.2611021103846,6.44611424380226,4.95952522641544,3.6603584093608,5.26870205696026,6.9478331774246,4.95290125451355,6.97949398995225,12.2957282502646
1,0.1,6,6,3,56.508875739645,55.5329841117613,71.1834319526627,50.5040265176005,53.6190475466374,47.9205819945438,36.5431459406344,99.7993622204142,6.77680573672958,4.82652394934432,3.5398707336663,5.39994210967454,6.8909320251234,5.22915643810562,7.18283818350902,12.1418811409846
1,1,6,6,3,54.4378698224852,55.2489303439228,72.2485207100592,50.3923623388413,54.0443486121782,47.4325553197939,36.5007762743384,99.8746981394532,7.20933604832231,5.63993772575765,4.74562935152195,6.88182939281634,8.98941585073178,6.05782384385651,9.30673400146248,14.8335101923741
1,10,6,6,3,50.6508875739645,50.0139776689699,66.5680473372781,44.422123944251,43.7414594580104,45.2834192179448,27.1583768664795,115.427226300182,7.33345959045191,3.82368494409964,3.60736511995501,6.03885722525877,6.54295878030433,6.07918354911834,8.19329882912707,8.8787716809017
1,100,6,6,3,49.9408284023669,48.6307200707736,65.5029585798817,43.2051828828628,42.0604920528957,44.592300697181,25.2316269314697,119.027611248769,7.68573025827696,3.54998958514427,3.89565075823906,6.35222561159335,7.01080737770656,5.98076482528005,8.9405438425319,8.5988973450004
1,1000,6,6,3,49.7041420118343,48.121515332128,65.1479289940828,42.7478666115781,41.5166775579053,44.2012731130646,24.6114740797407,120.220401296737,7.41155590850333,3.3847274329972,3.69473865927397,6.20800584481884,6.699148976674,6.00390722485301,8.61231461796898,7.94224030373128
1,10000,6,6,3,49.7041420118343,48.121515332128,65.1479289940828,42.7478666115781,41.5166775579053,44.2012731130646,24.6114740797407,120.220401296737,7.41155590850333,3.3847274329972,3.69473865927397,6.20800584481884,6.699148976674,6.00390722485301,8.61231461796898,7.94224030373128
1,100000,6,6,3,49.7041420118343,48.1728794938527,65.207100591716,42.8025407937006,41.5972294011397,44.2285541073052,24.6978974230819,120.080956078198,7.41155590850333,3.3875876744085,3.71940025761678,6.20281893200806,6.70055107156017,5.99699354485103,8.60990946019296,7.96839431597891
10,1e-05,6,6,3,53.7278106508876,54.3466958505922,70.5917159763314,48.5591287985897,50.6668078861364,46.7838739011822,33.688122451976,103.301782231237,7.13229826520033,5.16758706339906,3.13168782207508,3.99110003788863,6.17548634709237,2.98572162974408,5.7129738439412,13.1261955929346
10,0.0001,6,6,3,53.7278106508876,54.3466958505922,70.5917159763314,48.5591287985897,50.6668078861364,46.7838739011822,33.688122451976,103.301782231237,7.13229826520033,5.16758706339906,3.13168782207508,3.99110003788863,6.17548634709237,2.98572162974408,5.7129738439412,13.1261955929346
10,0.001,6,6,3,53.8461538461538,54.439045557154,70.6508875739645,48.6700816198091,50.8647782171164,46.8444983328281,33.8404859203648,103.044676760664,7.20933604832231,5.27769042603502,3.27914831410184,4.1591575575427,6.63799097860677,2.98613192354199,5.98032133795643,13.5341080729262
10,0.01,6,6,3,53.9644970414201,54.7787416969571,70.887573964497,48.9327327475294,51.1455602635713,47.0960897241588,34.1816609589509,102.244391845051,7.45238546813859,5.45103011743226,3.27439936401533,4.3035331515277,6.74034782365739,3.22318469575198,6.13933269113087,13.9156992628248
10,0.1,6,6,3,55.7988165680473,55.293319088716,71.1834319526627,50.1892057817236,52.8029716320425,47.984237647772,35.9478721428997,100.811546310371,6.82713632142028,5.6066954204744,3.45083111652947,4.90018274641565,6.79355362839215,4.08821788645318,6.74185077279913,14.0299497948172
10,1,6,6,3,52.9585798816568,52.8183076597111,70.0591715976331,47.8075070662423,49.8350144417335,46.0775992725068,32.6890330346499,106.728389473298,7.1074369809575,5.48889501603782,3.33794016588658,5.45222562245769,7.31235277602793,4.31472148157448,7.55176831514686,13.8282133295418
10,10,6,6,3,50.1775147928994,50.1915437778907,67.4556213017751,44.4306187013528,45.4204328244129,43.6677781145802,27.8781765301901,113.518128127382,7.58689724252052,5.1167345469678,3.37041567862625,5.32168457062651,7.21459697219785,4.02971873521792,7.66164093341637,12.8565457993205
