Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy
1e-05,1e-05,6,6,3,44.3786982248521,25.5452573298014,56.8047337278106,34.5774058577406,38.6023916292975,31.3125189451349,17.3791613506421,168.81586514804
1e-05,0.0001,6,6,3,44.3786982248521,25.5452573298014,56.8047337278106,34.5774058577406,38.6023916292975,31.3125189451349,17.3791613506421,168.81586514804
1e-05,0.001,6,6,3,43.7869822485207,25.4874727513753,56.8047337278106,34.0282447881641,38.2030955077388,30.6759624128524,16.808021827336,168.806679914332
1e-05,0.01,6,6,3,40.2366863905325,26.3576769452423,57.9881656804734,34.2926914355486,40.3861955628595,29.7969081539861,18.1394534034586,165.749844997139
1e-05,0.1,6,6,3,39.6449704142012,25.3109062003896,57.396449704142,31.4762770705902,34.6181818181818,28.8572294634738,13.1183580505671,169.50802950915
1e-05,1,6,6,3,35.5029585798817,25.8635002052496,51.4792899408284,31.155303030303,32.4991768192295,29.918157017278,11.4218813856493,169.204749574416
1e-05,10,6,6,3,31.3609467455621,21.261397885829,45.5621301775148,27.8232884727911,26.8871925360475,28.8269172476508,4.9705990212834,181.201505440186
1e-05,100,6,6,3,36.094674556213,21.6557323225422,46.7455621301775,29.2638672887506,25.5603350690514,34.2224916641406,3.62121464103142,181.913941252233
1e-05,1000,6,6,3,33.1360946745562,22.5806466131646,45.5621301775148,32.176724137931,24.9623808727638,45.2561382237041,3.17158342880933,183.471615853914
1e-05,10000,6,6,3,33.1360946745562,22.5806466131646,45.5621301775148,32.176724137931,24.9623808727638,45.2561382237041,3.17158342880933,183.471615853914
1e-05,100000,6,6,3,33.1360946745562,22.5806466131646,45.5621301775148,32.176724137931,24.9623808727638,45.2561382237041,3.17158342880933,183.471615853914
0.0001,1e-05,6,6,3,44.3786982248521,25.5452573298014,56.8047337278106,34.5774058577406,38.6023916292975,31.3125189451349,17.3791613506421,168.81586514804
0.0001,0.0001,6,6,3,44.3786982248521,25.5452573298014,56.8047337278106,34.5774058577406,38.6023916292975,31.3125189451349,17.3791613506421,168.81586514804
0.0001,0.001,6,6,3,43.7869822485207,25.4874727513753,56.8047337278106,34.0282447881641,38.2030955077388,30.6759624128524,16.808021827336,168.806679914332
0.0001,0.01,6,6,3,41.4201183431953,26.0511429261193,57.9881656804734,34.8320413436692,40.3431763766959,30.6456501970294,18.4744713752447,166.80035252813
0.0001,0.1,6,6,3,42.603550295858,26.7487635151761,59.1715976331361,33.5236815586161,37.5894538606403,30.2515913913307,16.1442855545116,165.841054791951
0.0001,1,6,6,3,37.2781065088757,24.2562401935148,52.6627218934911,30.3519061583578,29.395058222096,31.3731433767808,8.36331922460128,174.999116727291
0.0001,10,6,6,3,30.1775147928994,21.6065101882734,46.1538461538462,27.5683890577508,27.6440109722646,27.4931797514398,5.71824429546915,179.818471888347
0.0001,100,6,6,3,33.1360946745562,22.0893855918412,46.1538461538462,31.9234532999891,24.8897931502204,44.4983328281297,3.01645879200233,184.367926189998
0.0001,1000,6,6,3,29.585798816568,18.7030609112694,45.5621301775148,27.6034800949117,24.4226731980406,31.7368899666566,1.81448753438535,188.163807395861
0.0001,10000,6,6,3,29.585798816568,18.7030609112694,45.5621301775148,27.6034800949117,24.4226731980406,31.7368899666566,1.81448753438535,188.163807395861
0.0001,100000,6,6,3,29.585798816568,18.7030609112694,45.5621301775148,27.6034800949117,24.4226731980406,31.7368899666566,1.81448753438535,188.163807395861
0.001,1e-05,6,6,3,44.3786982248521,26.4069813030593,57.9881656804734,35.2584610203738,39.6590909090909,31.7368899666566,18.3995520854095,166.66130151735
0.001,0.0001,6,6,3,44.3786982248521,26.4069813030593,57.9881656804734,35.2584610203738,39.6590909090909,31.7368899666566,18.3995520854095,166.66130151735
0.001,0.001,6,6,3,44.9704142011834,26.2026591689815,57.396449704142,35.4222520107239,39.6028475084301,32.0400121248863,18.4770886182441,167.234763602551
0.001,0.01,6,6,3,42.0118343195266,27.8451087487694,59.1715976331361,35.7634112792297,41.3190305919746,31.5247044558957,19.5893673992829,162.531055762033
0.001,0.1,6,6,3,40.2366863905325,26.1425207647039,58.5798816568047,32.4653364896855,36.7112810707457,29.0997271900576,14.9960179231091,167.050471224699
0.001,1,6,6,3,36.094674556213,23.049260005349,45.5621301775148,33.0665267025325,29.153169828783,38.1933919369506,9.1091481534849,178.74020081663
0.001,10,6,6,3,30.7692307692308,21.7597285432688,46.7455621301775,27.6375798114929,27.7218664226898,27.5538041830858,5.81699336020074,179.455462749934
0.001,100,6,6,3,32.5443786982249,23.0735404019243,46.7455621301775,32.0764967945235,25,44.7408305547136,3.21950212101061,182.398051093746
0.001,1000,6,6,3,29.585798816568,18.7324393335444,45.5621301775148,27.8206301477317,24.4597701149425,32.2521976356472,1.88747410241743,188.205608801462
0.001,10000,6,6,3,29.585798816568,18.7030609112694,45.5621301775148,27.6034800949117,24.4226731980406,31.7368899666566,1.81448753438535,188.163807395861
0.001,100000,6,6,3,29.585798816568,18.7030609112694,45.5621301775148,27.6034800949117,24.4226731980406,31.7368899666566,1.81448753438535,188.163807395861
0.01,1e-05,6,6,3,49.7041420118343,35.7002903138868,64.4970414201183,41.5238728996839,46.0176991150442,37.8296453470749,26.008098059295,145.086944460246
0.01,0.0001,6,6,3,49.7041420118343,35.7002903138868,64.4970414201183,41.5238728996839,46.0176991150442,37.8296453470749,26.008098059295,145.086944460246
0.01,0.001,6,6,3,50.2958579881657,36.7116360167725,65.0887573964497,42.3788105947027,47.0414201183432,38.5571385268263,27.1212288428931,142.663960930283
0.01,0.01,6,6,3,48.5207100591716,33.7143314598937,65.0887573964497,40.9310344827586,47.4610155937625,35.9806001818733,26.1253941318506,148.393931197932
0.01,0.1,6,6,3,48.5207100591716,34.0461288476377,66.8639053254438,41.4754677020826,49.6408956485002,35.6168535919976,27.3741685639292,146.792645098812
0.01,1,6,6,3,38.4615384615385,22.769816942324,47.3372781065089,32.8342798141456,28.5906945380985,38.5571385268263,8.38349262549954,180.539255288318
0.01,10,6,6,3,34.9112426035503,22.779975273124,47.3372781065089,32.8761342055286,25.2144359928791,47.2264322521976,3.69553223167177,183.579695672041
0.01,100,6,6,3,34.9112426035503,23.7279598510494,46.7455621301775,33.2601192343897,25.3912488022996,48.1964231585329,4.05312161851847,181.795712613552
0.01,1000,6,6,3,37.2781065088757,27.9449969770093,50.887573964497,33.6602003837135,25.9575867170804,47.8629887844802,5.04596618048219,172.839619214648
0.01,10000,6,6,3,35.5029585798817,24.5787081390237,47.9289940828402,33.4623835931778,25.5512943432407,48.4692331009397,4.35313132463852,180.053611167276
0.01,100000,6,6,3,35.5029585798817,24.5787081390237,47.9289940828402,33.4623835931778,25.5512943432407,48.4692331009397,4.35313132463852,180.053611167276
0.1,1e-05,6,6,3,58.5798816568047,52.2753808878611,72.189349112426,50.9102946044356,56.0699963543565,46.6201879357381,37.7820329539661,106.269712270526
0.1,0.0001,6,6,3,58.5798816568047,52.2753808878611,72.189349112426,50.9102946044356,56.0699963543565,46.6201879357381,37.7820329539661,106.269712270526
0.1,0.001,6,6,3,58.5798816568047,52.2753808878611,72.189349112426,50.9102946044356,56.0699963543565,46.6201879357381,37.7820329539661,106.269712270526
0.1,0.01,6,6,3,58.5798816568047,52.7831507346132,72.7810650887574,51.3450680836931,56.7756151303709,46.8626856623219,38.398883515789,104.894719733634
0.1,0.1,6,6,3,60.9467455621302,50.0509711988949,73.9644970414201,52.9450694904037,58.287795992714,48.4995453167627,40.3546277766318,111.163331781132
0.1,1,6,6,3,40.8284023668639,36.8766114217475,63.905325443787,39.8249452954048,41.1100354953211,38.6177629584723,22.3422460449244,144.854008005928
0.1,10,6,6,3,39.6449704142012,35.978580383473,62.1301775147929,38.1498987170831,43.047619047619,34.2528038799636,22.1081086860674,143.902545714601
0.1,100,6,6,3,36.094674556213,23.6342444238384,45.5621301775148,31.178247734139,23.3448951892626,46.9233100939679,0.205192736729724,182.616388766759
0.1,1000,6,6,3,36.094674556213,23.6342444238384,45.5621301775148,31.178247734139,23.3448951892626,46.9233100939679,0.205192736729724,182.616388766759
0.1,10000,6,6,3,36.094674556213,23.6342444238384,45.5621301775148,31.178247734139,23.3448951892626,46.9233100939679,0.205192736729724,182.616388766759
0.1,100000,6,6,3,36.094674556213,23.6342444238384,45.5621301775148,31.178247734139,23.3448951892626,46.9233100939679,0.205192736729724,182.616388766759
1,1e-05,6,6,3,63.3136094674556,58.4736013948379,75.7396449704142,56.7110822229444,61.1208406304728,52.8948166110943,44.8110871940933,92.5773851215003
1,0.0001,6,6,3,63.3136094674556,58.4736013948379,75.7396449704142,56.7110822229444,61.1208406304728,52.8948166110943,44.8110871940933,92.5773851215003
1,0.001,6,6,3,63.3136094674556,58.4736013948379,75.7396449704142,56.7110822229444,61.1208406304728,52.8948166110943,44.8110871940933,92.5773851215003
1,0.01,6,6,3,61.5384615384615,57.4256725948393,74.5562130177515,54.7537227949599,59.4950213371266,50.71233707184,42.4442998332213,94.6531906722814
1,0.1,6,6,3,62.1301775147929,58.2478455651435,75.7396449704142,55.8139534883721,60.7053794086213,51.6520157623522,43.8076566394548,92.6306233937763
1,1,6,6,3,53.2544378698225,46.4236556695468,67.4556213017752,46.276965901183,54.3078807676603,40.315247044559,33.0116488503243,117.299328938576
1,10,6,6,3,47.3372781065089,48.6478243397873,68.0473372781065,42.7116486314449,44.9581239530988,40.6789936344347,26.4801273391539,115.973238778914
1,100,6,6,3,43.7869822485207,36.4938106308064,56.8047337278106,35.4288440892282,29.2092840283242,45.0136404971203,10.0840202405696,152.507495004422
1,1000,6,6,3,42.0118343195266,33.414717669255,54.4378698224852,33.0930312392722,26.5808823529412,43.8314640800243,5.85455635797874,160.007131070515
1,10000,6,6,3,43.7869822485207,33.722762623272,54.4378698224852,33.7185116709036,27.2455648926237,44.2255228857229,6.96028950857732,159.087650999734
1,100000,6,6,3,43.7869822485207,33.722762623272,54.4378698224852,33.7185116709036,27.2455648926237,44.2255228857229,6.96028950857732,159.087650999734
10,1e-05,6,6,3,63.905325443787,59.1508436387286,76.3313609467456,57.7379983726607,62.3330990864371,53.7738708699606,46.1453542944169,90.9343740772885
10,0.0001,6,6,3,63.905325443787,59.1508436387286,76.3313609467456,57.7379983726607,62.3330990864371,53.7738708699606,46.1453542944169,90.9343740772885
10,0.001,6,6,3,63.905325443787,59.1508436387286,76.3313609467456,57.7379983726607,62.3330990864371,53.7738708699606,46.1453542944169,90.9343740772885
10,0.01,6,6,3,63.3136094674556,58.4736013948379,75.7396449704142,56.7110822229444,61.1208406304728,52.8948166110943,44.8110871940933,92.5773851215003
