Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,std1,std2,std3,std4,std5,std6,std7,std8
100,0.1,30,30,3,42.603550295858,25.7167857509751,47.3372781065089,38.5616730687153,29.7546517371974,54.7741739921188,12.0835265657451,178.600992347045,0,0,0,0,0,0,0,0
100,0.1,42,30,3,37.2781065088757,24.0060887778317,53.2544378698225,31.325,26.6539034248032,37.9812064261898,5.52142182701024,178.672543229008,0,0,0,0,0,0,0,0
100,0.1,42,42,3,33.1360946745562,13.077175730288,43.1952662721894,28.2526949110053,24.0863432357341,34.1618672324947,1.36646295066864,202.121137368511,0,0,0,0,0,0,0,0
100,0.1,54,30,3,30.1775147928994,19.7406438088981,47.3372781065089,28.6122090469916,22.4307109657428,39.4968172173386,-1.46533472260658,189.444527814958,0,0,0,0,0,0,0,0
100,0.1,54,42,3,49.7041420118343,26.0328127160199,49.7041420118343,38.3746678476528,30.2285016570731,52.5310700212186,12.5863016677439,177.892646268717,0,0,0,0,0,0,0,0
100,0.1,54,54,3,33.1360946745562,12.0424927633883,38.4615384615385,34.6192346192346,23.2039636663914,68.1418611700515,-0.0798790933676386,209.381673406983,0,0,0,0,0,0,0,0
100,0.1,66,30,3,39.6449704142012,27.2978891753562,52.6627218934911,32.1185249270033,24.9663752521856,45.0136404971203,3.17000803733677,174.452839081735,0,0,0,0,0,0,0,0
100,0.1,66,42,3,33.7278106508876,14.5329129502975,40.2366863905325,34.599479246439,23.1478635106056,68.4752955441043,-0.208588940625182,205.721287660401,0,0,0,0,0,0,0,0
100,0.1,66,54,3,41.4201183431953,15.85359725668,43.1952662721894,35.5358134369795,25.5761289463168,58.1994543801152,4.79581795806118,200.417563104452,0,0,0,0,0,0,0,0
100,0.1,66,66,3,34.3195266272189,8.68671096824872,36.094674556213,36.937533086289,23.626513163464,84.6013943619279,0.951694228454323,216.948487734571,0,0,0,0,0,0,0,0
100,0.1,78,30,3,44.9704142011834,24.2097989388183,46.1538461538462,36.9140625,27.2295058348941,57.2900879054259,7.89809839120537,182.889729304229,0,0,0,0,0,0,0,0
100,0.1,78,42,3,37.2781065088757,16.4363903262255,42.0118343195266,35.6215213358071,25.6650180457158,58.1994543801152,4.97042621663168,198.814631867022,0,0,0,0,0,0,0,0
100,0.1,78,54,3,45.5621301775148,15.853986264875,49.7041420118343,36.4233439669732,26.3758662861802,58.8360109123977,6.37900429802397,200.886468515972,0,0,0,0,0,0,0,0
100,0.1,78,66,3,34.3195266272189,6.14623578541606,35.5029585798817,36.652938974167,23.0769230769231,89.0269778720824,-0.407881568162161,221.198127031362,0,0,0,0,0,0,0,0
100,0.1,78,78,3,34.3195266272189,6.28559303071467,35.5029585798817,37.2514226274246,23.3363998773382,92.2703849651409,0.247316523626592,221.238434723063,0,0,0,0,0,0,0,0
100,0.1,90,30,3,40.8284023668639,23.9954476679022,53.2544378698225,35.4979434126885,30.1439458086367,43.1645953319188,11.1951571531293,179.641128908383,0,0,0,0,0,0,0,0
100,0.1,90,42,3,38.4615384615385,17.8624313891531,45.5621301775148,35.3128852149953,23.2081585970263,73.8102455289482,-0.0724578473691411,200.906460786191,0,0,0,0,0,0,0,0
100,0.1,90,54,3,40.8284023668639,14.4614912611608,46.1538461538462,34.0007215007215,24.200795994351,57.138526826311,2.00644208970287,203.241745721484,0,0,0,0,0,0,0,0
100,0.1,90,66,3,35.5029585798817,6.28039239385132,39.6449704142012,29.8946915968193,23.1563176294323,42.1642922097605,-0.152382637285646,217.65911889399,0,0,0,0,0,0,0,0
100,0.1,90,78,3,38.4615384615385,14.289520291921,39.6449704142012,36.792672514166,24.728714524207,71.8399515004547,3.38800317280547,206.400236391725,0,0,0,0,0,0,0,0
100,0.1,90,90,3,33.7278106508876,9.40060257330992,36.094674556213,37.2890508977994,23.98610508033,83.7223401030615,1.81854452443322,215.622837640154,0,0,0,0,0,0,0,0
