Del,Lambda,Alpha,Dimension,m,k,MeanAccuracy,StdAccuracy,MeanNMI,StdNMI,MeanPurity,StdPurity
0.3,1e-05,1e-05,20,20,3,49.371332774518,0,48.7651616950828,0,71.7937971500419,0
0.3,1e-05,0.0001,20,20,3,43.7133277451802,0,47.5984825844459,0,72.4224643755239,0
0.3,1e-05,0.001,20,20,3,43.7133277451802,0,46.882354555824,0,72.5062866722548,0
0.3,1e-05,0.01,20,20,3,52.7242246437552,0,48.8658640652451,0,72.9673093042749,0
0.3,1e-05,0.1,20,20,3,46.3118189438391,0,47.3500711474381,0,70.7041072925398,0
0.3,1e-05,1,20,20,3,43.336127409891,0,47.3852690067134,0,71.3746856663873,0
0.3,1e-05,10,20,20,3,41.3243922883487,0,46.0727449301656,0,68.2313495389774,0
0.3,1e-05,100,20,20,3,44.2581726739313,0,45.3341163946413,0,65.7166806370494,0
0.3,1e-05,1000,20,20,3,38.9773679798827,0,41.774407006752,0,63.8306789606035,0
0.3,1e-05,10000,20,20,3,38.4325230511316,0,41.9537902547551,0,63.9983235540654,0
0.3,1e-05,100000,20,20,3,38.4325230511316,0,41.1217735481057,0,63.7049455155071,0
0.3,0.0001,1e-05,20,20,3,42.4979044425817,0,47.311041763228,0,72.0452640402347,0
0.3,0.0001,0.0001,20,20,3,48.197820620285,0,48.4060466495252,0,70.6202849958089,0
0.3,0.0001,0.001,20,20,3,52.0536462699078,0,49.2130214300731,0,73.7217099748533,0
0.3,0.0001,0.01,20,20,3,42.1207041072925,0,47.1514064678366,0,72.2129086336966,0
0.3,0.0001,0.1,20,20,3,49.5808885163454,0,48.9565436219992,0,72.6739312657167,0
0.3,0.0001,1,20,20,3,40.8214585079631,0,48.3010890257566,0,72.0452640402347,0
0.3,0.0001,10,20,20,3,39.4383906119028,0,46.6319030326948,0,68.9019279128248,0
0.3,0.0001,100,20,20,3,38.558256496228,0,43.4016369012451,0,65.2556580050293,0
0.3,0.0001,1000,20,20,3,37.7619446772842,0,42.5725250929394,0,64.2497904442582,0
0.3,0.0001,10000,20,20,3,37.8038558256496,0,42.6438377587552,0,64.0402347024308,0
0.3,0.0001,100000,20,20,3,37.7200335289187,0,42.4778189138153,0,64.1659681475272,0
0.3,0.001,1e-05,20,20,3,44.2581726739313,0,49.7210058553026,0,74.0989103101425,0
0.3,0.001,0.0001,20,20,3,47.1500419111484,0,49.8694679524162,0,74.4341994970662,0
0.3,0.001,0.001,20,20,3,43.3780385582565,0,47.9537389469082,0,74.2246437552389,0
0.3,0.001,0.01,20,20,3,42.9589270746018,0,47.7551798996739,0,73.8893545683152,0
0.3,0.001,0.1,20,20,3,42.4559932942163,0,49.2407162191309,0,74.8533109807209,0
0.3,0.001,1,20,20,3,43.5456831517184,0,49.7730206683324,0,73.0511316010059,0
0.3,0.001,10,20,20,3,45.6831517183571,0,49.8686044454304,0,71.081307627829,0
0.3,0.001,100,20,20,3,39.1450125733445,0,44.8214458233899,0,66.6387259010897,0
0.3,0.001,1000,20,20,3,38.0553227158424,0,44.107792110713,0,65.6328583403185,0
0.3,0.001,10000,20,20,3,39.3126571668064,0,45.5848118641357,0,67.0997485331098,0
0.3,0.001,100000,20,20,3,39.3126571668064,0,45.6052419698386,0,67.0997485331098,0
0.3,0.01,1e-05,20,20,3,46.4375523889355,0,51.4679592470883,0,75.943000838223,0
0.3,0.01,0.0001,20,20,3,45.3059513830679,0,51.1076720145706,0,75.8172673931266,0
0.3,0.01,0.001,20,20,3,45.2640402347024,0,51.4261370259865,0,76.0268231349539,0
0.3,0.01,0.01,20,20,3,46.1022632020117,0,51.7641129228806,0,76.1525565800503,0
0.3,0.01,0.1,20,20,3,46.9823973176865,0,53.1269079029743,0,76.8650461022632,0
0.3,0.01,1,20,20,3,46.2279966471081,0,52.1016059787963,0,75.0628667225482,0
0.3,0.01,10,20,20,3,47.652975691534,0,52.6197723739563,0,73.512154233026,0
0.3,0.01,100,20,20,3,41.7015926236379,0,47.8772038900207,0,70.4107292539816,0
0.3,0.01,1000,20,20,3,41.3243922883487,0,47.2590323182579,0,69.8239731768651,0
0.3,0.01,10000,20,20,3,44.5515507124895,0,48.3154313308309,0,70.9974853310981,0
0.3,0.01,100000,20,20,3,44.5096395641241,0,48.2805788784712,0,70.9974853310981,0
0.3,0.1,1e-05,20,20,3,46.8985750209556,0,53.109633940842,0,76.3621123218776,0
0.3,0.1,0.0001,20,20,3,47.0662196144174,0,53.1790696037803,0,76.3621123218776,0
0.3,0.1,0.001,20,20,3,48.4911986588433,0,53.3924129998912,0,76.2363788767812,0
0.3,0.1,0.01,20,20,3,46.8985750209556,0,54.0107870794971,0,77.0326906957251,0
0.3,0.1,0.1,20,20,3,47.9044425817267,0,53.6582556172275,0,76.5716680637049,0
0.3,0.1,1,20,20,3,46.7309304274937,0,54.32424431229,0,76.1944677284158,0
0.3,0.1,10,20,20,3,55.2808046940486,0,56.447674176031,0,74.8533109807209,0
0.3,0.1,100,20,20,3,45.7250628667225,0,50.2610633453214,0,72.7158424140821,0
0.3,0.1,1000,20,20,3,45.8088851634535,0,50.7291975444386,0,73.7636211232188,0
0.3,0.1,10000,20,20,3,45.4735959765298,0,50.4659299845347,0,73.5540653813915,0
0.3,0.1,100000,20,20,3,45.0963956412406,0,49.9614810592013,0,73.2606873428332,0
0.3,1,1e-05,20,20,3,46.5213746856664,0,53.048962440957,0,76.2363788767812,0
0.3,1,0.0001,20,20,3,46.3537300922045,0,53.4380093821299,0,76.3202011735122,0
0.3,1,0.001,20,20,3,46.5632858340319,0,53.2644477327186,0,76.3621123218776,0
0.3,1,0.01,20,20,3,46.0603520536463,0,53.8407371634923,0,76.8231349538977,0
0.3,1,0.1,20,20,3,46.2279966471081,0,51.9548898654514,0,75.3562447611065,0
0.3,1,1,20,20,3,47.9882648784577,0,53.6067034547363,0,75.6496227996647,0
0.3,1,10,20,20,3,45.8927074601844,0,52.0368026495754,0,74.8533109807209,0
0.3,1,100,20,20,3,46.7309304274937,0,51.040777616688,0,73.5540653813915,0
0.3,1,1000,20,20,3,48.0720871751886,0,52.8081104886669,0,73.4702430846605,0
0.3,1,10000,20,20,3,48.2816429170159,0,53.1434068150866,0,73.8055322715842,0
0.3,1,100000,20,20,3,48.7845766974015,0,53.0419259442933,0,73.7217099748533,0
0.3,10,1e-05,20,20,3,44.8030176026823,0,52.0552412819127,0,75.943000838223,0
0.3,10,0.0001,20,20,3,44.5096395641241,0,52.1106665028855,0,75.9849119865884,0
0.3,10,0.001,20,20,3,44.7191953059514,0,52.0744283520547,0,75.9010896898575,0
0.3,10,0.01,20,20,3,43.5037720033529,0,51.752280694643,0,75.859178541492,0
0.3,10,0.1,20,20,3,40.3185247275775,0,50.8732534448794,0,75.0628667225482,0
0.3,10,1,20,20,3,46.3118189438391,0,52.9593234407078,0,75.9010896898575,0
0.3,10,10,20,20,3,44.8868398994132,0,52.8032385056332,0,73.8474434199497,0
0.3,10,100,20,20,3,46.7728415758592,0,52.4660248826888,0,75.6077116512992,0
0.3,10,1000,20,20,3,49.0360435875943,0,51.7429985681315,0,73.1349538977368,0
0.3,10,10000,20,20,3,44.0486169321039,0,51.1454993416958,0,73.8893545683152,0
0.3,10,100000,20,20,3,44.0905280804694,0,51.1195260175094,0,73.8474434199497,0
0.3,100,1e-05,20,20,3,45.9765297569153,0,51.5002499630838,0,74.9371332774518,0
0.3,100,0.0001,20,20,3,44.7191953059514,0,51.7086740145146,0,75.0628667225482,0
0.3,100,0.001,20,20,3,44.8030176026823,0,50.3643266946699,0,73.4283319362951,0
0.3,100,0.01,20,20,3,42.8331936295055,0,49.8247690218247,0,73.9312657166806,0
0.3,100,0.1,20,20,3,43.9228834870075,0,50.9328682834937,0,74.4341994970662,0
0.3,100,1,20,20,3,46.7728415758592,0,52.116077937815,0,74.6437552388935,0
0.3,100,10,20,20,3,45.3059513830679,0,51.4892300855388,0,73.9731768650461,0
0.3,100,100,20,20,3,44.593461860855,0,49.5785558828044,0,72.6739312657167,0
0.3,100,1000,20,20,3,44.3419949706622,0,50.0430278396408,0,72.7996647108131,0
0.3,100,10000,20,20,3,44.4677284157586,0,50.0823408414922,0,72.883487007544,0
0.3,100,100000,20,20,3,44.593461860855,0,50.0468851857047,0,72.9673093042749,0
0.3,1000,1e-05,20,20,3,48.7845766974015,0,53.5616697461472,0,75.4400670578374,0
0.3,1000,0.0001,20,20,3,48.4073763621123,0,53.4341850164488,0,75.3981559094719,0
0.3,1000,0.001,20,20,3,49.1617770326907,0,53.9140852490664,0,75.314333612741,0
0.3,1000,0.01,20,20,3,45.3897736797988,0,49.8216925235299,0,73.0511316010059,0
0.3,1000,0.1,20,20,3,46.4794635373009,0,51.6607186082519,0,74.0989103101425,0
0.3,1000,1,20,20,3,47.024308466052,0,50.9523997398155,0,72.6320201173512,0
0.3,1000,10,20,20,3,49.0360435875943,0,51.1690313126294,0,72.883487007544,0
0.3,1000,100,20,20,3,46.8566638725901,0,53.2412613123519,0,73.8474434199497,0
0.3,1000,1000,20,20,3,46.1860854987427,0,50.4898602984618,0,73.4702430846605,0
0.3,1000,10000,20,20,3,43.6295054484493,0,47.417823163902,0,70.4945515507125,0
0.3,1000,100000,20,20,3,43.2523051131601,0,49.6588272353768,0,72.8415758591785,0
0.3,10000,1e-05,20,20,3,44.0486169321039,0,50.4169294006999,0,71.6680637049455,0
0.3,10000,0.0001,20,20,3,45.5993294216262,0,51.5399189659087,0,71.8776194467728,0
0.3,10000,0.001,20,20,3,44.8030176026823,0,50.6259867732119,0,72.0452640402347,0
0.3,10000,0.01,20,20,3,45.8507963118189,0,51.3971338341451,0,73.4283319362951,0
0.3,10000,0.1,20,20,3,46.6890192791282,0,50.8513062933153,0,72.6739312657167,0
0.3,10000,1,20,20,3,51.8440905280805,0,53.5044728121268,0,74.3084660519698,0
0.3,10000,10,20,20,3,46.8566638725901,0,50.9310772948004,0,73.1349538977368,0
0.3,10000,100,20,20,3,43.7971500419111,0,49.2729276768302,0,71.1651299245599,0
0.3,10000,1000,20,20,3,43.2103939647946,0,49.1146423776009,0,71.1651299245599,0
0.3,10000,10000,20,20,3,42.9170159262364,0,48.8379413416003,0,71.3746856663873,0
0.3,10000,100000,20,20,3,42.9589270746018,0,48.8445688795857,0,71.3746856663873,0
0.3,100000,1e-05,20,20,3,46.3537300922045,0,50.7202051018735,0,71.9614417435038,0
0.3,100000,0.0001,20,20,3,45.0963956412406,0,50.1698000997669,0,71.7518860016764,0
0.3,100000,0.001,20,20,3,43.8809723386421,0,48.8276426771715,0,71.3327745180218,0
0.3,100000,0.01,20,20,3,47.4015088013412,0,51.5282867359018,0,72.7158424140821,0
0.3,100000,0.1,20,20,3,43.6295054484493,0,49.7536688664874,0,71.709974853311,0
0.3,100000,1,20,20,3,47.5272422464376,0,49.6330880486542,0,70.6621961441743,0
0.3,100000,10,20,20,3,44.2581726739313,0,51.0661255731897,0,72.4643755238894,0
0.3,100000,100,20,20,3,47.1500419111484,0,51.4280985967467,0,70.1173512154233,0
0.3,100000,1000,20,20,3,43.2523051131601,0,48.6580495698383,0,70.2430846605197,0
0.3,100000,10000,20,20,3,45.138306789606,0,48.0387028375037,0,67.9379715004191,0
0.3,100000,100000,20,20,3,44.8449287510478,0,48.0859756385021,0,67.9379715004191,0
0.3,1e-05,1e-05,40,40,3,49.4970662196144,0,48.5781123015796,0,71.6261525565801,0
0.3,1e-05,0.0001,40,40,3,43.8809723386421,0,46.1471018910466,0,69.6144174350377,0
0.3,1e-05,0.001,40,40,3,50.7963118189438,0,48.603943921485,0,71.8776194467728,0
0.3,1e-05,0.01,40,40,3,49.2036881810562,0,49.8370520011987,0,72.7996647108131,0
0.3,1e-05,0.1,40,40,3,43.7552388935457,0,48.3286604900501,0,71.3746856663873,0
0.3,1e-05,1,40,40,3,40.1927912824811,0,44.1255571249982,0,67.8122380553227,0
0.3,1e-05,10,40,40,3,44.593461860855,0,45.820225508623,0,68.734283319363,0
0.3,1e-05,100,40,40,3,47.4015088013412,0,46.5312397362915,0,68.1475272422464,0
0.3,1e-05,1000,40,40,3,44.6353730092205,0,43.0639337066558,0,64.6269907795474,0
0.3,1e-05,10000,40,40,3,44.5515507124895,0,43.1745148364128,0,65.0880134115675,0
0.3,1e-05,100000,40,40,3,43.964794635373,0,42.5714812960884,0,64.8784576697402,0
0.3,0.0001,1e-05,40,40,3,49.1198658843252,0,49.8725746459357,0,72.0452640402347,0
0.3,0.0001,0.0001,40,40,3,48.742665549036,0,50.3008840103371,0,72.4224643755239,0
0.3,0.0001,0.001,40,40,3,43.0008382229673,0,47.9459717002698,0,72.5901089689857,0
0.3,0.0001,0.01,40,40,3,43.336127409891,0,48.0396656572831,0,72.254819782062,0
0.3,0.0001,0.1,40,40,3,43.5875943000838,0,48.7673401620402,0,70.9555741827326,0
0.3,0.0001,1,40,40,3,42.8751047778709,0,45.8850629914114,0,69.6982397317687,0
0.3,0.0001,10,40,40,3,40.6538139145013,0,45.1036897054138,0,66.0519698239732,0
0.3,0.0001,100,40,40,3,43.336127409891,0,47.5830395164386,0,66.8063704945515,0
0.3,0.0001,1000,40,40,3,38.8097233864208,0,44.0473088038333,0,65.674769488684,0
0.3,0.0001,10000,40,40,3,42.6655490360436,0,46.3667132719399,0,66.1357921207041,0
0.3,0.0001,100000,40,40,3,42.6655490360436,0,46.3667132719399,0,66.1357921207041,0
0.3,0.001,1e-05,40,40,3,48.0720871751886,0,51.5235036392917,0,74.0150880134116,0
0.3,0.001,0.0001,40,40,3,43.5456831517184,0,50.2919799294563,0,74.5599329421626,0
0.3,0.001,0.001,40,40,3,43.419949706622,0,50.5937132925165,0,74.6437552388935,0
0.3,0.001,0.01,40,40,3,41.8692372170997,0,48.6988864471363,0,73.6797988264878,0
0.3,0.001,0.1,40,40,3,45.6831517183571,0,49.8446950491504,0,73.0092204526404,0
0.3,0.001,1,40,40,3,44.8868398994132,0,47.5607965481463,0,69.1533948030176,0
0.3,0.001,10,40,40,3,39.7736797988265,0,44.2271055110447,0,67.3512154233026,0
0.3,0.001,100,40,40,3,35.7502095557418,0,41.6143090493962,0,65.2975691533948,0
0.3,0.001,1000,40,40,3,38.9773679798827,0,47.8177584583647,0,67.7284157585918,0
0.3,0.001,10000,40,40,3,34.953897736798,0,41.3126067271158,0,63.6211232187762,0
0.3,0.001,100000,40,40,3,34.953897736798,0,41.3696278951586,0,63.4953897736798,0
0.3,0.01,1e-05,40,40,3,46.8985750209556,0,51.73735223903,0,74.140821458508,0
0.3,0.01,0.0001,40,40,3,46.7728415758592,0,52.2719809220692,0,74.2246437552389,0
0.3,0.01,0.001,40,40,3,48.2816429170159,0,54.6961519015975,0,77.661357921207,0
0.3,0.01,0.01,40,40,3,48.4492875104778,0,55.5521287461105,0,77.9966471081308,0
0.3,0.01,0.1,40,40,3,48.4073763621123,0,53.2631686150457,0,74.4761106454317,0
