Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy
0.001,1e-05,20,20,3,43.7259010896899,52.7766002656721,73.1014249790444,38.1423791104979,66.7150046855434,26.7242615769442,31.8082549090481,141.942112175624
0.001,0.0001,20,20,3,43.5540653813915,52.7355498782255,73.1181894383906,38.0372273843227,66.4902643116072,26.6577959416433,31.6901438021834,142.119020081278
0.001,0.001,20,20,3,43.2229673093043,52.774448224917,73.0846605196982,37.8522208631708,66.7694409051794,26.4282443308723,31.5468338858552,141.743016713144
0.001,0.01,20,20,3,44.2665549036044,52.7929318441617,73.2523051131601,37.9534346838017,66.6013818041087,26.5531401070535,31.6244269236516,141.669271703536
0.001,0.1,20,20,3,44.1659681475272,53.4873596531793,73.872590108969,37.6935725178043,64.3721594020201,26.6819240256963,31.1498570138562,139.955829461482
0.001,1,20,20,3,45.0544844928751,53.4728698770949,72.9421626152557,38.0311848081425,62.3553798320368,27.3899763687341,31.2084910067856,141.348325579793
0.001,10,20,20,3,43.9145012573345,50.4365336942393,69.8072087175189,35.7734244049815,51.5497615130417,27.4147524765307,27.5940440108862,156.600754218226
0.001,100,20,20,3,37.883487007544,46.647476798444,66.7728415758592,30.4767072185285,39.9949144582226,24.6628980485845,20.6544204842592,171.753085440983
0.001,1000,20,20,3,37.8206202849958,46.4643303568337,66.5046102263202,29.7002683247296,39.2522271714065,23.927779913856,19.8463103395106,172.069630459375
0.001,10000,20,20,3,37.7116512992456,46.1487431272384,66.2070410729254,29.1671759263166,39.02950940901,23.332202891914,19.3579041399294,172.924622791432
0.001,100000,20,20,3,37.3721709974853,46.1901183268087,66.5884325230511,29.1014867781321,39.5041904382267,23.0595361014028,19.4415762260224,172.309284747604
0.01,1e-05,20,20,3,44.0905280804694,55.5589397894377,74.8030176026823,37.9421646806035,67.2739320227058,26.4338821374415,31.6757105192537,131.187207991999
0.01,0.0001,20,20,3,43.6001676445935,55.6809070679993,74.777870913663,37.7248877004905,67.3078706236262,26.2122364163423,31.478137696899,130.553113968691
0.01,0.001,20,20,3,43.6336965632858,55.7328617914121,74.8281642917016,38.115492387618,67.7571602902621,26.5262039201116,31.8842640956804,130.440555660909
0.01,0.01,20,20,3,44.2288348700754,55.7997019889938,74.9329421626153,38.220379907984,67.6424398008474,26.6542966134279,31.9692505065408,130.27765167218
0.01,0.1,20,20,3,45.268231349539,56.2506030691607,75.2640402347024,38.9147726257672,66.7433192930457,27.4733554237427,32.5168847846999,129.678591072648
0.01,1,20,20,3,46.9740150880134,56.5163310644535,74.5599329421626,39.430640032575,64.9461272099445,28.3179247687635,32.795274255228,130.137091777162
0.01,10,20,20,3,47.1835708298407,55.2181795119029,72.9337803855826,39.917019881237,60.797659041085,29.7269659960341,32.7338201871958,137.734329440277
0.01,100,20,20,3,40.6873428331936,50.8347757954274,70.1466890192791,32.3542185764759,47.9114051007479,24.4500006480237,23.9745349609891,153.415725436059
0.01,1000,20,20,3,40.2849958088852,50.7991619829168,69.9161777032691,32.5011385725693,47.1958306760049,24.8145140037931,23.9958912837974,154.257793062395
0.01,10000,20,20,3,40.3646269907795,50.6738218314039,70.0586756077116,32.0524977996571,46.8891949891789,24.3659303676887,23.5411473155681,154.273627494194
0.01,100000,20,20,3,40.3855825649623,50.616893211359,69.7569153394803,32.1739673024115,47.2427617253133,24.4151369706186,23.7123671456436,154.441661294891
0.1,1e-05,20,20,3,46.441743503772,57.5813899459802,75.8717518860017,39.4307445396868,69.7262742859922,27.4926017289273,33.2982625168363,123.702785288955
0.1,0.0001,20,20,3,46.2405699916178,57.6067914587745,75.7963118189438,39.2686552523865,69.5733399823062,27.3587200235017,33.1325372804875,123.539421119443
0.1,0.001,20,20,3,45.2430846605197,57.5151707889809,75.7711651299246,38.7153161122306,69.2760770465335,26.8723998047289,32.5924980157574,123.534785721267
0.1,0.01,20,20,3,44.8281642917016,57.6771867951576,75.8382229673093,38.4929026833262,68.7493954699746,26.741801419604,32.3350028893757,122.994983610423
0.1,0.1,20,20,3,45.9178541492037,58.0266426110015,76.2782900251467,38.9377807638079,68.9440484562904,27.136577484199,32.7650401716805,121.997944978644
0.1,1,20,20,3,46.6303436714166,58.7347328461062,76.0310142497904,40.232711945439,67.3168933766657,28.7341072176885,33.8009143008944,121.343299804409
0.1,10,20,20,3,47.1332774518022,57.3680465325258,74.6437552388935,40.2652457236602,64.5380548209924,29.2747318261741,33.5138282300714,127.904437893172
0.1,100,20,20,3,43.3989941324392,53.8641805760346,72.384744341995,35.6405134706099,55.6472246035485,26.2267521481987,28.1471267998372,141.165095808053
0.1,1000,20,20,3,41.5968147527242,53.5302703991933,72.0787929589271,33.7365199497165,52.8634399912192,24.7945332716991,26.0427342493137,142.132375880751
0.1,10000,20,20,3,42.7158424140821,53.8763065266161,71.7518860016764,34.7599091404922,55.2685696755581,25.3577523080446,27.3166746706882,140.498402798573
0.1,100000,20,20,3,42.2590108968986,53.4393357563932,71.848281642917,34.1853642292103,53.8459988799614,25.0502218401282,26.5990483581491,142.296289637062
1,1e-05,20,20,3,45.1634534786253,57.2896689817074,75.2598491198659,38.2309841418329,67.9632127284385,26.6001434292552,32.011553392591,124.532646452567
1,0.0001,20,20,3,45.0838222967309,57.3422124041195,75.3813914501257,38.2626194741287,67.8906334813192,26.6415953480535,32.0331692591842,124.383181453646
1,0.001,20,20,3,45.3185247275775,57.4538482378526,75.5238893545683,38.263011830727,67.8298031399836,26.65105649471,32.0280934314756,123.978113534667
1,0.01,20,20,3,45.3101424979044,57.443208621641,75.5029337803856,38.155104168379,67.628620165543,26.5850012744467,31.9089787447487,124.042775570776
1,0.1,20,20,3,45.222129086337,57.8085712907392,75.7041072925398,38.6774654974824,67.9934565943945,27.0371706419323,32.4310013878284,122.916071359341
1,1,20,20,3,46.1525565800503,58.6102122408619,75.9346186085499,39.2119790119698,67.4304794046672,27.6504387120744,32.8577149574477,120.682320534403
1,10,20,20,3,47.2967309304275,57.7489919510264,74.9287510477787,40.0103137962315,66.035818509701,28.7085318806081,33.4564735757302,125.309730735462
1,100,20,20,3,43.1894383906119,53.9476173817313,72.5649622799665,35.3113024350716,57.869190175044,25.4308061847386,28.1731384943405,139.327742277182
1,1000,20,20,3,43.872590108969,54.2791390168766,72.300922045264,35.9671681035041,58.1217016641917,26.0594540183952,28.7771673945232,138.587740649279
1,10000,20,20,3,43.9270746018441,54.5326876335717,72.7116512992456,36.1601510379678,59.1275596720685,26.0557170814739,29.0958661262699,137.299177114165
1,100000,20,20,3,43.6085498742666,54.0730976865398,72.4979044425817,35.505730871295,58.161331296302,25.5649687004532,28.3811162733873,138.824671590169
10,1e-05,20,20,3,46.2405699916178,57.5156622528962,75.498742665549,40.3148709310396,69.1017386091595,28.4650261585585,34.0601672999631,124.708188815975
10,0.0001,20,20,3,46.0729253981559,57.235265067559,75.2598491198659,39.7039573907106,68.4853463612268,27.9619653264096,33.4369142853558,125.60695319815
10,0.001,20,20,3,46.3830678960604,57.6008741110153,75.6244761106454,40.212400294579,68.6200845137811,28.4436197742285,33.9152422189683,124.567571873305
10,0.01,20,20,3,45.5280804694049,56.7889205758728,74.9413243922884,38.7406519187492,66.8588080388236,27.2768962254777,32.3676468694403,127.229766634029
10,0.1,20,20,3,46.6135792120704,58.0847310882758,75.6244761106454,40.105060581477,68.1310409352419,28.4288664336661,33.7631422789998,122.939111774443
10,1,20,20,3,45.905280804694,57.3641705608023,74.7527242246437,38.7814471252937,65.2163723069077,27.6117516945821,32.221617637123,126.061474006871
10,10,20,20,3,47.8080469404862,57.3820455491125,74.4928751047779,40.6285602740245,65.8931395695144,29.3773355855758,34.0068560282393,127.120196151308
10,100,20,20,3,45.7418273260687,54.8668928781962,73.3193629505448,37.4794203347349,60.7307289247757,27.1189512383734,30.4945316489522,136.287743365771
10,1000,20,20,3,45.674769488684,54.6666734447583,73.2648784576698,38.2279833577419,61.5920696635587,27.7208572922112,31.2901820335653,137.186079334127
10,10000,20,20,3,45.6496227996647,54.6998180784804,73.0762782900252,37.9981502334863,61.1743067389694,27.5670596570658,31.025567247586,137.094753735578
10,100000,20,20,3,45.6915339480302,54.7580364588864,73.2397317686505,37.7692203994538,61.2039173085847,27.3189529664367,30.8212058727675,136.694029572104
100,1e-05,20,20,3,45.046102263202,55.5097859740231,74.2455993294216,37.8679776333687,65.05033374824,26.7181269521715,31.3682855424737,131.972356970654
100,0.0001,20,20,3,44.9706621961442,55.4866161000772,74.4006705783738,37.6913746523586,65.2545252575899,26.5111913700518,31.2247009355202,131.847190852083
100,0.001,20,20,3,45.3688181056161,55.6729513744455,74.3126571668064,38.0227941472484,65.3522619981824,26.8191106522143,31.5418297595599,131.473604073727
100,0.01,20,20,3,45.5993294216261,56.3311432771674,74.6437552388935,38.7459079779035,66.6848458677898,27.3166200809598,32.3611284387233,129.074597652368
100,0.1,20,20,3,44.7233864207879,55.7547126128111,74.3964794635373,36.7811435638848,63.544743205033,25.8945319756516,30.210576205041,131.082751121474
100,1,20,20,3,46.7602682313495,56.3742770981805,74.1743503772003,38.9431049480664,64.4906408951427,27.9110306601634,32.293323407889,130.26673053663
100,10,20,20,3,47.0494551550712,55.8498663354747,73.3109807208718,39.3259977303632,63.0164428884322,28.5959485555551,32.4703131341357,133.025903459728
100,100,20,20,3,45.1257334450964,54.3831923822191,72.975691533948,37.7784697244836,60.3119970227049,27.5280918292846,30.7111824481157,138.586700447563
100,1000,20,20,3,45.5155071248952,54.18542881362,72.5607711651299,37.4801231859664,59.643278093542,27.3371408328401,30.3637899706369,139.446387932777
100,10000,20,20,3,45.138306789606,54.1091260200405,72.5943000838223,37.5071989126127,60.3322770874531,27.227797626505,30.4699593621561,139.370794136671
100,100000,20,20,3,44.5976529756915,53.795510837596,72.3134953897737,37.1259205042197,60.0004791661963,26.8922725328656,30.0834417854821,140.402980197037
1000,1e-05,20,20,3,45.8927074601844,55.9328122050553,74.103101424979,38.399917237342,65.9973321913275,27.0900277786178,31.971848608301,130.548006581255
1000,0.0001,20,20,3,45.8927074601844,55.9626943210537,74.0947191953059,38.4375745587941,66.0968673259525,27.1116933724452,32.0172350769515,130.404198492766
1000,0.001,20,20,3,45.8466051969824,55.792685235733,74.1492036881811,38.4288066391791,66.1748141943714,27.0917126403511,32.0178297763799,130.926962869239
1000,0.01,20,20,3,45.1215423302599,55.8203133674447,74.2749371332775,38.4247456433719,66.2196595163732,27.0802426200896,32.0092954364773,130.908136366697
1000,0.1,20,20,3,46.1022632020117,55.8524537421327,74.1617770326907,38.6432090443727,65.4223930512171,27.4471104621273,32.1252736205809,131.317962607272
1000,1,20,20,3,46.0016764459346,55.8733585781489,74.0360435875943,38.1226401930638,63.5429356513547,27.2375395834503,31.4252465780525,131.813887788978
1000,10,20,20,3,46.663872590109,55.5041644659355,73.512154233026,39.01814806315,63.1672148980837,28.248521425825,32.1986442809201,134.167475978468
1000,100,20,20,3,45.2388935456832,54.4389903079809,72.254819782062,39.0004639182664,60.7332372940199,28.7362456960423,31.8797389939647,139.507154841039
1000,1000,20,20,3,45.1508801341157,53.5648745001784,72.0075440067058,37.3551865151533,59.1443684107103,27.3098158316521,30.1796168124963,142.038902146025
1000,10000,20,20,3,44.7275775356245,53.1733057111178,71.802179379715,36.9031150060557,58.4099421060148,26.979647734293,29.6747770272578,143.42224886113
