Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,std1,std2,std3,std4,std5,std6,std7,std8
0.001,1.00E-05,7,7,3,51.46540027,39.98277602,80.02035278,49.82541064,77.64495454,36.71698898,33.39155797,91.94710664,3.897287198,2.555878443,1.354683175,3.345361829,2.636472387,3.126897048,3.721874796,4.696632834
0.001,0.0001,7,7,3,51.45183175,39.99964593,80.0339213,49.81856658,77.64783801,36.71151622,33.39007993,91.90627106,3.959126106,2.587869937,1.432766292,3.429581981,2.630013949,3.223978498,3.806483204,4.704921403
0.001,0.001,7,7,3,51.35006784,40.08370145,80.04070556,49.7893332,77.66898759,36.67526217,33.37214083,91.71298484,3.984395168,2.69116594,1.679490854,3.504140711,2.74538572,3.279274186,3.904423095,4.895470709
0.001,0.01,7,7,3,51.86567164,40.55054013,80.14246947,50.24360983,77.89274445,37.10897246,33.82586778,90.85560744,3.581228567,2.326301089,1.234515879,3.065232663,2.400931335,2.849456806,3.410270913,4.246428698
0.001,0.1,7,7,3,51.47218453,39.23394792,79.4165536,49.73129613,76.80362348,36.80063379,33.05695197,93.91942885,3.731007482,2.854407249,1.193292949,3.152279943,2.732963442,2.922601283,3.564088513,5.846969959
0.001,1,7,7,3,46.95386703,32.31578122,75.5156038,44.1808024,70.72231374,32.16389125,26.49838102,108.4137314,2.151667318,2.299604946,2.106267373,2.375399531,2.050277472,2.290288599,2.266787845,4.685813613
0.001,10,7,7,3,48.73134328,35.18641436,77.30664858,46.44295722,71.56185631,34.49041191,28.7471041,102.8974191,6.346501561,3.58719213,2.342781092,5.604347328,4.472979544,5.332525814,6.015566066,6.618235509
0.001,100,7,7,3,48.14789688,28.76945604,72.6797829,43.02172208,47.73292004,39.22274852,12.67212194,124.129419,2.941593956,2.825166744,1.197933841,1.887957331,1.835582619,2.5141316,2.4287325,5.095069813
0.001,1000,7,7,3,47.15061058,24.99665934,69.35549525,42.44669145,44.58694384,40.58627843,9.058907639,132.4455945,4.001627564,1.613035802,1.361761809,2.034040359,1.921981423,2.846044263,2.805707749,3.096074556
0.001,10000,7,7,3,47.3202171,25.2010686,69.40298507,42.70601038,44.84207,40.86665583,9.415389389,132.0698793,3.52915612,1.473669883,1.282047742,1.662150437,1.831695574,2.615232826,2.492029823,2.635001091
0.001,100000,7,7,3,48.13432836,25.29253283,69.97286296,43.27626125,45.70655757,41.19174736,10.59790713,131.6856307,3.974860095,1.622972021,1.80126056,2.164224753,2.615082608,2.758801586,3.561615078,2.733007324
0.01,1.00E-05,7,7,3,54.89145183,46.85980505,82.94436906,53.77772597,81.76885276,40.07504134,38.10390839,77.80965719,2.357187495,1.573572329,1.198851332,2.331360523,2.140211332,2.122060749,2.73560514,2.909304358
0.01,0.0001,7,7,3,54.92537313,46.78134515,82.9036635,53.75530225,81.69315114,40.06744162,38.06075816,77.99077093,2.237823522,1.608838973,1.214026733,2.251193602,2.134076081,2.040364205,2.656268784,3.064623466
0.01,0.001,7,7,3,55.08141113,46.82931898,82.92401628,53.7326294,81.67143972,40.04822721,38.03675744,77.9004751,2.284470943,1.69204515,1.197506861,2.345372405,2.121627978,2.135971889,2.750751469,3.097781797
0.01,0.01,7,7,3,55.04070556,46.94111434,82.94436906,53.76419462,81.56833765,40.10840367,38.03746378,77.73434233,2.334865678,1.428369693,1.125360479,2.194322185,1.949526506,2.022130932,2.54927394,2.626838603
