Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,std1,std2,std3,std4,std5,std6,std7,std8
0.001,1e-05,35,35,3,48.6770691994573,35.8050190731872,79.2198100407056,46.8966129241115,73.2810433552701,34.5657878385225,29.6129721444954,101.301051206414,4.39952305541106,3.24253891991159,1.46488717418835,4.48025165741955,3.48483378906582,4.24576686683619,4.68365505661047,6.07655631360994
0.001,0.0001,35,35,3,49.4369063772049,35.4555477108909,78.6974219810041,47.7471528190622,73.0014636606032,35.5963875001195,30.3175137739316,102.670541974462,5.42760157201881,5.50661684574852,2.94349701994403,6.01252480906285,5.04901626720205,5.68945953796062,6.61754858235521,10.5540902706132
0.001,0.001,35,35,3,48.3446404341927,36.008940779021,78.8805970149254,47.247011138915,73.4628843198919,34.9135112657611,29.9890609496002,100.918663721004,5.62972819120758,3.90241641973722,2.56250938592677,5.05482493428831,4.07945316562855,4.69369661201438,5.39603860745231,7.50184684368604
0.001,0.01,35,35,3,48.7652645861601,36.131473842745,79.3080054274084,46.986132529331,71.0194181170372,35.4095488915868,29.0759931998078,101.80686393368,7.5510306141969,5.01830917055561,3.17759711809141,6.65889571045759,4.18527879159125,6.98568912669313,6.59903248456913,8.09875843626489
0.001,0.1,35,35,3,53.5481682496608,37.5837249484659,80.067842605156,51.3456934763979,71.5038125648665,40.219221099523,32.6546039695036,100.973003457407,3.07770063444138,3.75737188402642,1.74607413211891,3.28060168033291,4.94100243037229,3.58720181645658,4.12096984778421,8.25019847237177
0.001,1,35,35,3,52.1438263229308,31.4905023851654,77.3337856173677,47.9133124091355,62.7926373982782,39.0287642554656,26.2812932661799,115.189290704242,6.40993554066832,4.13668334404301,2.55459415663397,5.15821724513917,4.35411537691755,6.16289844360711,5.62996460683917,7.24312553039285
0.001,10,35,35,3,54.6336499321574,31.3437916422412,72.8493894165536,49.7013323378142,51.6253771982457,48.5810494316933,19.3676613190951,121.434682070583,8.20892718969837,5.85515031784155,8.22173507101093,5.69561000658743,7.45623756728325,6.5437156419955,10.7861659415263,12.1665584343278
0.001,100,35,35,3,46.8792401628223,23.5436601729362,66.0922659430122,43.1021390224164,42.6000805332524,43.8571251039586,6.6114438734911,136.884431857457,5.30205380036268,4.63968657056937,6.10791126715355,3.37089851528925,3.247345572818,4.87878303091051,5.3941589481503,7.89508752003789
0.001,1000,35,35,3,49.8643147896879,26.172200955412,69.6540027137042,44.8718129250966,45.2199099286551,44.7575017445918,10.6611198953981,131.703239772681,6.10374019731605,3.82677769064921,3.93721629868743,4.19700150852944,4.00025660574232,5.53140568882151,6.37452667337952,6.99195982576672
0.001,10000,35,35,3,49.9050203527816,26.1438893906428,69.6336499321574,44.8699576916762,45.149624090994,44.8061352273705,10.5561940469798,131.827424698381,6.09428191653464,4.11052967367295,4.20346854219096,4.24373624488182,4.22848834519888,5.44416152095159,6.64304746198446,7.48727970016414
