Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy
0.1,1e-05,7,7,3,75.2857142857143,64.4376987229333,75.9047619047619,61.9028783957481,60.0350190879931,63.9080459770115,55.5367809430482,101.309742065417
0.1,0.0001,7,7,3,75.2857142857143,64.4376987229333,75.9047619047619,61.9028783957481,60.0350190879931,63.9080459770115,55.5367809430482,101.309742065417
0.1,0.001,7,7,3,74.9523809523809,64.380767121356,75.6666666666667,61.7412024405971,60.0516982878327,63.5336617405583,55.3735307200215,101.302662757865
0.1,0.01,7,7,3,75.4285714285714,64.3422142965962,76.0952380952381,62.3378954663764,60.7085775424596,64.0656814449918,56.0793983649628,101.349841476146
0.1,0.1,7,7,3,74.1428571428571,64.6654886365011,75.5714285714286,61.8990772807225,60.2262489436648,63.6748768472906,55.5680822262559,100.494545865226
0.1,1,7,7,3,69.7142857142857,60.9278178530695,71.952380952381,57.5357022257185,55.9966744725049,59.1822660098522,50.4722665165256,110.896079016987
0.1,10,7,7,3,68.7142857142857,59.6290778114933,70.5238095238095,56.3502857060447,54.7107929250974,58.1247947454844,49.0701863632145,114.650315715491
1,1e-05,7,7,3,77.3333333333333,65.5167977909547,77.7142857142857,63.1895953075087,61.2865989187334,65.2249589490969,57.0439706008107,98.2714034503142
1,0.0001,7,7,3,77.3333333333333,65.5167977909547,77.7142857142857,63.1895953075087,61.2865989187334,65.2249589490969,57.0439706008107,98.2714034503142
1,0.001,7,7,3,77.0952380952381,65.3220568464434,77.5238095238095,63.0387915471583,61.105580087085,65.1100164203612,56.866236229435,98.8344965397474
1,0.01,7,7,3,76.0476190476191,64.5980979649006,76.4285714285714,62.1692845916103,60.533696915711,63.9178981937603,55.8876763553063,100.642754802839
1,0.1,7,7,3,74.6666666666667,64.1964065275486,75.5238095238095,61.6308782004838,59.6416445840847,63.7931034482759,55.2172903802958,102.18694392935
1,1,7,7,3,73.7142857142857,64.9945131874262,75.6190476190476,61.8910704918404,59.5058981385094,64.5123152709359,55.4586966934451,100.330531671249
1,10,7,7,3,73.3809523809524,62.7282287199111,74.4285714285714,59.9661505055055,57.9651880256829,62.1477832512315,53.2453480935317,106.251240295408
10,1e-05,7,7,3,74.2857142857143,64.9763222949827,76.0952380952381,62.4986118401637,60.3813421726057,64.8045977011494,56.2021447593893,100.079077634611
10,0.0001,7,7,3,74.2857142857143,64.9763222949827,76.0952380952381,62.4986118401637,60.3813421726057,64.8045977011494,56.2021447593893,100.079077634611
10,0.001,7,7,3,75.2380952380952,65.3815243597137,76.5238095238095,63.3780834487767,61.5475152436334,65.3628899835796,57.2679803307983,98.713397967479
10,0.01,7,7,3,74.9523809523809,64.4914921696909,75.9523809523809,62.3599969207224,60.1682072943231,64.7422003284072,56.0262782791258,101.506237975884
10,0.1,7,7,3,73.5238095238095,63.6293204799475,75.0952380952381,61.4317816453557,60.0456573217001,62.9129720853859,55.0458054757874,103.202410880103
10,1,7,7,3,73.7142857142857,63.7157085298007,75.047619047619,61.2645911463166,59.4725039459427,63.1888341543514,54.8051413678201,103.278956624599
10,10,7,7,3,76.2857142857143,66.403165895363,77.047619047619,64.085060798863,62.3598592913852,65.9540229885057,58.0887113270977,95.695089966762
100,1e-05,7,7,3,75.2857142857143,65.3906566762412,76,62.5902759639929,60.5661086071954,64.7980295566502,56.3173091116895,98.823495667956
100,0.0001,7,7,3,75.2857142857143,65.3906566762412,76,62.5902759639929,60.5661086071954,64.7980295566502,56.3173091116895,98.823495667956
100,0.001,7,7,3,75.6190476190476,65.9134423823697,76.2857142857143,63.1157467410879,61.196703493979,65.1986863711002,56.9492482327382,97.2663501168121
100,0.01,7,7,3,75.6190476190476,66.3470442795532,76.3809523809524,63.6332710615541,61.7544461994471,65.6617405582923,57.5564999897873,96.0044218277193
100,0.1,7,7,3,74.3333333333333,65.0055133939301,75.9047619047619,62.2542303915906,60.2510265040753,64.4039408866995,55.9346032719524,99.8130640440566
100,1,7,7,3,75.6190476190476,64.900609470693,76.1428571428571,62.7806835063776,61.1684777564619,64.4926108374384,56.6026371054813,99.7901850067839
100,10,7,7,3,72.8095238095238,63.4075763594805,73.8571428571428,60.4072608447122,58.6924540206668,62.2528735632184,53.8090426639036,104.086739702415
1000,1e-05,7,7,3,74.4285714285714,64.9987011353433,75.5714285714286,62.1470914045962,59.9123641728293,64.5812807881773,55.779868829999,100.091556261282
1000,0.0001,7,7,3,74.4285714285714,64.9987011353433,75.5714285714286,62.1470914045962,59.9123641728293,64.5812807881773,55.779868829999,100.091556261282
1000,0.001,7,7,3,75.1428571428571,65.637175578775,76.0476190476191,62.8720591257738,60.3568415462476,65.6288998357964,56.5996728437148,98.6118114050928
1000,0.01,7,7,3,74.3333333333333,64.9379449096151,75.3809523809524,62.0473666207163,59.8099710138199,64.4926108374384,55.6611579607689,100.279224275207
1000,0.1,7,7,3,75.4761904761905,65.6285580295035,76.0476190476191,62.9936061012398,61.006616101732,65.136288998358,56.8044119491623,98.1505297668831
1000,1,7,7,3,73.5714285714286,64.427740905329,75.0476190476191,61.4488373839676,59.5337880903047,63.5467980295567,55.0076220674456,101.490589726169
1000,10,7,7,3,71.8095238095238,62.6820112673971,73.6666666666667,59.4634319756398,57.5736013639284,61.5238095238095,52.6835717767713,106.326837494008
10000,1e-05,7,7,3,75.9523809523809,66.450424802311,77.0476190476191,64.1292224822591,61.5508750148897,67.008210180624,58.0625229144812,96.6217663189805
10000,0.0001,7,7,3,75.9523809523809,66.508779286284,77.0476190476191,64.1478767743554,61.5659255867328,67.0311986863711,58.0840897977671,96.4626873610527
10000,0.001,7,7,3,76.3333333333333,66.7667011737908,77.2857142857143,64.4491923199054,61.9095690425936,67.2807881773399,58.4444686424202,95.6958294655483
10000,0.01,7,7,3,75.4285714285714,66.5856483232574,76.9047619047619,63.9540310575928,61.9628863541978,66.111658456486,57.9188305736252,95.4362516265931
10000,0.1,7,7,3,72.8095238095238,63.5841393101141,74.2380952380952,60.8045755850017,59.2024800846032,62.5090311986864,54.2866833619314,103.470887138928
10000,1,7,7,3,73.0476190476191,63.5510596160723,74.4285714285714,60.6901507751483,58.6189354276157,62.9523809523809,54.0957682775562,104.023952350034
10000,10,7,7,3,73.7142857142857,63.8085376268315,74.8571428571429,60.7416922340731,58.6682472091165,63.0180623973728,54.1562768686475,103.344614792721
0.1,1e-05,14,14,3,68.0952380952381,59.3174826860032,69.1904761904762,54.0419045526806,51.0244435165148,57.5796387520526,46.0898108882215,116.841736648835
0.1,0.0001,14,14,3,68.0952380952381,59.3174826860032,69.1904761904762,54.0419045526806,51.0244435165148,57.5796387520526,46.0898108882215,116.841736648835
0.1,0.001,14,14,3,68.3333333333333,60.613385347336,70.5238095238095,55.3549002858672,51.8916907142628,59.4351395730706,47.5565159817533,113.59184987614
0.1,0.01,14,14,3,67.3809523809524,59.6464614290698,69.3333333333333,54.3151908499957,51.256087796375,57.9014778325123,46.393395663754,115.963805652212
0.1,0.1,14,14,3,67.7142857142857,58.0455841329033,68.6190476190476,53.1865057323723,50.8389953947519,55.8128078817734,45.2203850392815,119.766148190104
0.1,1,14,14,3,68,60.6331602061549,70.0476190476191,56.0596811292731,53.6119906684678,58.8177339901478,48.5908232521497,112.659407844192
0.1,10,14,14,3,63.6190476190476,56.1971045089201,65.4285714285714,51.5404774100139,48.8625449668744,54.5747126436782,43.2241744330465,125.404718172684
1,1e-05,14,14,3,71.5238095238095,64.73745189209,72.5238095238095,60.3602738361082,57.5602435652647,63.5862068965517,53.588226576005,101.634895741641
1,0.0001,14,14,3,71.5238095238095,64.73745189209,72.5238095238095,60.3602738361082,57.5602435652647,63.5862068965517,53.588226576005,101.634895741641
1,0.001,14,14,3,69.9047619047619,63.2207017193706,70.9047619047619,58.2723423178521,55.6859880049769,61.2446633825944,51.1610764179644,105.657954303067
1,0.01,14,14,3,71.8571428571428,63.7654031630731,73.0952380952381,59.2678789326262,56.7518527907942,62.1083743842365,52.3340628042057,103.918476704899
1,0.1,14,14,3,71.8095238095238,63.856905836743,72.3809523809524,58.7939272920072,55.6509331914755,62.4564860426929,51.7112096318272,104.374613701051
1,1,14,14,3,69.8095238095238,63.4700872922086,71.6190476190476,58.9061723048416,55.767344431495,62.512315270936,51.8161242097217,105.371106642211
1,10,14,14,3,72.9523809523809,64.9149602909101,74.0952380952381,61.0438124329317,57.6673239799179,64.9655172413793,54.3027933576942,101.61629264366
10,1e-05,14,14,3,70.2380952380952,61.8474836271358,71.1904761904762,57.9245244310675,55.6039398557746,60.5484400656814,50.8169680917303,108.991329407272
10,0.0001,14,14,3,70.1428571428571,61.6021805633976,71.0952380952381,57.7812193889715,55.4451684913081,60.423645320197,50.6465948412258,109.694179610429
10,0.001,14,14,3,69.7619047619048,61.9908283419457,70.7142857142857,57.3161179663042,54.9602704579436,59.9835796387521,50.0893380336316,108.761022465701
10,0.01,14,14,3,73,64.6526125922572,73.8571428571429,60.8554695347428,58.6633481260603,63.3300492610837,54.2502118417891,101.039194025129
10,0.1,14,14,3,73.4285714285714,65.867963135766,74.4761904761905,61.8090464967285,59.6487636606481,64.1707717569787,55.3844058684564,97.7224651562517
10,1,14,14,3,72.2380952380952,65.1261019186643,73.8095238095238,60.7006799252794,57.8157854907367,64,53.9815762620505,100.611456118682
10,10,14,14,3,70.6190476190476,64.6188475929512,72.5714285714286,59.799184640487,56.3907558094687,63.7668308702792,52.8318559065709,102.624552753296
100,1e-05,14,14,3,67.7142857142857,60.9002071686845,69.3809523809524,56.0697365968001,53.6438665063768,58.8669950738916,48.6040653469255,111.903666298717
100,0.0001,14,14,3,67.6666666666667,60.9185205495136,69.3333333333333,56.2003043536123,53.744343976611,59.0344827586207,48.7530897043702,111.896538247513
100,0.001,14,14,3,66.4285714285714,60.0970343610802,68.3333333333333,54.5771424675414,51.7124932550455,57.9310344827586,46.7743673308438,114.565532057654
100,0.01,14,14,3,67.6666666666667,61.6658626023907,69.3333333333333,56.4700542997303,53.5094545420576,59.944170771757,48.9978154246572,110.28693523206
100,0.1,14,14,3,71.0476190476191,64.2352990504932,72.4285714285714,60.4722867923927,58.0736894609611,63.1297208538588,53.7735513661818,102.614252294174
100,1,14,14,3,64.0952380952381,59.2654946129296,66.5714285714286,53.6178487825072,51.1193921806928,56.4302134646962,45.705028322767,116.522288224039
100,10,14,14,3,65.7619047619048,60.675480254905,67.7619047619048,54.8873896648969,52.4408848886339,57.6420361247948,47.2057106531759,112.523375327572
1000,1e-05,14,14,3,69.4761904761905,62.034493642346,70.9047619047619,57.8105450159112,55.8694067110611,59.9605911330049,50.6874154137791,108.239491701807
1000,0.0001,14,14,3,69.6666666666667,62.011555053151,71.0952380952381,57.8428873785373,55.9011838988708,59.9934318555008,50.7256287798467,108.306826250219
1000,0.001,14,14,3,69.8571428571429,62.6017598311285,71.4761904761905,58.7222455564954,56.5096586207473,61.2446633825944,51.7141170201906,106.931684029725
1000,0.01,14,14,3,68.9523809523809,62.3939120431172,70.8571428571429,57.4658058864189,54.3810878451018,61.0147783251232,50.154830142076,108.402391060584
1000,0.1,14,14,3,72.2380952380952,63.0478783713952,73.3809523809524,59.8320598373574,57.7321890892767,62.1543513957307,53.0707219402952,105.589067401164
1000,1,14,14,3,68,60.1021385751077,69.5714285714286,55.9409979182631,53.9559240284568,58.1182266009852,48.5108844937508,113.704024898995
1000,10,14,14,3,68.9047619047619,61.8981246444893,70.2380952380952,56.8780486398347,54.26385464023,59.8128078817734,49.556308503242,109.174794410948
10000,1e-05,14,14,3,70.1904761904762,61.6506745564474,71.4761904761905,57.7681121956775,55.5957774115263,60.2725779967159,50.6255646048149,109.65850243025
10000,0.0001,14,14,3,70.1904761904762,61.6507773337805,71.4761904761905,57.7736348615974,55.5942860138723,60.2857142857143,50.6312764971608,109.663119781895
10000,0.001,14,14,3,70.7142857142857,62.7154483064892,71.7619047619048,58.5378532540983,56.2746153869548,61.1297208538588,51.5291361222447,106.727104624235
10000,0.01,14,14,3,69.9047619047619,61.6929972439565,71.6666666666667,58.0365846984395,55.5801995620617,60.7750410509031,50.9231144359291,109.535036796058
10000,0.1,14,14,3,72.4285714285714,62.9303988115242,73,59.5110738353467,57.7713752893715,61.3924466338259,52.742728235755,105.489673566692
10000,1,14,14,3,69.9047619047619,61.4657532894583,71.5238095238095,57.195259342644,54.9008103672799,59.799671592775,49.933616745035,110.051780005347
10000,10,14,14,3,64.9523809523809,59.0171752983585,67.0476190476191,53.5337551946234,50.8685993721694,56.5287356321839,45.5812131593856,117.331304616457
0.1,1e-05,21,21,3,65,57.8388658051434,66.4761904761905,51.7097164814027,45.8240039761931,59.4449917898194,42.7051793543274,124.406961785023
0.1,0.0001,21,21,3,65,57.8388658051434,66.4761904761905,51.7097164814027,45.8240039761931,59.4449917898194,42.7051793543274,124.406961785023
0.1,0.001,21,21,3,65.3809523809524,58.1536316891627,66.8095238095238,51.9518894808914,46.0424970490526,59.7011494252874,43.005040417886,123.52533670712
0.1,0.01,21,21,3,65.8571428571429,59.542879813757,67.3809523809524,53.4109256231009,48.0017623006316,60.4039408866995,44.8570667815172,118.974152120788
0.1,0.1,21,21,3,62.7619047619048,55.0136253895102,63.8571428571429,49.3581242433608,44.5806377996036,55.6387520525452,40.0222347744923,131.237414418063
0.1,1,21,21,3,60.8571428571429,52.9534323450703,62.8571428571429,48.8160039365741,45.1080969312218,53.3300492610837,39.7287618763634,135.995553616238
0.1,10,21,21,3,60.6666666666667,54.0417784729951,62.6666666666667,47.9389647205002,42.6184090716753,55.3300492610837,38.1487428589017,134.729495124466
1,1e-05,21,21,3,57.4285714285714,52.0194757500635,59.7619047619048,46.0168071288536,41.0724266378887,52.5779967159277,36.0497488665083,140.119016443878
1,0.0001,21,21,3,57.4761904761905,51.9844883740259,59.7619047619048,45.9752222839687,41.0670486410285,52.4827586206897,36.0106759352731,140.17863226831
1,0.001,21,21,3,59.4285714285714,53.0474288185441,61.5714285714286,47.7814331161303,42.9758157825703,54.1018062397373,38.2492966505816,136.97132760118
1,0.01,21,21,3,59.4285714285714,51.5004711297814,60.9047619047619,46.159199936724,41.4232545399776,52.2955665024631,36.2776904933827,141.146911874813
1,0.1,21,21,3,58.5238095238095,52.4114459960972,60.2857142857143,47.4369381088364,42.6466318181675,53.6683087027915,37.7946627313293,138.722009956051
1,1,21,21,3,58.6666666666667,52.1301818478908,60.5238095238095,46.1944517046374,40.6190633056681,53.8226600985222,36.0953996911279,140.722327985913
1,10,21,21,3,52.9047619047619,46.4850719059263,55.9047619047619,41.8036118836531,37.2242220884375,47.8292282430213,31.0390156405866,155.379279564178
10,1e-05,21,21,3,54.7142857142857,51.1343176471595,59.0952380952381,45.3149938100957,40.5440535615834,52.2725779967159,35.0454466103907,142.321122681393
10,0.0001,21,21,3,55.6190476190476,51.3277625003597,59.6666666666667,45.9897162654116,41.5100157600407,51.9802955665025,36.0423541115293,141.132248635571
10,0.001,21,21,3,55.1428571428571,51.1091199252384,59.1428571428571,45.1613057090257,40.3961982057477,52.1871921182266,34.8340765782835,142.448769137941
10,0.01,21,21,3,56.1428571428571,50.9893106878428,59.3333333333333,45.3730619925278,40.3708071405681,52.7192118226601,35.0634484030657,142.977613949901
10,0.1,21,21,3,59.3333333333333,53.0383357285883,61,47.4763594791377,42.5612812775073,53.8226600985222,37.8303489808268,136.761536093997
10,1,21,21,3,61.1904761904762,53.0644452688653,63.0952380952381,47.8724762631573,42.9561543310089,54.1904761904762,38.3425757001429,137.077280571569
10,10,21,21,3,59,51.4899508223895,61.3809523809524,46.2289563723673,41.0785905446506,52.9852216748768,36.2932511506457,141.868918810338
100,1e-05,21,21,3,57.4761904761905,48.9789243506627,60.1428571428572,44.8818671239892,41.5426127156927,49.0673234811166,35.0355504451802,146.569786055432
100,0.0001,21,21,3,57.6666666666667,49.345745258006,60.3333333333333,45.1279831228808,41.7725679138882,49.3300492610837,35.3315210932436,145.561723083926
100,0.001,21,21,3,57.4761904761905,48.2346680757983,59.6666666666667,44.492816635532,41.3205671140571,48.3875205254516,34.6859198314915,148.396234467116
100,0.01,21,21,3,57.4761904761905,49.3997905666575,60.1904761904762,45.2818010127293,41.9956447592194,49.559934318555,35.506303296657,145.36807193848
100,0.1,21,21,3,57.6190476190476,50.1048692588631,60.1904761904762,44.7179640965799,40.4245315392703,50.5911330049261,34.5473005135952,144.601261658774
100,1,21,21,3,59.9523809523809,52.0533911324681,62.0952380952381,47.3998972680493,42.6533029937122,53.4417077175698,37.7651634466101,139.488877579951
100,10,21,21,3,61.1904761904762,53.9389462135289,63.1904761904762,48.5332119258341,43.6965271938721,54.6929392446634,39.1447049826938,134.33227666464
1000,1e-05,21,21,3,56.9523809523809,48.7795701366508,58.8571428571429,44.6747118568886,40.4460568563024,50.2134646962233,34.5271466703082,148.104126870314
