Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,std1,std2,std3,std4,std5,std6,std7,std8
1,0.1,21,21,3,78.95238095,67.77612156,79.33333333,65.46893706,63.18762224,67.93760263,59.66031671,92.22413894,4.957872413,5.197251815,4.524227215,5.565253869,5.883763127,5.266726598,6.531359482,14.83523978
10,0.1,14,14,3,80,67.47971869,80,65.83042236,63.72579158,68.07881773,60.11308895,92.85147171,0,0,0,0,0,0,0,0
1,1.00E-05,7,7,3,79.52380952,67.25326984,79.52380952,65.56122449,63.7124264,67.52052545,59.82493268,93.29019366,0,0,0,0,0,0,0,0
1,0.0001,7,7,3,79.52380952,67.25326984,79.52380952,65.56122449,63.7124264,67.52052545,59.82493268,93.29019366,0,0,0,0,0,0,0,0
1,0.001,7,7,3,79.52380952,67.25326984,79.52380952,65.56122449,63.7124264,67.52052545,59.82493268,93.29019366,0,0,0,0,0,0,0,0
1,0.01,14,14,3,79.04761905,66.93248259,79.04761905,64.70308789,62.47706422,67.09359606,58.7797465,94.5444461,0,0,0,0,0,0,0,0
1,1,21,21,3,78.57142857,68.47390336,78.57142857,64.12521308,60.7100939,67.94745484,57.96441917,91.26531955,0,0,0,0,0,0,0,0
10,0.1,21,21,3,78.57142857,64.90348784,78.57142857,64.33947158,62.78125,65.97701149,58.42792771,99.71001588,0,0,0,0,0,0,0,0
100,0.1,21,21,3,78.57142857,66.21698408,78.57142857,63.8634208,61.56659555,66.33825944,57.78770069,96.54276458,0,0,0,0,0,0,0,0
10,0.01,14,14,3,78.0952381,64.97555344,78.0952381,63.58418367,61.79113728,65.48440066,57.51858622,99.66426493,0,0,0,0,0,0,0,0
100,0.1,14,14,3,78.0952381,65.47861657,78.0952381,63.63925056,61.60467261,65.81280788,57.55528517,98.45606362,0,0,0,0,0,0,0,0
1,0.001,21,21,3,78.0952381,69.18490913,78.0952381,66.0674866,63.5426145,68.80131363,60.34673071,88.56146668,0,0,0,0,0,0,0,0
1000,0.01,21,21,3,78.0952381,64.23111243,78.0952381,62.55534472,60.32326929,64.9589491,56.26185338,102.081742,0,0,0,0,0,0,0,0
1,0.01,7,7,3,77.61904762,65.10023363,77.61904762,63.1281407,60.48751128,66.00985222,56.88442405,100.0438911,0,0,0,0,0,0,0,0
10,1.00E-05,7,7,3,77.61904762,64.23560535,77.61904762,61.91522763,59.30827068,64.76190476,55.46395194,102.362527,0,0,0,0,0,0,0,0
10,0.0001,7,7,3,77.61904762,64.23560535,77.61904762,61.91522763,59.30827068,64.76190476,55.46395194,102.362527,0,0,0,0,0,0,0,0
10,0.001,7,7,3,77.61904762,64.23560535,77.61904762,61.91522763,59.30827068,64.76190476,55.46395194,102.362527,0,0,0,0,0,0,0,0
10,0.01,21,21,3,77.61904762,64.60574516,77.61904762,62.46046806,60.23177798,64.86042693,56.15103037,101.0719615,0,0,0,0,0,0,0,0
10,0.001,14,14,3,77.14285714,64.15242093,77.14285714,62.54511219,59.88581731,65.45155993,56.19733558,102.6565443,0,0,0,0,0,0,0,0
1,0.1,7,7,3,76.66666667,63.3888118,76.66666667,61.59363792,58.64014252,64.86042693,55.04112324,105.1347492,0,0,0,0,0,0,0,0
10,0.1,7,7,3,76.66666667,63.28751435,76.66666667,61.25900407,58.5453457,64.2364532,54.67895409,105.1287029,0,0,0,0,0,0,0,0
100,0.01,7,7,3,76.66666667,61.51117972,76.66666667,60.49382716,58.3868011,62.75862069,53.86068627,109.5970695,0,0,0,0,0,0,0,0
1,0.1,14,14,3,76.66666667,65.28095185,76.66666667,63.130056,59.97635235,66.63382594,56.82412891,100.1200131,0,0,0,0,0,0,0,0
10,1.00E-05,14,14,3,76.66666667,63.71140253,76.66666667,60.675211,57.8884581,63.74384236,53.98264474,104.0365882,0,0,0,0,0,0,0,0
10,0.0001,14,14,3,76.66666667,63.71140253,76.66666667,60.675211,57.8884581,63.74384236,53.98264474,104.0365882,0,0,0,0,0,0,0,0
100,0.01,21,21,3,76.66666667,66.24056373,76.66666667,61.89033626,57.43604161,67.09359606,55.19057325,98.77010396,0,0,0,0,0,0,0,0
1,1.00E-05,21,21,3,76.19047619,66.23304249,76.66666667,64.67307096,61.22029921,68.53858785,58.60537682,97.75885606,0,0,0,0,0,0,0,0
100,0.001,7,7,3,75.71428571,60.66637639,75.71428571,59.77848101,57.67938931,62.03612479,53.02291035,111.9574448,0,0,0,0,0,0,0,0
1000,0.001,7,7,3,75.71428571,59.90879299,75.71428571,59.59692898,58.09167446,61.18226601,52.89088057,113.6599471,0,0,0,0,0,0,0,0
100,0.01,14,14,3,75.71428571,64.4712717,75.71428571,60.111429,55.50611791,65.5500821,53.05744187,103.8821983,0,0,0,0,0,0,0,0
1,0.0001,21,21,3,75.71428571,65.12191225,76.19047619,63.73626374,60.27517564,67.61904762,57.50060101,100.8677338,0,0,0,0,0,0,0,0
100,0.1,7,7,3,75.23809524,60.91551711,75.23809524,59.84800507,57.78049526,62.06896552,53.10874916,111.2718231,0,0,0,0,0,0,0,0
10,1,21,21,3,75.23809524,61.79340648,75.23809524,59.98403831,58.35403727,61.70771757,53.32697918,108.5272356,0,0,0,0,0,0,0,0
100,1,21,21,3,75.23809524,61.82699003,75.23809524,59.26625728,56.92679976,61.80623974,52.38836186,108.9769743,0,0,0,0,0,0,0,0
1000,0.1,21,21,3,75.23809524,62.7186672,75.23809524,59.5891485,57.02280912,62.39737274,52.7358041,106.6734908,0,0,0,0,0,0,0,0
10,0.01,7,7,3,74.76190476,61.1956852,74.76190476,58.68338558,56.13193403,61.47783251,51.67290941,110.895812,0,0,0,0,0,0,0,0
100,1.00E-05,7,7,3,74.76190476,59.26321865,74.76190476,58.92630241,57.05936635,60.91954023,52.05614092,115.7914939,0,0,0,0,0,0,0,0
100,0.0001,7,7,3,74.76190476,59.26321865,74.76190476,58.92630241,57.05936635,60.91954023,52.05614092,115.7914939,0,0,0,0,0,0,0,0
1,1.00E-05,14,14,3,74.76190476,62.05377546,74.76190476,58.46674877,55.02752825,62.36453202,51.28474496,109.3318064,0,0,0,0,0,0,0,0
1,0.0001,14,14,3,74.76190476,62.05377546,74.76190476,58.46674877,55.02752825,62.36453202,51.28474496,109.3318064,0,0,0,0,0,0,0,0
100,1,14,14,3,74.76190476,59.51981044,74.76190476,58.93056664,57.32919255,60.62397373,52.09825187,114.8552891,0,0,0,0,0,0,0,0
1000,0.1,14,14,3,74.76190476,61.23182427,74.76190476,58.93506083,56.79049939,61.24794745,52.02717681,110.4752934,0,0,0,0,0,0,0,0
1,1,7,7,3,74.28571429,61.10839845,74.28571429,59.15270313,57.02529717,61.44499179,52.28496001,110.7370592,0,0,0,0,0,0,0,0
1,10,7,7,3,74.28571429,62.96276426,74.28571429,57.6427256,54.10544512,61.67487685,50.29495246,106.8702882,0,0,0,0,0,0,0,0
