Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,std1,std2,std3,std4,std5,std6,std7,std8
0.001,1e-05,40,40,5,63.5,77.4609576456112,66.25,48.2875060299083,42.6683716965047,55.6111111111111,46.9328658470769,127.850468975444,0,0,0,0,0,0,0,0
0.001,0.0001,40,40,5,64,78.1928698542344,65.5,46.7156746502253,40.752999586264,54.7222222222222,45.3013494790056,123.518884441889,0,0,0,0,0,0,0,0
0.001,0.001,40,40,5,58.5,75.3748071064155,62.25,40.7996560619089,33.2748948106592,52.7222222222222,39.115763857953,142.28918719455,0,0,0,0,0,0,0,0
0.001,0.01,40,40,5,58.5,76.0365452850339,63.25,43.254817987152,37.8277153558052,50.5,41.7524665752203,134.515432129142,0,0,0,0,0,0,0,0
0.001,0.1,40,40,5,57.25,72.5909696142582,59.25,37.780244173141,31.460258780037,47.2777777777778,36.0479298721127,155.784301179906,0,0,0,0,0,0,0,0
0.001,1,40,40,5,45.5,62.4719823213862,48.75,15.5514182455372,9.68489974082663,39.4444444444444,12.377770012397,226.660137448974,0,0,0,0,0,0,0,0
0.001,10,40,40,5,46,60.9700406887691,48,13.0297849365608,7.77407924406743,40.2222222222222,9.61262200708646,238.186689162887,0,0,0,0,0,0,0,0
0.001,100,40,40,5,46.25,61.8188635482064,48.5,11.9376887617231,6.96531255796698,41.7222222222222,8.39639612759016,236.10013799329,0,0,0,0,0,0,0,0
0.001,1000,40,40,5,46.25,61.8188635482064,48.5,11.9376887617231,6.96531255796698,41.7222222222222,8.39639612759016,236.10013799329,0,0,0,0,0,0,0,0
0.001,10000,40,40,5,46.25,61.8939755996784,48.5,11.7894408970565,6.85564209382358,42.0555555555556,8.22971321785382,236.292228984204,0,0,0,0,0,0,0,0
0.001,100000,40,40,5,46.25,61.8188635482064,48.5,11.9376887617231,6.96531255796698,41.7222222222222,8.39639612759016,236.10013799329,0,0,0,0,0,0,0,0
0.01,1e-05,40,40,5,75,86.2269202566785,77,63.5334645669291,57.0229681978799,71.7222222222222,62.5933713903987,80.7035677547747,0,0,0,0,0,0,0,0
0.01,0.0001,40,40,5,75,86.2269202566785,77,63.5334645669291,57.0229681978799,71.7222222222222,62.5933713903987,80.7035677547747,0,0,0,0,0,0,0,0
0.01,0.001,40,40,5,74.25,87.8402078578958,77.25,64.0813431071175,55.7842733635241,75.2777777777778,63.1258863662497,72.9029859184315,0,0,0,0,0,0,0,0
0.01,0.01,40,40,5,71,86.0696391148085,75.25,61.0781287105201,53.3388635420987,71.4444444444444,60.0461512801573,82.414741346729,0,0,0,0,0,0,0,0
0.01,0.1,40,40,5,70.75,85.4104756899813,74.25,57.1492105848343,47.6455320726733,71.3888888888889,55.9576160943361,88.1644903680972,0,0,0,0,0,0,0,0
0.01,1,40,40,5,66.5,79.0042161808364,68,37.2154842997176,26.5465750177767,62.2222222222222,35.1653029554458,130.210444903615,0,0,0,0,0,0,0,0
