Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,std1,std2,std3,std4,std5,std6,std7,std8
0.001,1e-05,15,15,3,35.7614269788183,33.3986635714995,39.7725752508361,25.5814405195549,24.429986970781,26.8577242909817,19.7769864503465,259.447294456093,2.25689907257196,0.811001137662018,1.84347464125826,0.995774466490888,0.89209781935071,1.25304868279956,1.04415270878221,2.9512048622711
0.001,0.0001,15,15,3,36.0133779264214,33.4186655499303,39.7502787068004,25.622028394307,24.4853332350801,26.8792833971855,19.8243729383561,259.347949132673,2.08373766234775,0.788309187201146,1.87876371554492,0.790442065887306,0.745109393290728,1.00874486902616,0.834902319658033,2.89156587837086
0.001,0.001,15,15,3,36.180602006689,33.348028232409,39.5830546265329,25.6636202362832,24.4948031653577,26.959849402879,19.8616116255289,259.663764787088,1.95586575503803,0.670991141840269,1.84042330957695,0.763602887889829,0.702086857656571,1.00541996022604,0.800748767098323,2.42307805399348
0.001,0.01,15,15,3,36.3076923076923,33.5373476940469,39.5540691192865,25.6837491391706,24.5163454921465,26.9787603945691,19.8835194955585,258.93428062985,1.85513558859335,0.659163723562794,1.62986906582008,0.776068446396688,0.753198639218131,0.98766935128845,0.823893693550221,2.56604802257587
0.001,0.1,15,15,3,36.4102564102564,33.7869956484093,39.8974358974359,25.9846480334248,24.7371865448524,27.3761214908885,20.191627105029,258.057870581295,1.88211830197599,0.75858204038292,1.46665394445248,0.733151677036505,0.659350201723201,1.01426619255674,0.762602834918868,2.77707727344998
0.001,1,15,15,3,36.4659977703456,34.0279867498092,39.536231884058,25.8513315300317,24.6340027780481,27.2096500746941,20.0538042703084,257.136088492047,1.36328370935112,0.668891387949206,1.22424970234669,0.850615631497329,0.773884837488599,1.14443580286015,0.888481857114591,2.62167753326535
0.001,10,15,15,3,35.2931995540691,33.2558723694635,38.8160535117057,25.2014642029139,23.645315607669,26.9908496130011,19.255209521221,260.492551824145,1.6682706080578,0.946277086951643,1.31532602872467,0.956190006074611,0.809642377212135,1.29232355722507,0.991976158434201,3.57124547549822
0.001,100,15,15,3,35.2842809364549,32.8115008948571,38.6332218506132,24.8551348112488,23.2386209218924,26.7286862761465,18.8585404284919,262.273054068701,1.26562214381766,0.852846632864283,1.32797296193531,0.666347664487535,0.495344197363258,1.08988490221944,0.662238282245417,3.20930513774181
0.001,1000,15,15,3,35.139353400223,32.7549416278171,38.5395763656633,24.7696606340956,23.1781502733834,26.6073911178785,18.7720551485972,262.463886252957,0.858344550944043,0.943960258223652,0.850148638550832,0.856186906896447,0.686893144647314,1.2034856591367,0.879296791337029,3.57977036168383
0.001,10000,15,15,3,35.8149386845039,32.8877068472137,38.8717948717949,25.0076521659863,23.4141542112968,26.8478802131157,19.032059583633,261.952921984751,1.19577538758725,0.868486387235425,1.20466466458553,0.631135974647477,0.495379661711234,1.01411403385321,0.633559292435593,3.29187701945674
0.001,100000,15,15,3,35.8127090301003,32.8986707938622,38.8940914158305,25.0295630948501,23.4447703003672,26.859321794846,19.0583138052844,261.900878133088,1.22153954309722,0.845926110581358,1.09256604851458,0.599659648535599,0.481020786441067,0.994605920499048,0.599475981628119,3.21440847923847
0.01,1e-05,15,15,3,35.7324414715719,33.7052029034627,39.0769230769231,25.8858382768648,24.5410093149584,27.3891461845563,20.0593220080422,258.4386787906,1.70257632727109,0.69337843470465,0.924474933667343,0.644399810884226,0.574932169628535,0.775013879401088,0.681769126529144,2.63882441037903
0.01,0.0001,15,15,3,35.9397993311037,33.5859308468201,39.0501672240803,25.8591705083204,24.5330554575242,27.3406309996344,20.0347214277512,258.873237895144,1.47398913363079,0.683768403576966,0.79041519407156,0.421916549830117,0.391553600756433,0.568174707010849,0.443018410906369,2.57692554368061
0.01,0.001,15,15,3,35.8528428093646,33.513369067099,38.9542920847269,25.7931317985991,24.504879929383,27.2289064726251,19.9734602580892,259.113336770007,1.61851000684548,0.929395898333008,1.14452938335203,0.899623385379653,0.741268988327052,1.12981653862504,0.935224995594054,3.44068885551109
0.01,0.01,15,15,3,35.7212931995541,33.704246855644,39.025641025641,25.9415072011358,24.584635683447,27.4602854782581,20.1170072382069,258.451395664021,1.07190762670689,0.76142048876111,0.666252672506578,0.535173777779143,0.461238605738946,0.692608744884004,0.558811589359698,2.88594667038643
0.01,0.1,15,15,3,35.9197324414716,33.6283530125457,39.1059085841695,25.8300863732812,24.6050746558744,27.1915162470461,20.0291238824414,258.624575250407,2.0941613472267,1.00309707121802,1.53587245810924,0.844363234019024,0.754337140025157,1.069158620621,0.885194470493835,3.72040625582147
0.01,1,15,15,3,35.4671125975474,34.1400011309324,39.2329988851728,26.1338518401476,24.5665420224105,27.9245546418281,20.2731314517495,256.997845900364,1.56887873425722,1.29647549786224,1.37618633656969,1.0400011490535,0.959075896477984,1.25531676580625,1.10530679465723,4.95851514413743
0.01,10,15,15,3,35.1794871794872,33.3872880841861,38.5641025641026,25.2678186609242,23.7958981871326,26.952926886134,19.3497926578911,259.882645179418,1.92732383632247,1.06437930502402,1.52122791194634,0.954254783366426,0.855529947608719,1.30484461024554,0.999078643739273,4.18167089065134
0.01,100,15,15,3,35.3311036789298,32.8159440092241,38.314381270903,24.923608377912,23.315848975373,26.7910033187783,18.9355144773888,262.237108280748,1.50310975616976,0.738724865115873,0.860221615397424,0.777158375276108,0.661113521180148,1.21235439991613,0.792117411504341,2.8151425874694
0.01,1000,15,15,3,36.1449275362319,33.3315375551961,38.5016722408027,25.4000652102065,23.7754885823419,27.268009337482,19.4536707567218,260.262487228528,0.926638337565682,0.740383459964366,0.748166359424648,0.55414303952996,0.529150942014235,0.702167285110549,0.592504562203684,2.82478268917581
0.01,10000,15,15,3,35.355629877369,32.9833952046749,38.0423634336678,24.9635780036884,23.4148838870926,26.743337257532,18.9959284482878,261.544350332728,1.39099185938311,0.938902016760731,0.961415212274886,0.915853514104768,0.814355820707778,1.18374494254891,0.963817436833667,3.58510256508219
0.01,100000,15,15,3,35.6209587513935,32.9752687382486,38.1939799331104,25.1087617583406,23.4815250371677,26.9902307601528,19.1332847369723,261.644710385061,1.17542244808839,0.797325093882872,0.833597912615975,0.725743230182154,0.656432797467192,0.991640811902411,0.761413471087483,3.05156487394203
0.1,1e-05,15,15,3,36.1293199554069,32.4255313605031,38.6309921962096,24.9298293757979,23.6287996981406,26.3899722811492,19.0264067243792,263.425002485624,1.26971591439374,0.669236372598918,1.13092307065925,0.681820629608993,0.612185040616424,0.901038729403358,0.713514348242192,2.60676433463926
0.1,0.0001,15,15,3,35.8639910813824,32.3416537979252,38.5239687848383,24.8665135545104,23.4964599086344,26.4120063209342,18.9390912121567,263.817673724035,1.26278207121432,0.545257919965362,1.03671870285201,0.603337691102897,0.452199970803821,0.867963700777644,0.61026234218839,2.05445037868824
0.1,0.001,15,15,3,36.1583054626533,32.3796369310188,38.6354515050167,24.9053490416653,23.6112138471432,26.3544530060417,19.0015571960561,263.599323828509,1.32142637679633,0.601262705741119,1.14854497975694,0.67065736672889,0.607864082819909,0.835256065307277,0.707525377370294,2.36079301700084
0.1,0.01,15,15,3,35.7569676700112,32.3092792492758,38.4414715719063,24.7318371409066,23.4242892963818,26.2017834475573,18.8089997895974,263.880658791567,1.3971334660404,0.610163332483437,1.16443332107097,0.663135683418742,0.488748723371731,0.97200629873979,0.667536364712968,2.26232513018632
0.1,0.1,15,15,3,36.5797101449275,32.9293796983202,39.0144927536232,25.1009630414081,23.9138839861479,26.4182955929042,19.2429420306885,261.379674547499,1.21138628275549,0.815910308275131,0.962735751435871,0.576273684744818,0.606023844728414,0.68441200510804,0.624704895069553,3.2904803813151
0.1,1,15,15,3,35.9821627647715,32.9045191439525,38.5752508361204,25.0442595976088,23.6865281527604,26.575383472887,19.1371271048457,261.657747860489,1.49650251882139,0.992582405341057,1.38655305817949,0.819186046834166,0.645108411546631,1.12099808138644,0.839704956593187,3.79636476003786
0.1,10,15,15,3,36.3835005574136,33.1788894939784,38.9297658862876,25.1312028800586,23.7157232654617,26.7314207422204,19.2159087113482,260.698912465757,1.04979660158529,0.47842514684478,0.84315141142426,0.440943664677801,0.351328968964035,0.664541660267964,0.446414768616671,1.89636010471819
0.1,100,15,15,3,36.2363433667781,32.6279696634136,38.6265328874024,24.6815509126957,23.2278301639312,26.3354844466448,18.713257444412,262.868925444648,1.06650119044047,0.683617970719025,0.663190495386844,0.632734035685125,0.535817436778403,0.85765855031649,0.655965991582551,2.68824193412093
0.1,1000,15,15,3,35.3021181716834,32.4733122722166,38.1739130434783,24.583939945276,23.0627776741987,26.327770373931,18.5860574214379,263.539256956045,1.98106463237301,1.11363566613177,1.50186897565107,0.726849262563516,0.758675787022812,0.821348505474063,0.79637768182031,4.41536707611365
0.1,10000,15,15,3,35.7547380156076,32.6049594980268,38.4280936454849,24.7232772408367,23.2090282462721,26.4564629825253,18.7419073717064,263.015609178998,1.17617410517986,0.769820004561354,0.859839463792124,0.497527304954601,0.423108271902369,0.753053561712205,0.508768184886223,3.01737791021841
0.1,100000,15,15,3,35.8550724637681,32.7244594995341,38.5841694537347,24.7891587580738,23.2807976508516,26.5144912309991,18.8154454461889,262.551332044612,1.43132505776823,0.877747712945136,1.13682010309986,0.449829633534388,0.42823788984367,0.681783191798213,0.468054934825396,3.46594576887109
1,1e-05,15,15,3,33.1371237458194,30.5230106183051,35.9397993311037,22.7150142660874,21.918823444471,23.5719754646434,16.7538132966247,270.325941613263,0.510477794523031,0.725470640716409,0.868099779325859,0.545962897179443,0.504261848485641,0.607717079651492,0.580133731512851,2.72675363200212
1,0.0001,15,15,3,33.0947603121516,30.3735956558855,35.9286510590859,22.6342617502442,21.857055320559,23.4696344738456,16.6718596113652,270.88445275958,0.574161864630747,0.837149591140079,0.797303686364076,0.561180028701638,0.483796555297928,0.659476585297674,0.586496720809606,3.12331124782579
1,0.001,15,15,3,33.4136008918618,30.6653706461389,36.2720178372352,22.8203138940554,21.9791131218693,23.7292504396734,16.8547973423597,269.817834966762,0.513111254890258,0.8070415864602,0.808353508886219,0.519547801991682,0.523974389900297,0.530293252007927,0.565724651943085,3.08353743477996
1,0.01,15,15,3,33.1794871794872,30.4358252815384,35.8416945373467,22.7139541666198,21.936527647725,23.5497255459577,16.758168019622,270.637703789582,0.646424627200259,0.712242820985378,0.843298802634447,0.514510523897882,0.466700097222233,0.593842130041655,0.543197570235997,2.70892364527845
1,0.1,15,15,3,33.3154960981048,30.6223386841334,36.2296544035675,22.8393082475783,22.0488974550296,23.6890537883869,16.8904478325998,269.931250523762,0.507765411113913,0.802156320720102,0.900825142717628,0.500317808501638,0.48697021623466,0.528393988156601,0.538618443974492,3.07707398159235
1,1,15,15,3,33.5183946488294,30.6728381278174,36.0914158305463,22.7403131916084,21.8927207766761,23.6577513478039,16.7658885560955,269.806844358727,0.882588354785056,0.630843985703341,0.52951879830575,0.6105680096226,0.600591946820712,0.652187570938123,0.659584910655248,2.39361979933928
1,10,15,15,3,32.8851727982163,30.4180125779486,35.8461538461538,22.703890098186,21.6835302293549,23.8296341284393,16.6731457595301,270.982785324961,1.09913142622213,1.27969281882099,1.23995204586289,0.83243426807091,0.914502147646361,0.776805455846022,0.932301767606567,5.02001650789897
1,100,15,15,3,32.6845039018952,29.8632625816679,35.2307692307692,22.3895571386187,21.2743820771358,23.6338175736939,16.3024280075395,273.217899635608,1.38400108607064,0.68261320526886,1.38591550569339,0.6621740749431,0.643653629646543,0.780804891192792,0.708533288055567,2.68524334246028
1,1000,15,15,3,32.8472686733556,29.9818265622986,35.4827201783724,22.4768663038975,21.3851433290488,23.6894567623346,16.4042868642391,272.74053348011,0.714093018550218,0.821645552085163,1.0549090645871,0.720660913114305,0.772397274390762,0.700679284826295,0.800576726947799,3.24390005078225
