Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,std1,std2,std3,std4,std5,std6,std7,std8
0.001,1e-05,15,15,3,31.3534002229654,26.9587148611086,34.7001114827202,21.642551969792,20.6879165255442,22.6946292207923,15.537134146627,284.222149665745,1.81828282434736,0.913585591008103,1.44738941025595,0.950117930833944,0.867872463557723,1.10345930121562,1.00492451875727,3.37628017077738
0.001,0.0001,15,15,3,31.5027870680045,27.0472744616579,34.7090301003344,21.7728792853433,20.76435711231,22.8893519891082,15.6631169117677,283.922022265449,1.84325439491268,1.01614069771756,1.45716439949956,1.0135051612271,0.882831137188025,1.21347020881593,1.06089108893144,3.75371173102235
0.001,0.001,15,15,3,31.304347826087,26.7505089785118,34.4437012263099,21.5295346926506,20.6014747014258,22.551213671179,15.4214119916764,284.989132248806,2.04383635683516,1.08494434825431,1.59620002084871,1.16113925303235,1.11232303996266,1.27136082810692,1.24744430224686,4.16537579472669
0.001,0.01,15,15,3,31.1505016722408,26.886184984267,34.4169453734671,21.5668617514489,20.605778576989,22.6285558852906,15.451241940995,284.505246935464,1.82358077008802,0.877984884174092,1.37903318754008,0.915882217633299,0.901438848049074,1.00927938272965,0.98841402860533,3.36214719953298
0.001,0.1,15,15,3,31.2441471571906,27.4927269898164,34.5083612040134,21.4018184376784,20.388352676224,22.5311081495724,15.2556551555162,282.276458713214,1.86531613462165,1.56540138023364,1.77409920568004,1.14083708346351,1.01982787846948,1.36606807689875,1.19617116429923,5.91590861682569
0.001,1,15,15,3,31.1727982162765,27.4767373700641,34.4169453734671,21.3586707878788,19.9584480416558,22.9794742341336,15.0811971432112,282.806606387765,1.69800378230765,1.29079928133464,1.78146766803563,1.09090835763221,0.873449120042028,1.41946754695877,1.11890409976946,4.74458569454453
0.001,10,15,15,3,29.5518394648829,26.2825474996266,32.5975473801561,19.1923734600616,16.5385556270622,22.8977136985237,12.143998877689,289.112912318398,1.87436018225935,1.09792886584188,1.3189138209964,1.06581138299835,0.993884015394795,1.48041950305248,1.16420218256266,4.12397623807174
0.001,100,15,15,3,28.2831661092531,24.0482699669333,30.5641025641026,17.4336938473836,14.4157237475129,22.0948168915165,9.89504014409325,298.379258813852,1.56719488100738,1.14101951850661,1.34351145632324,1.04024889155296,1.05497728684181,1.24911330221646,1.22397595607264,4.26661850941674
0.001,1000,15,15,3,28.0222965440357,24.3812796756448,30.4370122630992,17.617291331727,14.4703417104459,22.6102637464488,10.0196360431217,297.243922994275,1.84874073072545,1.41695364004733,1.91385380132232,1.70457269703783,1.83880044813747,1.49485779744589,2.05857928625777,5.60184533847379
0.001,10000,15,15,3,28.2853957636566,24.2813556397252,30.5039018952062,17.5659489962044,14.3837080904284,22.6127535497687,9.95078900329771,297.719213553599,2.03859193279683,1.30811102746883,1.78769686283064,1.42581960035258,1.45057983237891,1.38695452801183,1.69960816045286,5.01971630664653
0.001,100000,15,15,3,28.180602006689,24.4419070338274,30.6688963210702,17.8348576337873,14.6341552856272,22.9110837984324,10.2516671341956,297.113913922917,2.00085723757862,1.42984032323504,1.90522776471929,1.71047293256636,1.80012687798212,1.51857226924291,2.05519891504518,5.60687345393086
0.01,1e-05,15,15,3,31.2441471571906,26.4034139684753,33.9955406911929,21.1623723904534,20.1063098817294,22.34776939528,14.9799524861908,286.459693412392,1.51685887023057,0.876648856866792,1.19323202790117,0.973718165411988,0.819353098213764,1.26086650261897,0.998404300505288,3.22182001842003
