Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,std1,std2,std3,std4,std5,std6,std7,std8
100,1e-05,100,100,3,55.1811380192951,60.1218440151175,59.2341012010238,40.6931579605283,41.7526688249477,39.6935191347754,39.3147592214986,218.205959126121,1.09496500878635,0.550968119851423,0.888331617532181,0.785246479667469,1.04536699832075,0.723140347117091,0.809128791126396,3.03347814872376
100,0.0001,100,100,3,54.5776727702304,59.8817113984364,58.5823981098641,40.200357017529,41.2859421698035,39.1732445923461,38.8118597694818,219.525838480265,1.44403275603481,0.702108139500186,1.37848030445262,1.16634519793881,1.36921585465157,1.01738610940496,1.19888627698315,3.95555192189324
100,0.001,100,100,3,54.0903721204962,59.8707205296156,58.55384918291,39.8623432787156,40.8368816438861,38.9374043261231,38.4622865716665,219.649423498175,1.20753552099584,0.346564174730826,0.65920224011012,1.05042140590571,1.34864841599381,0.814300591799796,1.08389143885972,2.04366504984078
100,0.01,100,100,3,54.9812955306163,60.1176509152673,58.8865918487891,40.3582981727771,41.4516704668878,39.3272795341098,38.9733984928095,218.167908138749,1.42167510754138,0.546194571816586,1.09517150836866,1.08646414832099,1.40000722331119,0.872489434074818,1.12071063840958,3.08313081585578
1000,1e-05,100,100,3,52.4995077771215,59.714134961219,57.0850561134082,38.9746024007244,40.0052605819324,37.9999833610649,37.5570119990618,220.461168449029,1.23708491547341,0.515098004010978,1.03702273852816,0.998803768932149,1.10345213222185,0.988077041583882,1.02348326495079,2.79657961582784
1000,0.0001,100,100,3,53.401260090569,59.980813533681,57.9119905493207,39.6018197304317,40.8418954296698,38.4373294509151,38.2056622862497,218.75524448937,1.35032445241043,0.63151501627869,1.25422364600782,1.10257203871207,1.16375821715755,1.09845162340326,1.12815643998817,3.44613526631406
1000,0.001,100,100,3,53.0931285686159,59.8307521839438,57.3252608781256,39.1038742562716,40.2323907991034,38.0401414309484,37.69273809856,219.70096990515,1.10030916985577,0.45311906225939,1.13418376908039,0.641011883740316,0.731697698686372,0.659512568533903,0.656756863192775,2.38943317996793
1000,0.01,100,100,3,53.4298090175231,60.0553684137178,57.8657215987399,39.4064106879174,40.3789546019941,38.4844009983361,37.9963184956111,218.618945881112,0.650830418137799,0.465069426582834,0.796732331966855,0.575166595032406,0.780247524174646,0.544887257903117,0.592931338962074,2.45971039603572
100,1e-05,150,150,3,53.7773183697578,59.9976970068145,58.4691868478047,39.439103304254,40.2426474083742,38.6705490848586,38.0236901369073,219.10208073852,1.49185348126526,0.646739076619551,1.30960519721304,1.25772882791772,1.37768832922033,1.20331447398487,1.28969131130116,3.59983299539054
100,0.0001,150,150,3,53.9289230163418,60.0475499893947,58.6454026383146,39.6549140098204,40.4836100296299,38.8627537437604,38.2452810043572,218.804736606546,1.30032536346607,0.450387445180266,1.09047878035842,1.15113055041731,1.28924411634081,1.08092571641488,1.18083564388309,2.56467266787484
100,0.001,150,150,3,53.8984051978736,60.0310800796193,58.6158692656035,39.5757700777315,40.4231127201947,38.7698585690516,38.1645742024355,218.877389823777,1.5266070366926,0.455087318495996,0.957820697070674,1.27454256078867,1.61869736126861,1.01663416040488,1.31462916626745,2.82668785404954
100,0.01,150,150,3,54.035243158102,60.0917183280716,58.6089781453042,39.6719441098441,40.3019865829762,39.066381031614,38.2555816025313,218.779616290799,0.922914032354653,0.471943607970105,0.797141067717476,0.765527105636726,0.938645292892996,0.739248560906226,0.78684626452343,2.58339449943583
1000,1e-05,150,150,3,53.8737940539476,60.2046416413111,58.2142153967316,39.5970785679557,40.4704290452842,38.7632695507487,38.1877902916716,217.973415841372,0.702870218140336,0.189521394386679,0.497168391229936,0.56566490722105,0.719665552638347,0.508418954429369,0.582552472306072,1.20414263861458
1000,0.0001,150,150,3,53.3992911990549,60.1858392359724,58.2211065170309,39.2431676557054,40.081466588083,38.4441098169717,37.8241882619414,218.041201954432,1.62155911067877,0.375292142400974,0.793162352382954,1.26106154581192,1.58223444784569,0.995506588164428,1.30052414899125,2.33833784896718
1000,0.001,150,150,3,53.1492419767671,60.1419826902516,57.8056704075605,39.0394760059711,39.7928366702239,38.316846921797,37.6131040124777,218.384180302912,1.49333531577756,0.589285008281317,1.18724004110664,1.15686392565773,1.32661154210713,1.03596350855745,1.18883152014365,3.32783968955673
1000,0.01,150,150,3,53.603071470762,60.2240635959857,58.0665485331758,39.2166984836445,39.8608582323492,38.5971880199667,37.7903338707042,218.083698553971,1.33020443931211,0.61631225066846,1.13386804351671,0.786259029054873,1.02188249195828,0.638624565370966,0.811845210450398,3.38307062929589
