Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,std1,std2,std3,std4,std5,std6,std7,std8
0.001,1e-05,5,5,3,48.7068965517241,26.7943311164552,57.3275862068966,36.5684353394708,39.1768970366122,34.3626237623762,17.9109500964143,152.575274545379,4.58421153262753,4.0574279952982,4.34374036144568,3.52948568521314,4.83946754988241,2.73463045584343,5.19805949759564,9.21241760847491
0.001,0.0001,5,5,3,48.5344827586207,26.5708931775942,57.2413793103448,36.508429693701,39.3890743440606,34.0594059405941,18.0476649769803,152.924405061898,4.70510330316002,4.19695232647857,4.28536824880627,3.46933985648365,4.46941277116819,2.82435637123973,4.89801387553152,9.52481930115236
0.001,0.001,5,5,3,48.448275862069,26.435775441633,57.0689655172414,36.2232413177119,38.8420231625492,34.009900990099,17.507010129952,153.35525310568,3.51468617274038,3.94132183451152,3.93583762488826,2.9798947785251,4.20447787534101,2.3549566176845,4.42518032610319,8.81272379465408
0.001,0.01,5,5,3,48.3620689655172,25.3742893424019,55.2586206896552,36.1492521547544,38.9111563176623,33.8242574257426,17.5081013301915,155.648397993723,4.85028189997058,4.10930117185945,5.36748996031095,3.41298473139282,4.45383185028776,2.91596928937884,4.92328380830231,9.39913617879583
0.001,0.1,5,5,3,46.6379310344828,23.7573777966134,53.0172413793103,35.4411867792432,35.3376326386968,35.8663366336634,14.5138399778714,160.782029191889,3.82194710762546,4.35610066045215,3.98690716250334,3.01118806283309,4.30261578074785,3.52067163273541,4.75923780680624,10.003252286655
0.001,1,5,5,3,40,19.3095863183978,45.8620689655172,33.1582437211485,28.3923877848349,41.3613861386139,6.45197841997831,173.300926045176,4.93048519299476,5.64547705257371,4.57609867526308,2.70329416643901,2.85420312358899,9.11465065549941,4.23371328832335,11.4157212649905
0.001,10,5,5,3,36.551724137931,17.3079390918989,42.2413793103448,33.3883940939226,25.8588315200386,49.9504950495049,2.91972122773878,179.683475014808,2.26993306415305,3.59006705095751,2.93047098482344,3.22944157837643,1.18842721596747,14.4005796318666,2.12514135074968,6.72098145745785
0.001,100,5,5,3,37.4137931034483,18.511184103922,42.5862068965517,35.2526863514442,25.480292209991,58.5086633663366,2.56329151678551,179.422891836564,2.26993306415304,4.63795504228188,2.67102299738443,2.24867178273017,0.952207212175115,9.82135231704321,2.03000571136234,7.44204651203162
0.001,1000,5,5,3,37.6724137931034,18.515210175661,42.4137931034483,35.2810871306798,25.4178439885161,58.8118811881188,2.47138185049344,179.531414254427,2.26446992009719,4.82735119707312,2.46524259649738,2.32236450082288,0.963886382822806,9.51040471661678,2.08665044095099,7.81928839251316
0.001,10000,5,5,3,37.5,18.3688480462382,42.3275862068966,35.3540340226158,25.4325070563543,59.2017326732673,2.50994896204497,179.832278590411,2.19785323861758,4.68769006507688,2.45349128806167,2.38060478487889,0.954529969151467,9.90318363009009,2.08150929389686,7.6274354845222
0.001,100000,5,5,3,37.5,18.3688480462382,42.3275862068966,35.3540340226158,25.4325070563543,59.2017326732673,2.50994896204497,179.832278590411,2.19785323861758,4.68769006507688,2.45349128806167,2.38060478487889,0.954529969151467,9.90318363009009,2.08150929389686,7.62743548452221
0.01,1e-05,5,5,3,55.0862068965517,35.7692612722034,64.3965517241379,43.0042566275323,45.5834838701033,40.835396039604,25.9908118908232,133.339264912483,5.17959271924131,5.92175837304366,5.63174405976603,5.61936718257676,7.08923997030438,4.90927992468631,7.64519725907735,13.3281746671241
0.01,0.0001,5,5,3,55.1724137931034,35.8592532806177,64.3965517241379,43.1794292418079,45.7437794195391,41.0210396039604,26.208276095332,133.129975705965,5.10815771110092,5.84516321480402,5.63174405976603,5.42730304487855,6.90856044087967,4.72485373206176,7.3978697966594,13.1534116355064
0.01,0.001,5,5,3,55.4310344827586,35.8761246122586,64.4827586206897,43.1850274937851,45.83323641531,40.9591584158416,26.2584791648248,133.067721735164,5.07653798806296,5.47101536092869,5.26419213680666,5.15766355677619,6.60847204943043,4.4939974697928,7.06463133713236,12.330572956172
0.01,0.01,5,5,3,54.051724137931,34.6196244874935,62.9310344827586,42.3552767147418,44.864010433625,40.1918316831683,25.2374795978224,135.91826290748,6.86113992825352,5.24485630853428,4.57970616393943,4.97431766053284,5.31039697081922,5.07234948299412,6.47611317441537,11.4833875242803
0.01,0.1,5,5,3,50,26.2052597128262,55.3448275862069,37.2152649824849,37.6574739422146,36.9863861386139,17.3535213829081,155.272087598088,5.40657693167436,7.11040123727836,4.85623682167301,4.70895029342959,5.21040959882983,5.10302442310504,6.39283936718791,15.3348852711944
0.01,1,5,5,3,41.2068965517241,20.7201114233691,46.8965517241379,34.0901591453933,29.185234219541,41.1695544554455,8.01447111521497,170.322029664673,5.21692216915412,6.17286068168077,5.34822534442843,2.68668995881113,2.52146735705882,4.03764412467869,3.91665719249079,12.0854782675392
0.01,10,5,5,3,38.1034482758621,18.6650778189111,43.1896551724138,34.0779417083824,26.1122006967254,51.4542079207921,3.50917155959002,177.677573246464,2.43151675877082,4.54762346083346,2.55246183806925,2.98871803135893,0.819892109676604,13.453407689915,1.49044036986948,6.85945365712856
0.01,100,5,5,3,37.2413793103448,18.9203680790038,42.3275862068966,35.2762505282831,25.5370777779115,58.7004950495049,2.64159077309011,178.693649896892,2.83887104258126,5.31359982238934,3.3375419329275,2.41718686226379,1.08671300224786,10.656795828193,2.28227276111457,9.02220465489069
0.01,1000,5,5,3,37.2413793103448,18.6229386175377,42.2413793103448,35.4360379550854,25.4878623720322,59.4987623762376,2.57536651395843,179.437281671946,2.68950780616037,5.46312734576975,3.1739543152837,2.1683057260232,1.04971524772286,9.76177785664701,2.21911836300437,9.02538553208194
0.01,10000,5,5,3,36.7241379310345,18.1771885078032,42.2413793103448,34.6208936696308,25.3843137257307,56.4108910891089,2.39178498373683,179.928900761164,3.54742514069218,6.17825380384979,3.37567244956056,3.40483103744163,1.19772534987976,12.9024610323633,2.47892873330932,9.80104341034007
0.01,100000,5,5,3,36.7241379310345,18.0059296422124,42.0689655172414,34.6750236340423,25.3552119146555,56.7017326732673,2.34739376272476,180.312095050551,3.54742514069218,6.35625552674388,3.3214214429425,3.36267443035313,1.19614828308668,12.5895414661322,2.48239651599969,10.152909023008
0.1,1e-05,5,5,3,71.2068965517241,62.8648438675918,80.6896551724138,63.3394289953999,66.2641024364803,60.8168316831683,52.2159030585281,75.0927209390757,5.2390345632544,8.50217582389114,5.57500887943806,7.19344358265658,8.60867998628403,6.58018172338839,9.56288555308388,19.3619741920286
0.1,0.0001,5,5,3,71.2068965517241,62.8648438675918,80.6896551724138,63.3394289953999,66.2641024364803,60.8168316831683,52.2159030585281,75.0927209390757,5.2390345632544,8.50217582389114,5.57500887943806,7.19344358265658,8.60867998628403,6.58018172338839,9.56288555308388,19.3619741920286
