Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,std1,std2,std3,std4,std5,std6,std7,std8
1,1e-05,10,10,3,78.985,76.3041538196957,80.535,73.1578663175832,70.9037639921328,75.5630653266332,70.0857692411996,80.3518598659738,1.99332915272694,2.3864868824551,1.4655393394773,2.65441914210812,2.492271603195,2.87341272071443,2.9509945566111,7.79458987753678
1,0.0001,10,10,3,78.985,76.3041538196957,80.535,73.1578663175832,70.9037639921328,75.5630653266332,70.0857692411996,80.3518598659738,1.99332915272694,2.3864868824551,1.4655393394773,2.65441914210812,2.492271603195,2.87341272071443,2.9509945566111,7.79458987753678
1,0.001,10,10,3,79.06,76.3241526175735,80.54,73.1689728551822,70.9338171542777,75.5524120603015,70.0990879172786,80.2703533139101,1.95189366741349,2.39808716964768,1.48432551087092,2.66555983685703,2.50134702801721,2.88310661136725,2.96335386299616,7.83372710997266
1,0.01,10,10,3,78.86,76.2485126653954,80.51,73.0854294980053,70.8660101382652,75.4536180904523,70.0074258778741,80.5107381952007,2.01987348338674,2.47449947370693,1.44737309940764,2.74315160182831,2.45818311148705,3.10779826110596,3.04128216063289,7.98736272422971
1,0.1,10,10,3,79.045,76.4667623405581,80.725,73.335385022087,71.0475834807594,75.7805025125628,70.2825182301932,79.8409776933535,2.15128514562291,2.39583768623376,1.46007039404117,2.68357757842302,2.48475915083449,2.96681769464571,2.98047386130012,7.77276755689648
1,1,10,10,3,80.46,77.6853276429544,81.89,74.6320691056935,72.1529164255881,77.2954271356784,71.7191074011163,75.9594909546282,1.76254235567704,0.462460303102022,0.937431478977412,0.803782069323345,1.26810770733568,0.374224857689605,0.916725048647848,1.87229104702426
1,10,10,10,3,79.755,76.6977243782261,81.54,73.1328588813633,70.7436622040751,75.7159296482412,70.0526230828124,79.2149170332646,2.74706408937089,2.29258705878393,1.75543600155504,2.75768031753234,2.44726614383547,3.42348215645405,3.04960468231743,7.22036639475783
10,1e-05,10,10,3,82.755,76.1176280373426,83.62,73.1988474200917,72.1099670082011,74.3457788944724,70.1809720239334,80.1434735465082,4.75461471742045,2.39822633883886,3.32918074673701,3.64493731515064,4.24012985921605,3.17260785041082,4.08034390609591,8.25112273541549
10,0.0001,10,10,3,82.775,76.1383007653673,83.64,73.2250311287052,72.1293264560994,74.3798994974874,70.2098429572065,80.0802039017466,4.71441347830719,2.38629327660987,3.29476014975968,3.61650908589291,4.21377412316683,3.15169869450386,4.04847955682791,8.20549835845198
10,0.001,10,10,3,82.805,76.1386082058014,83.67,73.2742566525982,72.1858424327979,74.4205025125628,70.2649868425511,80.0708000900158,4.73277285414047,2.39164538381379,3.2978275677583,3.59309370032963,4.19174112438821,3.11715376654687,4.02273945201476,8.22599817015793
10,0.01,10,10,3,82.835,76.2239063863506,83.735,73.3716513224122,72.2501881156895,74.5533668341708,70.3712556659699,79.8113197374357,4.86381480367462,2.44126881119213,3.3674957724959,3.67534551485463,4.32617901501848,3.11929268099961,4.11754644860462,8.45312250778022
10,0.1,10,10,3,82.72,76.4218930804371,83.6,73.457531840111,72.4004713923272,74.5704522613065,70.4678808935602,79.1081209656732,5.86179722155814,3.24408977186825,4.46305824394987,4.96931186617116,5.60632319085412,4.38236394844017,5.55715027900654,11.1360321041969
10,1,10,10,3,81.855,76.9615938291637,83.48,74.0260304584321,72.6144747051163,75.5327135678392,71.0821518857425,77.5707606751494,6.43598606793603,2.57660701990573,4.48455373724323,4.32376701142197,5.30253522733954,3.35535012734521,4.85700592227648,9.18458858894896
10,10,10,10,3,79.925,77.032423231984,82.47,73.4691726343813,71.7197232786381,75.3527638190955,70.4440960614397,77.5929394594749,6.95546348004374,2.20331581042005,4.77413168370263,4.31135076351716,5.45872375834675,3.10315901713492,4.85387507379601,8.10305848773052
1,1e-05,20,10,3,80.115,77.0289275854975,81.245,74.212641518768,71.9886653835553,76.5797989949749,71.263367350784,77.911750388391,0.838003579944622,0.623874419260685,0.357809694918649,0.828849627160152,0.914750697927346,0.787334036358966,0.927979644229039,2.17151126550936
