Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,std1,std2,std3,std4,std5,std6,std7,std8
0.001,1e-05,10,10,3,78.05,72.7520360184069,78.2,69.7989169630961,67.9653391101483,71.7341708542714,66.3596844394463,91.8314570797204,0,0,0,0,0,0,0,0
0.001,0.0001,10,10,3,77.65,72.4941866978836,78.05,69.6543536713496,67.639915347723,71.7924623115578,66.1881468934312,92.812550315333,0,0,0,0,0,0,0,0
0.001,0.001,10,10,3,78.3,72.7350755744289,78.3,69.8575150129031,68.0570979195958,71.7557788944724,66.4269048458562,91.8658031015557,0,0,0,0,0,0,0,0
0.001,0.01,10,10,3,78.8,73.177525989995,78.8,70.6317337502967,68.8346870543571,72.5251256281407,67.290501263094,90.3861141456338,0,0,0,0,0,0,0,0
0.001,0.1,10,10,3,79.6,73.0517334577794,79.6,69.6890024774047,67.9438832986462,71.5261306532663,66.2420947718968,90.7934082306254,0,0,0,0,0,0,0,0
0.001,1,10,10,3,77.6,71.2818838385234,78.7,68.3584695944878,66.2385286506818,70.6185929648241,64.7355466927054,96.9661399127552,0,0,0,0,0,0,0,0
0.001,10,10,10,3,75.5,72.680763563622,77.5,67.3057318405995,61.9658228062165,73.6527638190955,63.3419527844481,94.9676566978512,0,0,0,0,0,0,0,0
0.01,1e-05,10,10,3,78,73.3806520467163,79.9,71.4452779324995,68.676033617185,74.4472361809045,68.1463925081195,90.451034484562,0,0,0,0,0,0,0,0
0.01,0.0001,10,10,3,78,73.3806520467163,79.9,71.4452779324995,68.676033617185,74.4472361809045,68.1463925081195,90.451034484562,0,0,0,0,0,0,0,0
0.01,0.001,10,10,3,78.35,73.543866121858,80,71.5931520351843,69.0978958538832,74.2753768844221,68.3261634714409,89.6909227329056,0,0,0,0,0,0,0,0
0.01,0.01,10,10,3,78,73.9160432985825,79.75,71.4283993824231,68.5915317040676,74.5100502512563,68.123898259789,88.6492598498722,0,0,0,0,0,0,0,0
0.01,0.1,10,10,3,78.7,73.9206027769464,80.1,71.8279632121379,69.0471112924312,74.8422110552764,68.5734584603156,88.6660960453899,0,0,0,0,0,0,0,0
0.01,1,10,10,3,77.15,71.5357929796993,78.2,68.5714563356809,66.3738248310437,70.9195979899498,64.9686244153638,96.0439027486573,0,0,0,0,0,0,0,0
0.01,10,10,10,3,77.55,74.9399636808635,80.05,71.2056937827187,66.9487888507908,76.0407035175879,67.7959409913837,86.4313369607713,0,0,0,0,0,0,0,0
0.1,1e-05,10,10,3,77.05,69.8020938771274,77.65,67.9284926634943,67.1539549409754,68.7211055276382,64.3373351235534,100.872601514161,0,0,0,0,0,0,0,0
0.1,0.0001,10,10,3,77.05,69.8020938771274,77.65,67.9284926634943,67.1539549409754,68.7211055276382,64.3373351235534,100.872601514161,0,0,0,0,0,0,0,0
0.1,0.001,10,10,3,76.95,69.6826957324754,77.6,67.7803324113479,66.9896051120469,68.5899497487437,64.1715141311207,101.283693627383,0,0,0,0,0,0,0,0
0.1,0.01,10,10,3,77.3,70.309164047318,77.95,68.4531803501699,67.6416478195385,69.2844221105528,64.9189729378421,99.2178003117615,0,0,0,0,0,0,0,0
0.1,0.1,10,10,3,76.5,70.1886891051699,77.75,67.726034214619,67.079235982748,68.3854271356784,64.1197192583558,99.5117902342978,0,0,0,0,0,0,0,0
0.1,1,10,10,3,75.75,68.545645961004,76.9,65.9790802024624,65.0404241607593,66.9452261306533,62.1574998485526,105.182935348982,0,0,0,0,0,0,0,0
0.1,10,10,10,3,77.55,71.5279514224746,79.65,68.5293402693374,66.3706563706564,70.8331658291457,64.9239581536659,96.4652025232519,0,0,0,0,0,0,0,0
1,1e-05,10,10,3,70.05,65.4208186594157,73.45,60.7569050377809,59.8810197747282,61.6587939698492,56.347772575045,115.51551998615,0,0,0,0,0,0,0,0
1,0.0001,10,10,3,69.65,65.45321666952,73.35,60.703454837367,59.8715592743197,61.5587939698492,56.291861943594,115.369574125225,0,0,0,0,0,0,0,0
1,0.001,10,10,3,69.8,65.4375744505513,73.35,60.6729372331828,59.8763982267109,61.4909547738693,56.260783530922,115.398853288908,0,0,0,0,0,0,0,0
1,0.01,10,10,3,69.75,64.8653076707646,73.3,60.0600259371333,59.0642536135066,61.0899497487437,55.5616124841814,117.492231395258,0,0,0,0,0,0,0,0
1,0.1,10,10,3,71.15,66.9761812036409,74.35,62.3525945585945,61.4544442980337,63.2773869346734,58.1228013221336,110.370480650624,0,0,0,0,0,0,0,0
