Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,std1,std2,std3,std4,std5,std6,std7,std8
0.001,1e-05,10,10,3,79.8,71.0609250693038,79.8,69.8819684582942,69.4944144072513,70.2738693467337,66.5316180722624,96.4173466208626,0,0,0,0,0,0,0,0
0.001,0.0001,10,10,3,79.75,71.0628425900272,79.75,69.8835091646285,69.4861616879213,70.2854271356784,66.5328059157196,96.4183020861623,0,0,0,0,0,0,0,0
0.001,0.001,10,10,3,79.95,71.3178783281806,79.95,70.1914835665969,69.8092857036349,70.5778894472362,66.875937171237,95.5594626508846,0,0,0,0,0,0,0,0
0.001,0.01,10,10,3,80.7,72.3704806059778,80.7,71.1513951988964,70.7697431869476,71.5371859296482,67.9429088547029,92.0606439251303,0,0,0,0,0,0,0,0
0.001,0.1,10,10,3,81.25,73.7183517343015,81.25,72.2293718013947,71.7007665035948,72.7658291457286,69.1340170197502,87.6862687262469,0,0,0,0,0,0,0,0
0.001,1,10,10,3,78.7,72.2121698610503,79.3,70.3218781865002,69.1223080245985,71.5638190954774,66.9774393380891,93.1949261117369,0,0,0,0,0,0,0,0
0.001,10,10,10,3,76,72.8798021497299,78.05,68.4534006446786,63.8336716641093,73.7939698492462,64.6831769914213,93.6314755402016,0,0,0,0,0,0,0,0
0.01,1e-05,10,10,3,80.55,72.2751709778819,80.55,71.1360241403256,70.7250926358245,71.5517587939698,67.9243472324234,92.4007916328544,0,0,0,0,0,0,0,0
0.01,0.0001,10,10,3,80.55,72.2751709778819,80.55,71.1360241403256,70.7250926358245,71.5517587939698,67.9243472324234,92.4007916328544,0,0,0,0,0,0,0,0
0.01,0.001,10,10,3,80.8,72.6476312383534,80.8,71.4035219183215,70.9868388378445,71.8251256281407,68.2213997996424,91.1682389262298,0,0,0,0,0,0,0,0
0.01,0.01,10,10,3,80.8,72.457502546019,80.8,71.3446258207549,70.9740463177996,71.7190954773869,68.1582344147688,91.7637841981049,0,0,0,0,0,0,0,0
0.01,0.1,10,10,3,81.2,73.3554762556957,81.2,71.8838786602842,71.3692041745298,72.4060301507538,68.7505711892874,88.8815079842465,0,0,0,0,0,0,0,0
0.01,1,10,10,3,75.05,68.9205796534141,76.8,66.5912586644294,66.1801199078853,67.0075376884422,62.8722367029703,103.538305588451,0,0,0,0,0,0,0,0
0.01,10,10,10,3,78.25,72.8096512280839,78.9,69.9274003885613,67.8227687890208,72.1668341708543,66.4877373355305,91.767640029069,0,0,0,0,0,0,0,0
0.1,1e-05,10,10,3,74.9,67.8923883256073,76.95,66.0998410652383,65.8468596504351,66.3547738693467,62.3359923465225,106.853019361971,0,0,0,0,0,0,0,0
0.1,0.0001,10,10,3,74.9,67.8923883256073,76.95,66.0998410652383,65.8468596504351,66.3547738693467,62.3359923465225,106.853019361971,0,0,0,0,0,0,0,0
0.1,0.001,10,10,3,74.8,68.0382872528715,77,66.1294481368831,65.8878108397975,66.372864321608,62.369613142533,106.360540368854,0,0,0,0,0,0,0,0
0.1,0.01,10,10,3,75.2,68.7027243504352,77.4,66.8224813572894,66.5526866713189,67.094472361809,63.1380016974281,104.176083750145,0,0,0,0,0,0,0,0
0.1,0.1,10,10,3,76.15,69.2793189909939,77.45,66.7465413351409,66.4485315723158,67.0472361809045,63.0518670460923,102.275377023473,0,0,0,0,0,0,0,0
0.1,1,10,10,3,74.25,67.0248084035054,76.15,64.6120649917901,64.0783224524693,65.1547738693467,60.663508137308,109.955873089674,0,0,0,0,0,0,0,0
0.1,10,10,10,3,75.1,69.6258351381629,77.65,66.3959526688205,65.4835209946047,67.3341708542714,62.6232613785445,101.620874844331,0,0,0,0,0,0,0,0
1,1e-05,10,10,3,71.5,64.8790712095601,73.65,60.9680140141439,60.5542832783115,61.3874371859296,56.6200436725291,116.985737583378,0,0,0,0,0,0,0,0
1,0.0001,10,10,3,71.5,64.9278203303229,73.65,60.9606590341517,60.5334218571167,61.3939698492462,56.6107869653319,116.835398881449,0,0,0,0,0,0,0,0
1,0.001,10,10,3,70.35,64.6548542098558,72.8,59.9933186743053,59.5305712504577,60.4633165829146,55.5321430701141,117.769414828242,0,0,0,0,0,0,0,0
1,0.01,10,10,3,69.15,64.4419517429059,72.65,59.5842668348008,59.1030667385189,60.0733668341708,55.0756460785628,118.488753836395,0,0,0,0,0,0,0,0
1,0.1,10,10,3,72.7,66.9918042102913,74.85,62.995778702585,62.3377581846629,63.6678391959799,58.8567425019681,110.14565352806,0,0,0,0,0,0,0,0
1,1,10,10,3,71.35,65.0455569919317,73.55,61.0281073738005,60.4381957688384,61.629648241206,56.6727943565197,116.585208352834,0,0,0,0,0,0,0,0
1,10,10,10,3,73.6,67.7106403690418,76.1,64.1309533520706,63.1105229613556,65.1849246231156,60.0940965214404,108.059788775547,0,0,0,0,0,0,0,0
