Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,std1,std2,std3,std4,std5,std6,std7,std8
100,0.1,6,6,3,51.47928994,45.27611969,62.13017751,42.31603537,47.06755754,38.43588966,27.08113874,121.8690545,0,0,0,0,0,0,0,0
100,0.1,18,6,3,51.47928994,45.55322411,65.0887574,42.69662921,44.00128659,41.46711125,26.01253235,123.5375709,0,0,0,0,0,0,0,0
100,0.1,18,12,3,46.74556213,46.14505937,65.68047337,42.80166834,40.72249589,45.10457714,24.31534924,124.3502949,0,0,0,0,0,0,0,0
100,0.1,18,18,3,57.3964497,47.51052205,66.86390533,46.78799191,48.05111821,45.5895726,31.22570678,119.588033,0,0,0,0,0,0,0,0
100,0.1,30,6,3,46.15384615,49.35997303,63.90532544,41.65571616,45.46432413,38.43588966,25.87231346,112.5118424,0,0,0,0,0,0,0,0
100,0.1,30,12,3,44.37869822,32.81173055,55.0295858,35.66452304,31.95678271,40.34555926,13.13622417,158.1142414,0,0,0,0,0,0,0,0
100,0.1,30,18,3,49.70414201,29.52077866,53.84615385,35.36909187,31.46704465,40.37587148,12.51828313,164.9951109,0,0,0,0,0,0,0,0
100,0.1,30,24,3,43.19526627,23.0422189,52.66272189,36.55118723,26.91701304,56.92634132,7.297324773,185.3372102,0,0,0,0,0,0,0,0
100,0.1,42,6,3,50.88757396,50.34115782,66.27218935,44.50760742,49.62714392,40.34555926,29.897016,109.6074491,0,0,0,0,0,0,0,0
100,0.1,42,12,3,45.56213018,43.40431448,62.13017751,39.11034084,37.35172414,41.04274022,19.52934301,131.3131183,0,0,0,0,0,0,0,0
100,0.1,42,18,3,34.31952663,21.72143182,48.52071006,32.13434453,25.00421514,44.95301607,3.234729408,185.5318726,0,0,0,0,0,0,0,0
100,0.1,42,24,3,35.50295858,25.23676456,52.66272189,29.62336014,27.70448549,31.82782661,6.353618949,173.355006,0,0,0,0,0,0,0,0
100,0.1,54,6,3,43.19526627,37.11162325,63.31360947,36.73727474,38.38784275,35.22279479,18.64389479,143.0267537,0,0,0,0,0,0,0,0
100,0.1,54,12,3,57.98816568,51.56334574,67.4556213,45.6661562,46.14670381,45.19551379,29.4393684,110.0498498,0,0,0,0,0,0,0,0
100,0.1,54,18,3,53.25443787,36.0299039,56.21301775,41.66666667,30.42568039,66.08063049,14.4362217,160.0251576,0,0,0,0,0,0,0,0
100,0.1,54,24,3,41.42011834,27.57107798,57.3964497,35.0442939,30.72880969,40.76993028,11.62180598,170.4940092,0,0,0,0,0,0,0,0
100,0.1,66,6,3,55.62130178,57.77802983,73.96449704,51.93089431,58.84836852,46.46862686,39.53019175,91.10465205,0,0,0,0,0,0,0,0
100,0.1,66,12,3,43.19526627,38.98043357,58.57988166,35.81058862,39.13043478,33.01000303,18.47168779,137.1258254,0,0,0,0,0,0,0,0
