Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,std1,std2,std3,std4,std5,std6,std7,std8
0.001,1e-05,14,14,3,48.0952380952381,28.4301983192737,48.0952380952381,30.4293714996889,28.9092521430683,32.1182266009852,18.5305926058934,202.031522169573,0,0,0,0,0,0,0,0
0.001,0.0001,14,14,3,48.0952380952381,28.4301983192737,48.0952380952381,30.4293714996889,28.9092521430683,32.1182266009852,18.5305926058934,202.031522169573,0,0,0,0,0,0,0,0
0.001,0.001,14,14,3,44.2857142857143,28.4337000303344,44.2857142857143,30.3632412294319,28.790108919635,32.1182266009852,18.4258608328867,202.113206256237,0,0,0,0,0,0,0,0
0.001,0.01,14,14,3,40.9523809523809,30.4363819913806,43.8095238095238,28.7361419068736,26.1290322580645,31.9211822660099,15.902848200313,197.553558362577,0,0,0,0,0,0,0,0
0.001,0.1,14,14,3,35.7142857142857,29.3136925107864,41.4285714285714,28.9699838086935,23.3346709470305,38.1937602627258,14.1874413692261,203.459183362747,0,0,0,0,0,0,0,0
0.001,1,14,14,3,46.1904761904762,31.6292290126583,49.5238095238095,31.3780918727915,27.5434243176179,36.4532019704434,18.4941382481816,195.273760186808,0,0,0,0,0,0,0,0
0.001,10,14,14,3,34.7619047619048,22.4390123733198,35.2380952380952,25.1104797979798,16.5264360652332,52.2495894909688,5.10372320320447,230.085767818927,0,0,0,0,0,0,0,0
0.001,100,14,14,3,26.6666666666667,16.7375000539974,27.1428571428571,23.7064220183486,14.5659526493799,63.6453201970443,1.45131659522352,246.634011662311,0,0,0,0,0,0,0,0
0.001,1000,14,14,3,26.1904761904762,16.2944568880143,26.6666666666667,23.412829490652,14.654316903738,58.1937602627258,1.59850740995095,246.701549443367,0,0,0,0,0,0,0,0
0.001,10000,14,14,3,26.1904761904762,16.2944568880143,26.6666666666667,23.412829490652,14.654316903738,58.1937602627258,1.59850740995095,246.701549443367,0,0,0,0,0,0,0,0
0.001,100000,14,14,3,26.1904761904762,16.2944568880143,26.6666666666667,23.412829490652,14.654316903738,58.1937602627258,1.59850740995095,246.701549443367,0,0,0,0,0,0,0,0
0.01,1e-05,14,14,3,63.8095238095238,48.3633386427208,63.8095238095238,46.6334565322192,45.6576463184393,47.6518883415435,37.8214126704429,145.703962767417,0,0,0,0,0,0,0,0
0.01,0.0001,14,14,3,63.8095238095238,48.3633386427208,63.8095238095238,46.6334565322192,45.6576463184393,47.6518883415435,37.8214126704429,145.703962767417,0,0,0,0,0,0,0,0
0.01,0.001,14,14,3,62.3809523809524,47.6595198364721,62.3809523809524,45.6859292460381,44.5658963148032,46.863711001642,36.678938519002,147.772641642435,0,0,0,0,0,0,0,0
0.01,0.01,14,14,3,62.3809523809524,48.5114224509188,62.3809523809524,47.0847084708471,45.1476793248945,49.1954022988506,38.1318119995815,146.146560231686,0,0,0,0,0,0,0,0
0.01,0.1,14,14,3,54.2857142857143,48.0628310410149,54.2857142857143,42.3670871154073,33.045237219566,59.0147783251232,29.8956531642634,156.752361062272,0,0,0,0,0,0,0,0
0.01,1,14,14,3,58.5714285714286,44.4857397867306,60,42.2581611260857,38.8384255436279,46.3382594417077,31.9905349252482,158.847993155071,0,0,0,0,0,0,0,0
0.01,10,14,14,3,50,40.0467389802589,50.4761904761905,33.9780786589297,25.2515572592238,51.9211822660099,18.8214052709038,180.332770286727,0,0,0,0,0,0,0,0
0.01,100,14,14,3,48.0952380952381,37.3422610554458,48.0952380952381,32.3329331732693,23.2484534599338,53.0706075533662,16.1523743094627,188.692501279276,0,0,0,0,0,0,0,0
0.01,1000,14,14,3,40,33.0944323988096,41.4285714285714,27.995347033734,19.8597166827121,47.4220032840723,10.4867251024317,199.71419101041,0,0,0,0,0,0,0,0
0.01,10000,14,14,3,40,33.0944323988096,41.4285714285714,27.995347033734,19.8597166827121,47.4220032840723,10.4867251024317,199.71419101041,0,0,0,0,0,0,0,0
0.01,100000,14,14,3,40,33.0944323988096,41.4285714285714,27.995347033734,19.8597166827121,47.4220032840723,10.4867251024317,199.71419101041,0,0,0,0,0,0,0,0
0.1,1e-05,14,14,3,70.9523809523809,58.6357310596439,70.9523809523809,56.4209179593795,54.9875311720698,57.9310344827586,49.1864387725695,117.188482685415,0,0,0,0,0,0,0,0
0.1,0.0001,14,14,3,70.9523809523809,58.6357310596439,70.9523809523809,56.4209179593795,54.9875311720698,57.9310344827586,49.1864387725695,117.188482685415,0,0,0,0,0,0,0,0
0.1,0.001,14,14,3,71.4285714285714,59.7113844205623,71.4285714285714,57.2983354673495,55.8851077115205,58.7848932676519,50.2157923964652,114.161932696003,0,0,0,0,0,0,0,0
0.1,0.01,14,14,3,68.0952380952381,57.4696659142625,70.9523809523809,55.0974752317034,53.6570183629007,56.6174055829228,47.6367014750777,120.537015563235,0,0,0,0,0,0,0,0
0.1,0.1,14,14,3,72.8571428571428,61.9290668462962,72.8571428571428,58.2601755786113,56.6770186335404,59.9343185550082,51.3163344839105,108.171033138774,0,0,0,0,0,0,0,0
0.1,1,14,14,3,65.2380952380952,53.7964532378919,68.5714285714286,51.6301779807844,49.6065375302663,53.8259441707718,43.465699646528,131.218502600336,0,0,0,0,0,0,0,0
0.1,10,14,14,3,55.2380952380952,50.4111710889165,59.0476190476191,40.3142024578741,32.8176567656766,52.2495894909688,28.0502143661492,148.13972579491,0,0,0,0,0,0,0,0
0.1,100,14,14,3,56.1904761904762,47.7378366483255,57.6190476190476,37.3109640831758,29.1382173832811,51.8555008210181,23.7661496665232,156.592490339498,0,0,0,0,0,0,0,0
0.1,1000,14,14,3,58.0952380952381,49.12889063159,59.5238095238095,39.9950409124721,32.1250746863175,52.9720853858785,27.4646917772857,151.894114362646,0,0,0,0,0,0,0,0
0.1,10000,14,14,3,58.0952380952381,49.12889063159,59.5238095238095,39.9950409124721,32.1250746863175,52.9720853858785,27.4646917772857,151.894114362646,0,0,0,0,0,0,0,0
0.1,100000,14,14,3,58.0952380952381,49.12889063159,59.5238095238095,39.9950409124721,32.1250746863175,52.9720853858785,27.4646917772857,151.894114362646,0,0,0,0,0,0,0,0
1,1e-05,14,14,3,76.1904761904762,65.6211122576131,76.1904761904762,62.96180338134,60.1555489081663,66.0426929392447,56.6688690306152,98.8477456142883,0,0,0,0,0,0,0,0
1,0.0001,14,14,3,76.1904761904762,65.6211122576131,76.1904761904762,62.96180338134,60.1555489081663,66.0426929392447,56.6688690306152,98.8477456142883,0,0,0,0,0,0,0,0
1,0.001,14,14,3,79.0476190476191,68.467201347878,79.0476190476191,65.5337556001854,61.8728121353559,69.6551724137931,59.5956961369389,91.963404757024,0,0,0,0,0,0,0,0
1,0.01,14,14,3,75.7142857142857,65.2541514802423,75.7142857142857,61.9047619047619,58.4867075664622,65.7471264367816,55.3467594110006,100.490831788897,0,0,0,0,0,0,0,0
1,0.1,14,14,3,72.3809523809524,66.4067221697584,75.7142857142857,61.3778705636743,56.2141491395793,67.5862068965517,54.481776229045,99.6595804024313,0,0,0,0,0,0,0,0
1,1,14,14,3,68.0952380952381,61.5630528586035,71.9047619047619,54.7040860840483,49.0866388308977,61.7733990147783,46.4185041278578,113.586496879695,0,0,0,0,0,0,0,0
1,10,14,14,3,63.3333333333333,60.7797977454108,69.0476190476191,54.2383198904276,50.5388542257516,58.5221674876847,46.2314911223265,113.434856428557,0,0,0,0,0,0,0,0
1,100,14,14,3,65.2380952380952,57.538487020901,67.1428571428571,46.3635172323418,38.5739206279983,58.0952380952381,35.6277527652757,128.024596132301,0,0,0,0,0,0,0,0
1,1000,14,14,3,64.7619047619048,57.0901716722195,66.6666666666667,45.705361790734,37.8529855572322,57.6683087027915,34.7780751503111,129.434968906644,0,0,0,0,0,0,0,0
1,10000,14,14,3,64.7619047619048,57.0901716722195,66.6666666666667,45.705361790734,37.8529855572322,57.6683087027915,34.7780751503111,129.434968906644,0,0,0,0,0,0,0,0
1,100000,14,14,3,64.7619047619048,57.0901716722195,66.6666666666667,45.705361790734,37.8529855572322,57.6683087027915,34.7780751503111,129.434968906644,0,0,0,0,0,0,0,0
10,1e-05,14,14,3,74.2857142857143,58.6244901661797,74.2857142857143,58.4808496942388,57.336699274219,59.671592775041,51.6361653350363,116.983773337523,0,0,0,0,0,0,0,0
10,0.0001,14,14,3,74.2857142857143,58.6244901661797,74.2857142857143,58.4808496942388,57.336699274219,59.671592775041,51.6361653350363,116.983773337523,0,0,0,0,0,0,0,0
10,0.001,14,14,3,74.2857142857143,58.6244901661797,74.2857142857143,58.4808496942388,57.336699274219,59.671592775041,51.6361653350363,116.983773337523,0,0,0,0,0,0,0,0
10,0.01,14,14,3,73.3333333333333,59.3029453583202,73.3333333333333,57.0425905248046,55.4590570719603,58.7192118226601,49.8911619981322,115.433039595058,0,0,0,0,0,0,0,0
10,0.1,14,14,3,79.0476190476191,66.7984391095485,79.0476190476191,65.1582278481013,62.8702290076336,67.6190476190476,59.3062346918023,94.9146889337678,0,0,0,0,0,0,0,0
10,1,14,14,3,77.1428571428572,65.5383332886819,77.1428571428572,63.6593059936909,61.2443095599393,66.2725779967159,57.5346355659421,98.5956577604112,0,0,0,0,0,0,0,0
10,10,14,14,3,67.6190476190476,58.6235993314788,68.5714285714286,52.079841535883,48.5787379192723,56.1247947454844,43.7057166568319,119.41574333821,0,0,0,0,0,0,0,0
10,100,14,14,3,69.0476190476191,57.2556942291779,69.0476190476191,50.6140214518887,48.0519480519481,53.4646962233169,42.1605358220825,122.138996788282,0,0,0,0,0,0,0,0
10,1000,14,14,3,69.5238095238095,57.1160658278086,69.5238095238095,50.7453416149068,48.1296023564065,53.6617405582923,42.3046864801358,122.500745514196,0,0,0,0,0,0,0,0
10,10000,14,14,3,69.5238095238095,57.1160658278086,69.5238095238095,50.7453416149068,48.1296023564065,53.6617405582923,42.3046864801358,122.500745514196,0,0,0,0,0,0,0,0
10,100000,14,14,3,69.5238095238095,57.1160658278086,69.5238095238095,50.7453416149068,48.1296023564065,53.6617405582923,42.3046864801358,122.500745514196,0,0,0,0,0,0,0,0
100,1e-05,14,14,3,64.7619047619048,55.8445740246786,67.6190476190476,52.2332506203474,49.4857478695269,55.303776683087,44.0369030252343,126.263501837764,0,0,0,0,0,0,0,0
100,0.0001,14,14,3,64.7619047619048,55.8445740246786,67.6190476190476,52.2332506203474,49.4857478695269,55.303776683087,44.0369030252343,126.263501837764,0,0,0,0,0,0,0,0
