Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,std1,std2,std3,std4,std5,std6,std7,std8
1000,10,50,50,3,64.0775743256547,69.5137573491988,67.8381571175428,53.3836919589358,55.6317859839243,51.3102329450915,52.3175752808765,165.362605357791,0,0,0,0,0,0,0,0
1000,10,100,50,3,61.3506595786572,68.897630558612,66.9521559362079,50.4195822341392,52.5016662163379,48.4963394342762,49.2847663946034,168.883082550693,0,0,0,0,0,0,0,0
1000,10,100,100,3,61.4884819846427,69.4217800313371,66.3024217365623,47.5996395997145,46.6300572683568,48.6103993344426,46.3229444674604,168.574828131569,0,0,0,0,0,0,0,0
1000,10,150,50,3,60.0807245520772,68.4987578018241,65.8495766883245,48.9037416399623,50.5116887768945,47.3950083194675,47.7244822446568,171.493108975666,0,0,0,0,0,0,0,0
1000,10,150,100,3,61.8231935420358,70.6136630846566,67.867690490254,47.1870958414591,44.7035607840335,49.9628119800333,45.8554250225094,163.906367041776,0,0,0,0,0,0,0,0
1000,10,150,150,3,57.5506989564875,68.8342519316071,64.6485528647372,40.7971520032761,35.3454208955151,48.2373544093178,39.1609384035088,176.041598677983,0,0,0,0,0,0,0,0
1000,10,200,50,3,58.6631226619413,68.4384352117259,65.6526875369167,46.9881866117173,47.4493959408173,46.5358569051581,45.7361134829163,172.988751449371,0,0,0,0,0,0,0,0
1000,10,200,100,3,62.3646387084072,69.7018949079021,67.080133884623,50.2181712200251,50.1926911182567,50.2436772046589,49.0299528860211,166.387260701268,0,0,0,0,0,0,0,0
1000,10,200,150,3,57.0190982476865,67.4369172738736,62.68950580823,39.8227992580967,34.8548951048951,46.4422628951747,38.1769921344335,184.632833421728,0,0,0,0,0,0,0,0
1000,10,200,200,3,50.8269344359126,64.7808684907779,56.9108092144123,31.2799945957903,24.0057797320444,44.8792845257903,29.1282801945953,205.894200877835,0,0,0,0,0,0,0,0
1000,10,250,50,3,58.3677889348297,67.9914952066991,64.5008860011813,48.5334360625302,49.5207817102249,47.5846921797005,47.3306955681153,174.878945951456,0,0,0,0,0,0,0,0
1000,10,250,100,3,59.5786572159874,69.8220932279628,66.4402441425477,47.43783077521,46.2476856955241,48.6908485856905,46.1508426774593,166.957930038882,0,0,0,0,0,0,0,0
1000,10,250,150,3,53.0320929316795,68.3903304943801,63.3195510927348,36.5170017530314,30.3461608367344,45.8381031613977,34.6856977222679,181.265154878145,0,0,0,0,0,0,0,0
1000,10,250,200,3,55.8476077968104,66.8995103719158,61.3309706635164,34.7586356530671,27.9889870403204,45.8477537437604,32.8145676204603,190.869464765666,0,0,0,0,0,0,0,0
1000,10,250,250,3,54.5579838550896,65.6846386165193,59.440834810002,26.5999422790716,18.1357434911009,49.8792845257904,24.0027505801687,208.501263763725,0,0,0,0,0,0,0,0
1000,10,300,50,3,63.1620397716086,68.1723131060211,66.4402441425477,51.6931998991418,54.1346311438093,49.4624792013311,50.5939429169978,172.647819386561,0,0,0,0,0,0,0,0
1000,10,300,100,3,60.0315022642252,69.1723323040647,66.5780665485332,46.9830464994778,46.152599135347,47.8439267886855,45.6949571983602,170.022319737974,0,0,0,0,0,0,0,0
1000,10,300,150,3,58.4957668832447,68.0885158171741,63.95944083481,37.4346048499161,30.4938429930513,48.4660565723794,35.5923078994959,182.565803277491,0,0,0,0,0,0,0,0
1000,10,300,200,3,55.178184682024,66.7335264858876,60.2382358732034,33.5735601342365,25.3374794948497,49.7426788685524,31.4573656387245,198.221995875144,0,0,0,0,0,0,0,0
1000,10,300,250,3,49.2911990549321,63.339694354908,54.4103169915338,32.4826607774818,25.7534983460238,43.9722129783694,30.4383542483122,214.812744387919,0,0,0,0,0,0,0,0
1000,10,300,300,3,53.3668044890726,65.6361330508853,57.2750541445166,29.3413333275696,20.6241182064974,50.8225457570715,26.9187932627232,211.264478697142,0,0,0,0,0,0,0,0
