Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,std1,std2,std3,std4,std5,std6,std7,std8
10,0.1,5,5,3,68.9655172413793,55.7813932196617,78.448275862069,60.3709949409781,66.3454410674574,55.3836633663366,49.1635045952469,88.3066514787772,0,0,0,0,0,0,0,0
10,0.1,10,5,3,73.2758620689655,61.0145496568757,81.0344827586207,64.260162601626,67.7176148046607,61.1386138613861,53.5901205728836,78.9543396589046,0,0,0,0,0,0,0,0
10,0.1,10,10,3,72.4137931034483,55.2520915077464,81.0344827586207,66.1326497917334,68.5714285714286,63.8613861386139,55.8062447540919,91.6883794394369,0,0,0,0,0,0,0,0
10,0.1,15,5,3,75.8620689655172,63.7571994271475,83.6206896551724,67.9305912596401,70.6550802139037,65.4084158415842,58.1919772731612,73.5373102492994,0,0,0,0,0,0,0,0
10,0.1,15,10,3,51.7241379310345,45.2576603197683,60.3448275862069,43.5632808256382,38.8189738625363,49.6287128712871,22.4888248430177,118.371752095242,0,0,0,0,0,0,0,0
10,0.1,15,15,3,40.5172413793103,25.9667337722851,53.448275862069,35.3949129852744,31.1939594148183,40.9034653465347,10.9009589432857,158.360457957157,0,0,0,0,0,0,0,0
10,0.1,20,5,3,68.9655172413793,56.5688617020749,80.1724137931034,60.3389830508475,66.7166416791604,55.0742574257426,49.2099322799097,86.3981255598356,0,0,0,0,0,0,0,0
10,0.1,20,10,3,61.2068965517241,51.7754201302941,70.6896551724138,49.8358698895852,48.1268011527378,51.6707920792079,33.0356881564056,101.624666046147,0,0,0,0,0,0,0,0
10,0.1,20,15,3,43.9655172413793,35.8359460025454,60.3448275862069,37.5,33.0965909090909,43.2549504950495,13.8509258651549,137.995783864599,0,0,0,0,0,0,0,0
10,0.1,20,20,3,47.4137931034483,22.8997398352349,51.7241379310345,38.0201143758628,27.9015918958032,59.6534653465347,7.47318379609665,171.049930964455,0,0,0,0,0,0,0,0
10,0.1,25,5,3,63.7931034482759,47.2463478631993,66.3793103448276,48.4518543722354,53.817082388511,44.0594059405941,34.071102642793,106.770195692231,0,0,0,0,0,0,0,0
10,0.1,25,10,3,50,32.8702959061509,58.6206896551724,36.8008948545861,33.5714285714286,40.7178217821782,13.9462927865184,143.182461913592,0,0,0,0,0,0,0,0
10,0.1,25,15,3,48.2758620689655,31.0023450789907,55.1724137931034,36.5083722206972,32.8071040947213,41.1509900990099,13.0713057455944,147.579667115377,0,0,0,0,0,0,0,0
10,0.1,25,20,3,49.1379310344828,24.0555271262597,57.7586206896552,39.2496392496393,36.77663601947,42.0792079207921,18.0631857149643,161.117837477733,0,0,0,0,0,0,0,0
10,0.1,25,25,3,42.2413793103448,29.6085486115241,53.448275862069,35.9398496240602,30.2021903959562,44.3688118811881,9.98922311157892,152.695906768176,0,0,0,0,0,0,0,0
10,0.1,30,5,3,71.551724137931,56.5694417751934,80.1724137931034,61.1368142762723,65.6028368794326,57.240099009901,49.8030883830465,87.807530132447,0,0,0,0,0,0,0,0
10,0.1,30,10,3,54.3103448275862,47.2923634331274,70.6896551724138,49.2729766803841,44.2582552981764,55.5693069306931,30.5365728042287,114.230641864197,0,0,0,0,0,0,0,0
10,0.1,30,15,3,49.1379310344828,40.4846804271744,58.6206896551724,45.1792164490136,40.9984871406959,50.3094059405941,25.2119511210157,127.71698297294,0,0,0,0,0,0,0,0
10,0.1,30,20,3,44.8275862068966,43.1169286649638,64.6551724137931,43.7131325675256,43.8629283489097,43.5643564356436,25.7966178449515,119.09284843501,0,0,0,0,0,0,0,0
10,0.1,30,25,3,50,24.1818358944682,50,36.1603888213852,29.7719087635054,46.039603960396,9.54137890196951,164.923799569227,0,0,0,0,0,0,0,0
10,0.1,30,30,3,35.3448275862069,18.7433210460917,42.2413793103448,32.4729064039409,23.8219138479329,50.990099009901,-0.826297766259465,177.687328563175,0,0,0,0,0,0,0,0
10,0.1,35,5,3,65.5172413793103,58.035580705244,75.8620689655172,59.184339314845,62.5948930296756,56.1262376237624,47.0560421695362,85.0323183695801,0,0,0,0,0,0,0,0
10,0.1,35,10,3,52.5862068965517,43.1573150825571,62.9310344827586,43.0971993410214,46.0887949260042,40.470297029703,26.429635564169,116.85881199313,0,0,0,0,0,0,0,0
10,0.1,35,15,3,45.6896551724138,29.5997838702526,50,35.712187958884,33.9854667411962,37.6237623762376,13.755274730169,149.161176721486,0,0,0,0,0,0,0,0
10,0.1,35,20,3,42.2413793103448,25.9900165243617,54.3103448275862,36.5017020162346,31.6386745347254,43.1311881188119,11.8668742590301,159.255742005671,0,0,0,0,0,0,0,0
10,0.1,35,25,3,42.2413793103448,27.0357663782546,47.4137931034483,39.2857142857143,28.344298245614,63.9851485148515,8.58995399078169,164.769591405041,0,0,0,0,0,0,0,0
10,0.1,35,30,3,42.2413793103448,23.7600713083329,50,36.1159420289855,33.969465648855,38.5519801980198,13.9506574919287,162.247628661715,0,0,0,0,0,0,0,0
10,0.1,35,35,3,37.9310344827586,16.7367975984388,42.2413793103448,37.8599420684955,26.1227368916059,68.75,4.23236771321422,183.83970789428,0,0,0,0,0,0,0,0
10,0.1,40,5,3,62.0689655172414,50.9354230974973,71.551724137931,52.0404831864185,55.0794747753974,49.3193069306931,37.8028611535743,100.469208753049,0,0,0,0,0,0,0,0
10,0.1,40,10,3,59.4827586206897,45.1390572283012,66.3793103448276,46.6298342541436,42.1157684630739,52.2277227722772,27.0653398890408,118.220530756874,0,0,0,0,0,0,0,0
10,0.1,40,15,3,54.3103448275862,38.7280455749801,64.6551724137931,43.489932885906,47.5073313782991,40.0990099009901,27.3844735945186,125.935833389439,0,0,0,0,0,0,0,0
10,0.1,40,20,3,56.0344827586207,34.7824636045139,62.0689655172414,42.2045387562629,40.2926280247608,44.3069306930693,22.5495359261812,137.93712958125,0,0,0,0,0,0,0,0
10,0.1,40,25,3,46.551724137931,32.7371286296803,52.5862068965517,43.4057604850935,36.6780529461998,53.1559405940594,20.6564493506179,146.471362694846,0,0,0,0,0,0,0,0
10,0.1,40,30,3,34.4827586206897,15.3311447645643,41.3793103448276,33.3084669899291,23.8387613454351,55.259900990099,-0.821947640381464,185.159743554663,0,0,0,0,0,0,0,0
10,0.1,40,35,3,42.2413793103448,17.679071185332,43.9655172413793,38.0487804878049,26.8690992600153,65.1608910891089,5.69354371443267,181.132768820934,0,0,0,0,0,0,0,0
10,0.1,40,40,3,37.9310344827586,7.94649765502636,38.7931034482759,33.0919464560018,25.6375382522951,46.6584158415842,2.64744485343572,197.225112601423,0,0,0,0,0,0,0,0
10,0.1,45,5,3,63.7931034482759,57.0452538544576,77.5862068965517,59.2315538932336,65.7358490566038,53.8985148514851,47.8460056592933,85.1618713126166,0,0,0,0,0,0,0,0
10,0.1,45,10,3,43.1034482758621,26.9484105848305,51.7241379310345,32.579185520362,30,35.6435643564356,8.50648573506532,155.793146374683,0,0,0,0,0,0,0,0
10,0.1,45,15,3,48.2758620689655,35.1129897882801,56.0344827586207,39.6817743490839,32.5039494470774,50.9282178217822,14.3473305119716,142.623120126985,0,0,0,0,0,0,0,0
10,0.1,45,20,3,42.2413793103448,21.1288140627827,49.1379310344828,33.3246004715745,28.8959563834621,39.3564356435644,7.47098048497096,168.668648942867,0,0,0,0,0,0,0,0
10,0.1,45,25,3,36.2068965517241,23.2271374445614,46.551724137931,35.3530031612223,30.7798165137615,41.5222772277228,10.4269775566447,164.561135585309,0,0,0,0,0,0,0,0
10,0.1,45,30,3,39.6551724137931,26.1786476479257,41.3793103448276,40.9661835748792,29.7836470918797,65.5940594059406,11.4610566996669,166.459435451467,0,0,0,0,0,0,0,0
10,0.1,45,35,3,33.6206896551724,10.2966727356362,36.2068965517241,36.221542643561,24.9648711943794,65.9653465346535,1.64892701907147,194.973996705494,0,0,0,0,0,0,0,0
10,0.1,45,40,3,33.6206896551724,11.2129742174362,37.9310344827586,36.463923673226,24.0180675569521,75.6806930693069,-0.503885166619674,194.967597272084,0,0,0,0,0,0,0,0
10,0.1,45,45,3,35.3448275862069,7.75857756887695,38.7931034482759,33.5363532546631,24.216602528862,54.5173267326733,-0.0235161102532803,197.85196448464,0,0,0,0,0,0,0,0
10,0.1,50,5,3,56.0344827586207,54.0183303650685,65.5172413793103,50.4381694255112,53.037542662116,48.0816831683168,35.6001337937288,93.8962621665285,0,0,0,0,0,0,0,0
10,0.1,50,10,3,65.5172413793103,50.4952836343229,73.2758620689655,58.3912611717974,62.7758007117438,54.5792079207921,46.2865595796301,100.643717408875,0,0,0,0,0,0,0,0
10,0.1,50,15,3,43.1034482758621,29.106540121864,51.7241379310345,34.2563516985441,31.7965023847377,37.1287128712871,11.034351108343,151.132476870451,0,0,0,0,0,0,0,0
10,0.1,50,20,3,52.5862068965517,33.5001093991864,57.7586206896552,42.5259003453379,35.3568498769483,53.3415841584158,18.8901746316027,144.773687222444,0,0,0,0,0,0,0,0
10,0.1,50,25,3,44.8275862068966,22.6197176091752,56.0344827586207,35.1793248945148,30.6525735294118,41.2747524752475,10.2134042154222,165.358688669152,0,0,0,0,0,0,0,0
10,0.1,50,30,3,37.0689655172414,9.95820778908472,41.3793103448276,29.2773645058449,25.6517690875233,34.0965346534653,2.24627969079162,191.300136806436,0,0,0,0,0,0,0,0
10,0.1,50,35,3,37.0689655172414,11.9411048132613,39.6551724137931,28.9156626506024,25.0681198910082,34.1584158415842,1.34510525692789,187.517638591437,0,0,0,0,0,0,0,0
10,0.1,50,40,3,34.4827586206897,11.6967880970873,42.2413793103448,34.9740394600208,26.3207252266333,52.1039603960396,4.10119318275224,190.396403656415,0,0,0,0,0,0,0,0
10,0.1,50,45,3,31.0344827586207,7.01312829001322,34.4827586206897,35.6496395152631,23.6997756475627,71.9059405940594,-1.24991161645312,200.677499342987,0,0,0,0,0,0,0,0
10,0.1,50,50,3,31.8965517241379,8.71501233647319,32.7586206896552,36.3272839126423,24.1711011051985,73.0816831683168,-0.134214325468221,197.982514005328,0,0,0,0,0,0,0,0
