Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,std1,std2,std3,std4,std5,std6,std7,std8
10,10,10,10,3,53.3333333333333,58.1731259451858,53.3333333333333,37.9172229639519,36.5038560411311,39.4444444444444,31.5237354600658,140.411532047027,0,0,0,0,0,0,0,0
10,10,20,10,3,51.1111111111111,56.7440903198583,52.2222222222222,35.7050452781371,33.4140435835351,38.3333333333333,28.8732734084806,146.550223987981,0,0,0,0,0,0,0,0
10,10,20,20,3,45.5555555555556,47.5927102295856,45.5555555555556,29.05317769131,27.2506082725061,31.1111111111111,21.5334526054511,176.366573745232,0,0,0,0,0,0,0,0
10,10,30,10,3,57.7777777777778,63.2800537865334,61.1111111111111,45.1187335092348,42.964824120603,47.5,39.3983042524634,123.959809158039,0,0,0,0,0,0,0,0
10,10,30,20,3,50,54.3589578792253,52.2222222222222,35.15625,33.0882352941176,37.5,28.3093944099379,153.924127947737,0,0,0,0,0,0,0,0
10,10,30,30,3,37.7777777777778,37.672939284675,40,21.2927756653992,19.5804195804196,23.3333333333333,12.7657559543539,209.620523758266,0,0,0,0,0,0,0,0
10,10,40,10,3,54.4444444444444,59.5384743804939,55.5555555555556,39.8427260812582,37.7171215880893,42.2222222222222,33.5312972876226,136.523072670308,0,0,0,0,0,0,0,0
10,10,40,20,3,70,68.0070025443883,70,53.7859007832898,50.7389162561576,57.2222222222222,48.918577126366,108.719208524329,0,0,0,0,0,0,0,0
10,10,40,30,3,45.5555555555556,45.2271791768594,47.7777777777778,26.775956284153,26.3440860215054,27.2222222222222,19.4134738833705,182.437928270264,0,0,0,0,0,0,0,0
10,10,40,40,3,46.6666666666667,44.2962968078919,50,25.3929866989117,22.4839400428266,29.1666666666667,16.9633001164356,189.001430689911,0,0,0,0,0,0,0,0
10,10,50,10,3,60,64.5350070813878,60,45.8646616541353,41.7808219178082,50.8333333333333,39.9381385321961,122.201755021502,0,0,0,0,0,0,0,0
10,10,50,20,3,63.3333333333333,67.8505594922782,64.4444444444444,53.5714285714286,49.5283018867925,58.3333333333333,48.5712471424943,110.338705049217,0,0,0,0,0,0,0,0
10,10,50,30,3,53.3333333333333,52.3232170216801,55.5555555555556,34.4549125168237,33.420365535248,35.5555555555556,27.7604626743779,159.477009965868,0,0,0,0,0,0,0,0
10,10,50,40,3,46.6666666666667,47.3875192372672,48.8888888888889,31.6602316602317,29.4964028776978,34.1666666666667,24.3626062322946,177.237152102225,0,0,0,0,0,0,0,0
10,10,50,50,3,35.5555555555556,32.9976184367681,36.6666666666667,17.3076923076923,15.2542372881356,20,7.91626564003848,226.023280011213,0,0,0,0,0,0,0,0
10,10,60,10,3,53.3333333333333,58.1884966748798,53.3333333333333,39.8406374501992,38.1679389312977,41.6666666666667,33.6116188312009,140.657852890225,0,0,0,0,0,0,0,0
10,10,60,20,3,51.1111111111111,52.2241928929075,53.3333333333333,34.6205059920106,33.2480818414322,36.1111111111111,27.8692042322103,160.193102021769,0,0,0,0,0,0,0,0
10,10,60,30,3,52.2222222222222,51.1232775013402,55.5555555555556,32.5767690253672,31.3624678663239,33.8888888888889,25.6333041017919,163.6707655251,0,0,0,0,0,0,0,0
10,10,60,40,3,37.7777777777778,38.9874377224309,40,20.2185792349727,19.8924731182796,20.5555555555556,12.1967700520306,203.088771907087,0,0,0,0,0,0,0,0
10,10,60,50,3,38.8888888888889,34.0723150927902,40,17.7954847277556,17.0483460559796,18.6111111111111,9.28386767442242,220.080963487866,0,0,0,0,0,0,0,0
10,10,60,60,3,31.1111111111111,26.5469556526379,32.2222222222222,11.8404118404118,11.031175059952,12.7777777777778,2.42633760663244,245.59259605243,0,0,0,0,0,0,0,0
10,10,70,10,3,56.6666666666667,57.3055266655445,56.6666666666667,36.9770580296896,35.9580052493438,38.0555555555556,30.558200925601,142.845944305542,0,0,0,0,0,0,0,0
10,10,70,20,3,54.4444444444444,55.3208968353442,55.5555555555556,37.0565045992116,35.1620947630923,39.1666666666667,30.4698840376429,150.331883581859,0,0,0,0,0,0,0,0
10,10,70,30,3,45.5555555555556,50.3707480419425,50,30.2387267904509,28.9340101522843,31.6666666666667,23.0058221769021,166.374730134912,0,0,0,0,0,0,0,0
10,10,70,40,3,43.3333333333333,41.1114147794885,46.6666666666667,22.8047182175623,21.5880893300248,24.1666666666667,14.7057387852064,197.167882509566,0,0,0,0,0,0,0,0
10,10,70,50,3,32.2222222222222,25.3178994777782,34.4444444444444,11.6865869853918,11.1959287531807,12.2222222222222,2.54244265507417,248.831877547876,0,0,0,0,0,0,0,0
10,10,70,60,3,27.7777777777778,27.2842995209155,31.1111111111111,11.8686868686869,10.8796296296296,13.0555555555556,2.28702655089969,243.423345333101,0,0,0,0,0,0,0,0
10,10,70,70,3,34.4444444444444,31.0703543197214,36.6666666666667,14.7286821705426,13.768115942029,15.8333333333333,5.65674086923005,230.420644456161,0,0,0,0,0,0,0,0
