Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,std1,std2,std3,std4,std5,std6,std7,std8
0.1,0.01,10,10,3,76.95,69.8819919786009,77.75,68.0350858033547,67.2179226868336,68.8723618090452,64.4534117945802,100.632840633923,0,0,0,0,0,0,0,0
0.1,0.01,20,10,3,76.15,68.6912448235403,77.2,66.7281348788198,66.0102470301314,67.4618090452261,63.005265248182,104.515817589941,0,0,0,0,0,0,0,0
0.1,0.01,20,20,3,87.35,78.4398117615181,87.35,77.5135954221684,76.8930665849148,78.1442211055276,75.005298551241,72.0849676021119,0,0,0,0,0,0,0,0
0.1,0.01,30,10,3,73.45,67.0659522956458,75.35,63.7508257398258,62.7902896438789,64.7412060301507,59.6750795670603,110.121030142243,0,0,0,0,0,0,0,0
0.1,0.01,30,20,3,87.15,78.1584880927544,87.15,77.227520554735,76.5621836247895,77.9045226130653,74.685575745373,73.035439648564,0,0,0,0,0,0,0,0
0.1,0.01,30,30,3,88.35,79.5328558811886,88.35,79.1682177844292,78.725857022892,79.6155778894472,76.8507679497939,68.319952141367,0,0,0,0,0,0,0,0
0.1,0.01,40,10,3,75.7,69.149580806478,77.35,66.7191743212723,65.9845390970164,67.470351758794,62.9942450909874,103.019034642224,0,0,0,0,0,0,0,0
0.1,0.01,40,20,3,88.4,78.8630787529946,88.4,78.7047759763597,78.1833868856361,79.2331658291457,76.3330216416024,70.5989948146118,0,0,0,0,0,0,0,0
0.1,0.01,40,30,3,80.85,76.1375947516071,80.85,72.7545399345986,70.6722000350573,74.9633165829146,69.6435169091077,81.0181419193368,0,0,0,0,0,0,0,0
0.1,0.01,40,40,3,80.6,78.6242160797265,82.9,74.5046210763521,68.8574632178959,81.1608040201005,71.4268954229396,75.8423390140887,0,0,0,0,0,0,0,0
